Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Tue,2014-09-16,19:45 (13:45),Benfica pt,0–2,ru Zenit,35294,Estádio do Sport Lisboa e Benfica,Svein Oddvar Moen,Match Report,
Group Stage,1,Tue,2014-09-16,19:45 (13:45),Liverpool eng,2–1,bg Ludogorets,43307,Anfield,Matej Jug,Match Report,
Group Stage,1,Tue,2014-09-16,20:45 (13:45),Real Madrid es,5–1,ch Basel,65364,Estadio Santiago Bernabéu,Damir Skomina,Match Report,
Group Stage,1,Tue,2014-09-16,20:45 (13:45),Juventus it,2–0,se Malmö,31218,Allianz Stadium,Szymon Marciniak,Match Report,
Group Stage,1,Tue,2014-09-16,20:45 (13:45),Dortmund de,2–0,eng Arsenal,65851,Signal Iduna Park,Olegário Benquerença,Match Report,
Group Stage,1,Tue,2014-09-16,20:45 (13:45),Monaco fr,1–0,de Bayer,8130,Stade Louis II.,Pavel Královec,Match Report,
Group Stage,1,Tue,2014-09-16,21:45 (13:45),Galatasaray tr,1–1,be Anderlecht,28553,Türk Telekom Arena,István Vad II,Match Report,
Group Stage,1,Tue,2014-09-16,21:45 (13:45),Olympiacos gr,3–2,es Atlético Madrid,31946,Stadio Georgios Karaiskáki,Pedro Proença,Match Report,
Group Stage,1,Wed,2014-09-17,19:45 (13:45),Chelsea eng,1–1,de Schalke 04,40648,Stamford Bridge,Ivan Bebek,Match Report,
Group Stage,1,Wed,2014-09-17,19:45 (13:45),Porto pt,6–0,by BATE Borisov,35108,Estádio Do Dragão,Bas Nijhuis,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),Roma it,5–1,ru CSKA Moscow,40888,Stadio Olimpico,David Fernández,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),Barcelona es,1–0,cy APOEL FC,62832,Camp Nou,Deniz Aytekin,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),Athletic Bilbao es,0–0,ua Shakhtar,48351,San Mamés,Tasos Sidiropoulos,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),Ajax nl,1–1,fr Paris S-G,50430,Johan Cruyff ArenA,Wolfgang Stark,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),Bayern Munich de,1–0,eng Manchester City,68000,Allianz Arena,Alberto Undiano,Match Report,
Group Stage,1,Wed,2014-09-17,20:45 (13:45),NK Maribor si,1–1,pt Sporting CP,12211,Ljudski vrt,Clément Turpin,Match Report,
,,,,,,,,,,,,
Group Stage,2,Tue,2014-09-30,20:00 (11:00),CSKA Moscow ru,0–1,de Bayern Munich,,RZD Arena,William Collum,Match Report,
Group Stage,2,Tue,2014-09-30,19:45 (13:45),Manchester City eng,1–1,it Roma,37509,Etihad Stadium,Björn Kuipers,Match Report,
