Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second Round,Tue,2015-10-27,20:30 (14:30),Darmstadt 98,2–1,Hannover 96,15900,Jonathan-Heimes-Stadion am Böllenfalltor,Daniel Siebert,Match Report,
Second Round,Tue,2015-10-27,20:30 (14:30),Wolfsburg,1–3,Bayern Munich,30000,Volkswagen Arena,Knut Kircher,Match Report,
Second Round,Wed,2015-10-28,19:00 (13:00),Viktoria Köln,0–6,Bayer,6166,Sportpark Höhenberg,Benjamin Cortus,Match Report,
Second Round,Wed,2015-10-28,19:00 (13:00),Sandhausen,(3) 0–0 (4),Heidenheim,2693,Hardtwaldstadion,Wolfgang Stark,Match Report,Heidenheim won on penalty kicks following extra time
Second Round,Wed,2015-10-28,19:00 (13:00),Dortmund,7–1,Paderborn 07,74605,Signal Iduna Park,Peter Sippel,Match Report,
Second Round,Wed,2015-10-28,19:00 (13:00),Freiburg,0–3,Augsburg,19800,Schwarzwald-Stadion,Christian Dingert,Match Report,
Second Round,Wed,2015-10-28,20:30 (14:30),Carl Zeiss Jena,0–2,Stuttgart,18000,Ernst-Abbe-Sportfeld,Florian Meyer,Match Report,
Second Round,Wed,2015-10-28,20:30 (14:30),SSV Reutlingen,0–4,Braunschweig,7524,Stadion an der Kreuzeiche,René Rohde,Match Report,
Second Round,Wed,2015-10-28,20:30 (14:30),Schalke 04,0–2,M'gladbach,60655,Veltins-Arena,Tobias Stieler,Match Report,
Second Round,Wed,2015-10-28,20:30 (14:30),Werder Bremen,1–0,Köln,40856,Weserstadion,Felix Brych,Match Report,
,,,,,,,,,,,
Round of 16,Tue,2015-12-15,19:00 (12:00),M'gladbach,3–4,Werder Bremen,53106,Stadion im Borussia-Park,Günter Perl,Match Report,
Round of 16,Tue,2015-12-15,19:00 (12:00),Unterhaching,1–3,Bayer,12500,Alpenbauer Sportpark,Jochen Drees,Match Report,
Round of 16,Tue,2015-12-15,20:30 (13:30),Bayern Munich,1–0,Darmstadt 98,72500,Allianz Arena,Daniel Siebert,Match Report,
Round of 16,Tue,2015-12-15,20:30 (13:30),Erzgebirge Aue,0–2,Heidenheim,8250,Sparkassen-Erzgebirgsstadion,Guido Winkmann,Match Report,
Round of 16,Wed,2015-12-16,19:00 (12:00),Nürnberg,0–2,Hertha BSC,35204,Max-Morlock-Stadion,Tobias Stieler,Match Report,
Round of 16,Wed,2015-12-16,19:00 (12:00),Stuttgart,3–2,Braunschweig,21950,Mercedes-Benz Arena,Peter Sippel,Match Report,Required Extra Time
Round of 16,Wed,2015-12-16,20:30 (13:30),Augsburg,0–2,Dortmund,30101,WWK Arena,Manuel Gräfe,Match Report,
Round of 16,Wed,2015-12-16,20:30 (13:30),1860 Munich,0–2,Bochum,19800,Allianz Arena,Marco Fritz,Match Report,
,,,,,,,,,,,
Quarter-finals,Tue,2016-02-09,19:00 (12:00),Bayer,1–3,Werder Bremen,24104,BayArena,Wolfgang Stark,Match Report,
Quarter-finals,Tue,2016-02-09,20:30 (13:30),Stuttgart,1–3,Dortmund,46500,Mercedes-Benz Arena,Tobias Stieler,Match Report,
Quarter-finals,Wed,2016-02-10,19:00 (12:00),Heidenheim,2–3,Hertha BSC,11900,Voith-Arena,Deniz Aytekin,Match Report,
Quarter-finals,Wed,2016-02-10,20:30 (13:30),Bochum,0–3,Bayern Munich,28000,Vonovia Ruhrstadion,Bastian Dankert,Match Report,
,,,,,,,,,,,
Semi-finals,Tue,2016-04-19,20:30 (13:30),Bayern Munich,2–0,Werder Bremen,75000,Allianz Arena,Tobias Stieler,Match Report,
Semi-finals,Wed,2016-04-20,20:30 (13:30),Hertha BSC,0–3,Dortmund,76233,Olympiastadion Berlin,Deniz Aytekin,Match Report,
,,,,,,,,,,,
Final,Sat,2016-05-21,20:00 (13:00),Bayern Munich,(4) 0–0 (3),Dortmund,74322,Olympiastadion Berlin,Marco Fritz,Match Report,Bayern Munich won on penalty kicks following extra time
