Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2015-08-07,19:00 (12:00),Erndtebrück,0–5,Darmstadt 98,7857,Leimbachstadion,Florian Heft,Match Report,
First Round,Fri,2015-08-07,19:00 (12:00),BFC Dynamo,0–2,FSV Frankfurt,6891,Friedrich-Ludwig-Jahn-Sportpark,Matthias Jöllenbeck,Match Report,
First Round,Fri,2015-08-07,20:00 (13:00),Elversberg,1–3,Augsburg,5435,Ursapharm-Arena an der Kaiserlinde,Sören Storks,Match Report,Required Extra Time
First Round,Sat,2015-08-08,15:30 (08:30),Erzgebirge Aue,1–0,Greuther Fürth,6000,Sparkassen-Erzgebirgsstadion,Robert Schröder,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),Bremer SV,0–3,Eint Frankfurt,3400,Florian Wellmann Stadion,Thorsten Schriever,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),S'gart Kickers,1–4,Wolfsburg,9760,GAZİ-Stadion auf der Waldau,Sascha Stegemann,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),Viktoria Köln,2–1,Union Berlin,4540,Sportpark Höhenberg,Timo Gerach,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),W'burg Kickers,0–2,Werder Bremen,10600,flyeralarm Arena,René Rohde,Match Report,Required Extra Time
First Round,Sat,2015-08-08,15:30 (08:30),Hallescher,0–1,Braunschweig,9579,ERDGAS Sportpark,Benjamin Cortus,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),Lotte,0–3,Bayer,5450,FRIMO Stadion,Martin Thomsen,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),Meppen,0–4,Köln,13815,Hänsch-Arena,Christian Dietz,Match Report,
First Round,Sat,2015-08-08,15:30 (08:30),MSV Duisburg,0–5,Schalke 04,30600,Schauinsland-Reisen-Arena,Wolfgang Stark,Match Report,
First Round,Sat,2015-08-08,18:00 (11:00),1860 Munich,2–0,Hoffenheim,17800,Allianz Arena,Harm Osmers,Match Report,
First Round,Sat,2015-08-08,20:30 (13:30),SSV Reutlingen,3–1,Karlsruher,8111,Stadion an der Kreuzeiche,Robert Kempter,Match Report,
First Round,Sat,2015-08-08,20:30 (13:30),Holstein Kiel,1–2,Stuttgart,9916,Holstein-Stadion,Guido Winkmann,Match Report,
First Round,Sun,2015-08-09,14:30 (07:30),Carl Zeiss Jena,3–2,Hamburger SV,13800,Ernst-Abbe-Sportfeld,Frank Willenborg,Match Report,Required Extra Time
First Round,Sun,2015-08-09,14:30 (07:30),Bahlingen,(3) 0–0 (5),Sandhausen,3500,Kaiserstuhlstadion,Florian Badstübner,Match Report,Sandhausen won on penalty kicks following extra time
First Round,Sun,2015-08-09,14:30 (07:30),Chemnitzer FC,0–2,Dortmund,12500,Stadion Chemnitz,Peter Sippel,Match Report,
First Round,Sun,2015-08-09,14:30 (07:30),Barmbek U,0–5,Freiburg,4500,Edmund-Plambeck-Stadion,Steffen Mix,Match Report,
First Round,Sun,2015-08-09,14:30 (07:30),Salmrohr,0–5,Bochum,3000,Salmtalstadion,Patrick Schult,Match Report,
First Round,Sun,2015-08-09,16:00 (09:00),Lübeck,1–2,Paderborn 07,7558,Stadion an der Lohmühle,Aarne Aarnink,Match Report,
First Round,Sun,2015-08-09,16:00 (09:00),Nöttingen,1–3,Bayern Munich,29486,Wildparkstadion,Robert Kampka,Match Report,
First Round,Sun,2015-08-09,16:00 (09:00),Unterhaching,2–1,Ingolstadt 04,6500,Alpenbauer Sportpark,Patrick Ittrich,Match Report,
First Round,Sun,2015-08-09,16:00 (09:00),Pirmasens,1–4,Heidenheim,2320,Sportpark Husterhöhe,Thorben Siewer,Match Report,
First Round,Sun,2015-08-09,16:00 (09:00),RW Essen,(1) 0–0 (3),Düsseldorf,17500,Stadion Essen,Daniel Siebert,Match Report,Düsseldorf won on penalty kicks following extra time
First Round,Sun,2015-08-09,18:30 (11:30),Hessen Kassel,0–2,Hannover 96,18482,Auestadion,Patrick Alt,Match Report,
First Round,Sun,2015-08-09,18:30 (11:30),Hansa Rostock,(4) 0–0 (5),Kaiserslautern,19500,Ostseestadion,Sven Jablonski,Match Report,Kaiserslautern won on penalty kicks following extra time
First Round,Sun,2015-08-09,20:30 (13:30),Energie Cottbus,0–3,Mainz 05,11123,Stadion der Freundschaft,Robert Hartmann,Match Report,
First Round,Mon,2015-08-10,18:30 (11:30),Aalen,(1) 0–0 (2),Nürnberg,9172,Scholz Arena,Bibiana Steinhaus,Match Report,Nürnberg won on penalty kicks following extra time
First Round,Mon,2015-08-10,18:30 (11:30),Arminia,0–2,Hertha BSC,21500,SchücoArena,Benjamin Brand,Match Report,
First Round,Mon,2015-08-10,18:30 (11:30),Osnabrück,0–2,RB Leipzig,,Stadion an der Bremer Brücke,Martin Petersen,Match Report,Match awarded to RB Leipzig
First Round,Mon,2015-08-10,20:30 (13:30),St. Pauli,1–4,M'gladbach,28175,Millerntor-Stadion,Florian Meyer,Match Report,
,,,,,,,,,,,
Second Round,Tue,2015-10-27,19:00 (13:00),Erzgebirge Aue,1–0,Eint Frankfurt,10175,Sparkassen-Erzgebirgsstadion,Robert Hartmann,Match Report,
Second Round,Tue,2015-10-27,19:00 (13:00),FSV Frankfurt,1–2,Hertha BSC,8177,Frankfurter Volksbank Stadion,Patrick Ittrich,Match Report,Required Extra Time
Second Round,Tue,2015-10-27,19:00 (13:00),Nürnberg,5–1,Düsseldorf,19235,Max-Morlock-Stadion,Marco Fritz,Match Report,
Second Round,Tue,2015-10-27,19:00 (13:00),Mainz 05,1–2,1860 Munich,17617,Opel Arena,Harm Osmers,Match Report,
Second Round,Tue,2015-10-27,20:30 (14:30),Bochum,1–0,Kaiserslautern,18514,Vonovia Ruhrstadion,Günter Perl,Match Report,
Second Round,Tue,2015-10-27,20:30 (14:30),Unterhaching,3–0,RB Leipzig,5000,Alpenbauer Sportpark,Robert Kampka,Match Report,
