Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2018-11-09,19:55 (13:55),Haringey,0–1,AFC Wimbledon,2710,Coles Park,Michael Salisbury,Match Report,
First Round,Sat,2018-11-10,12:30 (06:30),Maidenhead Utd,0–4,Portsmouth,3205,York Road,Dean Whitestone,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Barnsley,4–0,Notts County,5878,Oakwell Stadium,Seb Stockbridge,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Southend United,1–1,Crawley Town,3935,Roots Hall Stadium,Scott Oldham,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Acc'ton Stanley,1–0,Colchester Utd,1267,Wham Stadium,Martin Coy,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Scunthorpe Utd,2–1,Burton Albion,2260,Glanford Park,Andy Haines,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Gillingham,0–0,Hartlepool Utd,2224,MEMS Priestfield Stadium,Brett Huxtable,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Lincoln City,3–2,Northampton,6012,Sincil Bank Stadium,Graham Salisbury,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Plymouth Argyle,1–0,Stevenage,5719,Home Park,Alan Young,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Swindon Town,2–1,York City,3744,The Energy Check County Ground,Carl Brook,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Sutton United,0–0,Slough,1830,The Borough Sports Ground,Sam Purkiss,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Police,0–2,Newport County,1137,Imber Court,Matt Donohue,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Exeter City,2–3,Blackpool,3188,St. James' Park,Lee Collins,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Bury,5–0,Dover Athletic,2355,Gigg Lane,Richard Holme,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Walsall,3–2,Coventry City,4760,The Banks's Stadium,Thomas Bramall,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Grimsby Town,3–1,MK Dons,1991,Blundell Park,Carl Boyeson,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Morecambe,0–0,FC Halifax Town,1736,Globe Arena,Darren Drysdale,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Tranmere Rovers,3–3,Oxford City,4206,Prenton Park,Daniel Middleton,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Southport,2–0,Boreham Wood,1460,Haig Avenue,Marc Edwards,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Luton Town,2–0,Wycombe,5343,Kenilworth Road Stadium,Craig Hicks,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Yeovil Town,1–3,Stockport,2550,Huish Park Stadium,David Rock,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Bromley,1–3,P'borough Utd,3107,The H2T Group Stadium,Kevin Johnson,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Crewe Alexandra,0–1,Carlisle United,2467,Alexandra Stadium,Lee Swabey,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Chesterfield,1–1,Billericay,2952,Proact Stadium,Martin Woods,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Oxford United,0–0,FG Rovers,3933,The Kassam Stadium,Nick Kinseley,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Maidstone Utd,2–1,Macclesfield,2169,Gallagher Stadium,Neil Hair,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Torquay,0–1,Woking,2419,Plainmoor Ground,Declan Bourne,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Aldershot Town,1–1,Bradford City,2455,Electrical Services Stadium,Paul Marsden,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Rochdale,2–1,Gateshead,2415,Crown Oil Arena,Peter Wright,Match Report,
First Round,Sat,2018-11-10,15:00 (09:00),Ebbsfleet Utd,0–0,Cheltenham,1624,Stonebridge Road,John Busby,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Shrewsbury,1–1,Salford City,4351,Montgomery Waters Meadow,Ben Toner,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Hitchin,0–2,Solihull Moors,3148,Top Field,Andrew Miller,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Weston,0–2,Wrexham,1170,Woodspring Stadium,Leigh Doughty,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Mansfield Town,1–1,Charlton Ath,3240,One Call Stadium,Oliver Yates,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Barnet,1–1,Bristol Rovers,1705,The Hive Stadium,Rob Lewis,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Alfreton Town,1–4,Fleetwood Town,872,The Impact Arena,Chris Sarginson,Match Report,
First Round,Sun,2018-11-11,12:45 (06:45),Guiseley,4–3,Cambridge Utd,1097,Nethermoor Park,Trevor Kettle,Match Report,
