Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2016-11-04,19:45 (14:45),Millwall,1–0,Southend United,4502,The Den,James Linington,Match Report,
First Round,Fri,2016-11-04,19:55 (14:55),Eastleigh,1–1,Swindon Town,3312,Silverlake Stadium,Oliver Langford,Match Report,
First Round,Sat,2016-11-05,12:00 (07:00),Crawley Town,1–1,Bristol Rovers,2281,Checkatrade.com Stadium,Darren Deadman,Match Report,
First Round,Sat,2016-11-05,12:30 (07:30),Merstham,0–5,Oxford United,1920,Moatside Stadium,John Brooks,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Port Vale,1–0,Stevenage,3093,Vale Park,Mark Haywood,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Braintree Town,7–0,Eastbourne Bor,645,Ironmongery Direct Stadium,Stephen Ross,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Northampton,6–0,Harrow Borough,3406,Sixfields Stadium,Ross Joyce,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),P'borough Utd,2–1,Chesham United,4328,ABAX Stadium,Darren Handley,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Stockport,2–4,Woking,4025,Edgeley Park,Thomas Bramall,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Exeter City,1–3,Luton Town,2972,St. James' Park,John Busby,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Oldham Athletic,2–1,Doncaster,2984,Boundary Park,David Webb,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Bury,2–2,AFC Wimbledon,2346,Gigg Lane,Jeremy Simpson,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Dartford,3–6,Sutton United,1689,Princes Park,Samuel Allison,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Lincoln City,2–1,Altrincham,3529,Sincil Bank Stadium,Steve Rushton,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Dag & Red,0–0,FC Halifax Town,1387,Chigwell Construction Stadium,Neil Hair,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Colchester Utd,1–2,Chesterfield,1840,JobServe Community Stadium,Lee Probert,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Shrewsbury,3–0,Barnet,3120,Montgomery Waters Meadow,Ben Toner,Match Report,
First Round,Sat,2016-11-05,15:00 (10:00),Yeovil Town,2–2,Solihull Moors,2118,Huish Park Stadium,David Rock,Match Report,
