Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,,Tue,2015-11-17,19:45 (13:45),Newport County,4–1,Brackley Town,1511,Rodney Parade,Stuart Attwell,Match Report,
First Round,,Wed,2015-11-18,19:45 (13:45),Bradford City,2–0,Aldershot Town,2930,Northern Commercials Stadium,Keith Hill,Match Report,
First Round,,Thu,2015-11-19,19:45 (13:45),Maidenhead Utd,1–3,Port Vale,2212,York Road,Dean Whitestone,Match Report,
,,,,,,,,,,,,
Second Round,,Fri,2015-12-04,19:55 (13:55),Salford City,1–1,Hartlepool Utd,1400,The Peninsula Stadium,Gavin Ward,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Millwall,1–2,Wycombe,3960,The Den,Fred Graham,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Barnet,0–1,Newport County,1767,The Hive Stadium,Dean Whitestone,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Sheffield Utd,1–0,Oldham Athletic,6938,Bramall Lane,Eddie Ilderton,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Chesterfield,1–1,Walsall,4126,Proact Stadium,Richard Clark,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Leyton Orient,0–0,Scunthorpe Utd,2540,Matchroom Stadium,James Linington,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Yeovil Town,1–0,Stevenage,2264,Huish Park Stadium,Chris Sarginson,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Northampton,3–2,Northwich Vic,3837,Sixfields Stadium,Paul Tierney,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Stourbridge,0–2,Eastleigh,2086,War Memorial Athletic Ground,Ben Toner,Match Report,
Second Round,,Sat,2015-12-05,15:00 (09:00),Portsmouth,1–0,Acc'ton Stanley,9258,Fratton Park,Kevin Johnson,Match Report,
Second Round,,Sun,2015-12-06,12:00 (06:00),Rochdale,0–1,Bury,4887,Crown Oil Arena,Darren Drysdale,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Dag & Red,1–1,Whitehawk,1983,Chigwell Construction Stadium,Lee Swabey,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Cambridge Utd,1–3,Doncaster,3951,The Cambs Glass Stadium,Mark Brown,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Colchester Utd,3–2,Altrincham,2592,JobServe Community Stadium,Andrew Davies,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Bradford City,4–0,Chesham United,6047,Northern Commercials Stadium,Scott Duncan,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Oxford United,1–0,FG Rovers,4618,The Kassam Stadium,Rob Lewis,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),P'borough Utd,2–0,Luton Town,8329,ABAX Stadium,Nigel Miller,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Exeter City,2–0,Port Vale,3565,St. James' Park,Trevor Kettle,Match Report,
Second Round,,Sun,2015-12-06,14:00 (08:00),Welling United,0–5,Carlisle United,2028,Park View Road,Simon Hooper,Match Report,
Second Round,,Mon,2015-12-07,19:45 (13:45),Grimsby Town,0–0,Shrewsbury,3366,Blundell Park,Seb Stockbridge,Match Report,
Second Round,,Tue,2015-12-15,19:45 (13:45),Walsall,(5) 0–0 (3),Chesterfield,2953,The Banks's Stadium,Charles Breakspear,Match Report,Walsall won replayed match on penalty kicks following extra time
Second Round,,Tue,2015-12-15,19:45 (13:45),Shrewsbury,1–0,Grimsby Town,2730,Montgomery Waters Meadow,Dean Whitestone,Match Report,
Second Round,,Tue,2015-12-15,19:45 (13:45),Scunthorpe Utd,3–0,Leyton Orient,3082,Glanford Park,David Webb,Match Report,
