Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2017-08-11,19:00 (12:00),Koblenz,2–3,Dynamo Dres,6300,Stadion Zwickau,Markus Schmidt,Match Report,
First Round,Fri,2017-08-11,20:45 (13:45),RW Essen,1–2,M'gladbach,18500,Stadion Essen,Patrick Ittrich,Match Report,
First Round,Fri,2017-08-11,20:45 (13:45),Holstein Kiel,2–1,Braunschweig,10052,Holstein-Stadion,Guido Winkmann,Match Report,
First Round,Fri,2017-08-11,20:45 (13:45),Karlsruher,0–3,Bayer,17073,Wildparkstadion,Robert Hartmann,Match Report,Required Extra Time
First Round,Sat,2017-08-12,15:30 (08:30),Unterhaching,0–4,Heidenheim,5000,Alpenbauer Sportpark,Timo Gerach,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Erndtebrück,0–3,Eint Frankfurt,13106,Leimbachstadion,Benedikt Kempkes,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Halberstadt,1–2,Freiburg,5037,Friedensstadion,Christof Günsch,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Eichede,0–4,Kaiserslautern,4039,Ernst-Wagener-Stadion,Sven Waschitzki,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Chemnitzer FC,0–5,Bayern Munich,15015,Stadion Chemnitz,Bibiana Steinhaus,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Rielasingen,0–4,Dortmund,24000,Schwarzwald-Stadion,Christian Dietz,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),Leher,0–5,Köln,8119,Nordseestadion,René Rohde,Match Report,
First Round,Sat,2017-08-12,15:30 (08:30),LSK Hansa,1–3,Mainz 05,3800,Sportanlage Sülzwiesen A-Platz,Sven Jablonski,Match Report,
First Round,Sat,2017-08-12,18:30 (11:30),Rot-Weiß Erfurt,0–1,Hoffenheim,8144,Multifunktionsarena Erfurt,Daniel Siebert,Match Report,
First Round,Sat,2017-08-12,18:30 (11:30),Jahn R'burg,3–1,Darmstadt 98,8919,Continental Arena,Martin Petersen,Match Report,
First Round,Sat,2017-08-12,18:30 (11:30),Arminia,1–3,Düsseldorf,19825,SchücoArena,Harm Osmers,Match Report,Required Extra Time
First Round,Sat,2017-08-12,20:45 (13:45),W'burg Kickers,0–3,Werder Bremen,8090,flyeralarm Arena,Sascha Stegemann,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Bonner SC,2–6,Hannover 96,9650,Sportpark Nord,Daniel Schlager,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Saarbrücken,1–2,Union Berlin,6936,Hermann-Neuberger-Stadion,Sören Storks,Match Report,Required Extra Time
First Round,Sun,2017-08-13,15:30 (08:30),SV Morlautern,0–5,Greuther Fürth,2800,Fritz-Walter-Stadion,Robert Kempter,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Norderstedt,0–1,Wolfsburg,4500,Edmund-Plambeck-Stadion,Lasse Koslowski,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Osnabrück,3–1,Hamburger SV,16000,Stadion an der Bremer Brücke,Deniz Aytekin,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Dorfmerkingen,0–5,RB Leipzig,10460,Scholz Arena,Florian Badstübner,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),TSV 1860,1–2,Ingolstadt 04,12500,Städtisches Stadion an der Grünwalder St...,Tobias Stieler,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Nöttingen,2–5,Bochum,2700,Wildparkstadion,Robert Schröder,Match Report,
First Round,Sun,2017-08-13,15:30 (08:30),Schweinfurt 05,2–1,Sandhausen,4610,Willy-Sachs-Stadion,Robert Kampka,Match Report,
First Round,Sun,2017-08-13,18:30 (11:30),Wehen,2–0,Erzgebirge Aue,2500,BRITA-Arena,Frank Willenborg,Match Report,
First Round,Sun,2017-08-13,18:30 (11:30),Cottbus,(3) 2–2 (4),Stuttgart,17516,Stadion der Freundschaft,Benjamin Cortus,Match Report,Stuttgart won on penalty kicks following extra time
First Round,Sun,2017-08-13,18:30 (11:30),Magdeburg,2–0,Augsburg,21641,MDCC-Arena,Guido Winkmann,Match Report,
First Round,Mon,2017-08-14,18:30 (11:30),BFC Dynamo,0–2,Schalke 04,14117,Friedrich-Ludwig-Jahn-Sportpark,Aarne Aarnink,Match Report,
First Round,Mon,2017-08-14,18:30 (11:30),Paderborn 07,2–1,St. Pauli,15000,Benteler-Arena,Sven Jablonski,Match Report,
First Round,Mon,2017-08-14,18:30 (11:30),MSV Duisburg,1–2,Nürnberg,15576,Schauinsland-Reisen-Arena,Christian Dingert,Match Report,
First Round,Mon,2017-08-14,20:45 (13:45),Hansa Rostock,0–2,Hertha BSC,22400,Ostseestadion,Robert Hartmann,Match Report,
,,,,,,,,,,,
Second Round,Tue,2017-10-24,18:30 (11:30),Düsseldorf,0–1,M'gladbach,52500,Merkur Spielarena,Manuel Gräfe,Match Report,
Second Round,Tue,2017-10-24,18:30 (11:30),Bayer,4–1,Union Berlin,24326,BayArena,Frank Willenborg,Match Report,
Second Round,Tue,2017-10-24,18:30 (11:30),Paderborn 07,2–0,Bochum,15000,Benteler-Arena,Sascha Stegemann,Match Report,
Second Round,Tue,2017-10-24,18:30 (11:30),Wehen,1–3,Schalke 04,11373,BRITA-Arena,Sven Jablonski,Match Report,
Second Round,Tue,2017-10-24,20:45 (13:45),Magdeburg,0–5,Dortmund,23102,MDCC-Arena,Daniel Siebert,Match Report,
Second Round,Tue,2017-10-24,20:45 (13:45),Mainz 05,3–2,Holstein Kiel,10441,Opel Arena,Daniel Schlager,Match Report,Required Extra Time
Second Round,Tue,2017-10-24,20:45 (13:45),Schweinfurt 05,0–4,Eint Frankfurt,15060,Willy-Sachs-Stadion,Aarne Aarnink,Match Report,
Second Round,Tue,2017-10-24,20:45 (13:45),Greuther Fürth,1–3,Ingolstadt 04,4925,Sportpark Ronhof Thomas Sommer,Harm Osmers,Match Report,
Second Round,Wed,2017-10-25,18:30 (11:30),Hertha BSC,1–3,Köln,33459,Olympiastadion Berlin,Marco Fritz,Match Report,
Second Round,Wed,2017-10-25,18:30 (11:30),Kaiserslautern,1–3,Stuttgart,28322,Fritz-Walter-Stadion,Patrick Ittrich,Match Report,
Second Round,Wed,2017-10-25,18:30 (11:30),Osnabrück,2–3,Nürnberg,13557,Stadion an der Bremer Brücke,Bastian Dankert,Match Report,
Second Round,Wed,2017-10-25,18:30 (11:30),Wolfsburg,1–0,Hannover 96,15508,Volkswagen Arena,Felix Brych,Match Report,
Second Round,Wed,2017-10-25,20:45 (13:45),Jahn R'burg,2–5,Heidenheim,6678,Continental Arena,Christian Dingert,Match Report,
Second Round,Wed,2017-10-25,20:45 (13:45),RB Leipzig,(4) 1–1 (5),Bayern Munich,42558,Red Bull Arena,Felix Zwayer,Match Report,Bayern Munich won on penalty kicks following extra time
Second Round,Wed,2017-10-25,20:45 (13:45),Werder Bremen,1–0,Hoffenheim,31210,Weserstadion Platz 12,Tobias Stieler,Match Report,
Second Round,Wed,2017-10-25,20:45 (13:45),Freiburg,3–1,Dynamo Dres,17800,Schwarzwald-Stadion,Benjamin Brand,Match Report,
,,,,,,,,,,,
Round of 16,Tue,2017-12-19,18:30 (11:30),Paderborn 07,1–0,Ingolstadt 04,14800,Benteler-Arena,Felix Zwayer,Match Report,
Round of 16,Tue,2017-12-19,18:30 (11:30),Mainz 05,3–1,Stuttgart,22193,Opel Arena,Tobias Stieler,Match Report,
Round of 16,Tue,2017-12-19,20:45 (13:45),Schalke 04,1–0,Köln,56392,Veltins-Arena,Robert Hartmann,Match Report,
Round of 16,Tue,2017-12-19,20:45 (13:45),Nürnberg,0–2,Wolfsburg,26104,Max-Morlock-Stadion,Daniel Siebert,Match Report,Required Extra Time
Round of 16,Wed,2017-12-20,18:30 (11:30),Werder Bremen,3–2,Freiburg,33519,Weserstadion,Guido Winkmann,Match Report,
Round of 16,Wed,2017-12-20,18:30 (11:30),M'gladbach,0–1,Bayer,49016,Stadion im Borussia-Park,Manuel Gräfe,Match Report,
Round of 16,Wed,2017-12-20,20:45 (13:45),Heidenheim,1–2,Eint Frankfurt,11000,Voith-Arena,Sven Jablonski,Match Report,Required Extra Time
Round of 16,Wed,2017-12-20,20:45 (13:45),Bayern Munich,2–1,Dortmund,75000,Allianz Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,
Quarter-finals,Tue,2018-02-06,18:30 (11:30),Paderborn 07,0–6,Bayern Munich,15000,Benteler-Arena,Markus Schmidt,Match Report,
Quarter-finals,Tue,2018-02-06,20:45 (13:45),Bayer,4–2,Werder Bremen,25653,BayArena,Marco Fritz,Match Report,Required Extra Time
Quarter-finals,Wed,2018-02-07,18:30 (11:30),Eint Frankfurt,3–0,Mainz 05,48200,Commerzbank-Arena,Deniz Aytekin,Match Report,
Quarter-finals,Wed,2018-02-07,20:45 (13:45),Schalke 04,1–0,Wolfsburg,50642,Veltins-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
Semi-finals,Tue,2018-04-17,20:45 (13:45),Bayer,2–6,Bayern Munich,30210,BayArena,Daniel Siebert,Match Report,
Semi-finals,Wed,2018-04-18,20:45 (13:45),Schalke 04,0–1,Eint Frankfurt,60000,Veltins-Arena,Robert Hartmann,Match Report,
,,,,,,,,,,,
Final,Sat,2018-05-19,20:00 (13:00),Bayern Munich,1–3,Eint Frankfurt,76322,Olympiastadion Berlin,Felix Zwayer,Match Report,
