Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2015-08-22,20:30 (13:30),Huesca,2–3,Alavés,2583,Estadio El Alcoraz,Saúl Ais,Match Report,
Regular Season,1,Sat,2015-08-22,20:30 (13:30),Llagostera,0–2,Osasuna,2105,Estadi Municipal Palamós Costa Brava,Francisco Arias,Match Report,
Regular Season,1,Sat,2015-08-22,20:30 (13:30),Alcorcón,2–0,Mallorca,1479,Estadio Santo Domingo,Juan López,Match Report,
Regular Season,1,Sat,2015-08-22,22:30 (15:30),Córdoba,1–0,Valladolid,13041,Estadio Nuevo Arcángel,Víctor Areces,Match Report,
Regular Season,1,Sun,2015-08-23,18:30 (11:30),Mirandés,1–1,Zaragoza,4319,Estadio Municipal de Anduva,José Piñeiro,Match Report,
Regular Season,1,Sun,2015-08-23,18:30 (11:30),Oviedo,2–2,Lugo,13423,Estadio Nuevo Carlos Tartiere,Jorge Valdés Aller,Match Report,
Regular Season,1,Sun,2015-08-23,20:30 (13:30),Numancia,6–3,Tenerife,2347,Nuevo Estadio Los Pajaritos,David Medié,Match Report,
Regular Season,1,Sun,2015-08-23,20:30 (13:30),Gimnàstic,2–2,Albacete,4843,Nou Estadi de Tarragona,Rubén Eiriz,Match Report,
Regular Season,1,Sun,2015-08-23,20:30 (13:30),Ponferradina,2–0,Elche,4166,Estadio El Toralín,Rubén Ruipérez,Match Report,
Regular Season,1,Sun,2015-08-23,20:30 (13:30),Almería,3–2,Leganés,8801,Estadio de los Juegos Mediterráneos,Dámaso Arcediano,Match Report,
Regular Season,1,Mon,2015-08-24,21:00 (14:00),Bilbao B,0–1,Girona,8224,San Mamés,Guillermo Cuadra,Match Report,
,,,,,,,,,,,,
Regular Season,2,Sat,2015-08-29,18:30 (11:30),Lugo,1–0,Llagostera,2960,Estadio Anxo Carro,Pablo González,Match Report,
Regular Season,2,Sat,2015-08-29,20:30 (13:30),Leganés,3–1,Córdoba,3763,Estadio Municipal de Butarque,Daniel Trujillo,Match Report,
Regular Season,2,Sat,2015-08-29,20:30 (13:30),Albacete,1–1,Huesca,6287,Estadio Carlos Belmonte,Oliver De La Fuente,Match Report,
Regular Season,2,Sat,2015-08-29,20:30 (13:30),Girona,2–3,Numancia,3534,Estadi Municipal de Montilivi,Adrián Cordero,Match Report,
Regular Season,2,Sat,2015-08-29,22:30 (15:30),Zaragoza,3–2,Almería,9500,Estadio de la Romareda,Valentín Pizarro,Match Report,
Regular Season,2,Sun,2015-08-30,18:30 (11:30),Alavés,2–0,Oviedo,9353,Estadio de Mendizorroza,David Pérez,Match Report,
Regular Season,2,Sun,2015-08-30,18:30 (11:30),Osasuna,1–0,Mirandés,13403,Estadio El Sadar,Víctor Areces,Match Report,
Regular Season,2,Sun,2015-08-30,19:30 (13:30),Tenerife,1–2,Gimnàstic,9174,Estadio Heliodoro Rodríguez Lopéz,José Luis Munuera,Match Report,
Regular Season,2,Sun,2015-08-30,20:30 (13:30),Elche,2–1,Bilbao B,10209,Estadio Manuel Martínez Valero,Jorge Figueroa,Match Report,
Regular Season,2,Sun,2015-08-30,20:30 (13:30),Valladolid,2–0,Alcorcón,8016,Estadio Municipal José Zorrilla,Alberola Rojas,Match Report,
Regular Season,2,Sun,2015-08-30,20:30 (13:30),Mallorca,1–0,Ponferradina,8715,Iberostar Estadi,Daniel Ocón,Match Report,
,,,,,,,,,,,,
Regular Season,3,Sat,2015-09-05,18:00 (11:00),Huesca,1–1,Tenerife,2518,Estadio El Alcoraz,Jorge Valdés Aller,Match Report,
Regular Season,3,Sat,2015-09-05,18:00 (11:00),Mirandés,1–1,Lugo,2990,Estadio Municipal de Anduva,Juan López,Match Report,
Regular Season,3,Sat,2015-09-05,18:00 (11:00),Numancia,0–0,Elche,3024,Nuevo Estadio Los Pajaritos,Víctor Areces,Match Report,
Regular Season,3,Sat,2015-09-05,18:00 (11:00),Gimnàstic,1–0,Girona,5823,Nou Estadi de Tarragona,José Piñeiro,Match Report,
Regular Season,3,Sun,2015-09-06,12:00 (05:00),Bilbao B,3–1,Mallorca,8982,Estadio Santa María de Lezama,Rubén Eiriz,Match Report,
Regular Season,3,Sun,2015-09-06,17:00 (10:00),Córdoba,1–3,Alcorcón,15136,Estadio Nuevo Arcángel,Saúl Ais,Match Report,
Regular Season,3,Sun,2015-09-06,17:00 (10:00),Oviedo,3–1,Albacete,12980,Estadio Nuevo Carlos Tartiere,Guillermo Cuadra,Match Report,
Regular Season,3,Sun,2015-09-06,17:00 (10:00),Llagostera,3–0,Alavés,1115,Estadi Municipal Palamós Costa Brava,Rubén Ruipérez,Match Report,
Regular Season,3,Sun,2015-09-06,17:00 (10:00),Ponferradina,3–0,Valladolid,4859,Estadio El Toralín,Dámaso Arcediano,Match Report,
Regular Season,3,Sun,2015-09-06,19:15 (12:15),Almería,2–1,Osasuna,9299,Estadio de los Juegos Mediterráneos,David Medié,Match Report,
Regular Season,3,Sun,2015-09-06,19:15 (12:15),Leganés,1–1,Zaragoza,5035,Estadio Municipal de Butarque,Francisco Arias,Match Report,
,,,,,,,,,,,,
Regular Season,4,Sat,2015-09-12,18:00 (11:00),Elche,1–0,Gimnàstic,9492,Estadio Manuel Martínez Valero,Alberola Rojas,Match Report,
Regular Season,4,Sat,2015-09-12,18:00 (11:00),Alavés,2–3,Mirandés,10361,Estadio de Mendizorroza,Pablo González,Match Report,
Regular Season,4,Sat,2015-09-12,18:00 (11:00),Osasuna,2–1,Leganés,12152,Estadio El Sadar,Oliver De La Fuente,Match Report,
Regular Season,4,Sat,2015-09-12,18:00 (11:00),Valladolid,1–0,Bilbao B,8249,Estadio Municipal José Zorrilla,Daniel Ocón,Match Report,
Regular Season,4,Sat,2015-09-12,20:15 (13:15),Zaragoza,0–1,Córdoba,15555,Estadio de la Romareda,Gorka Sagues,Match Report,
Regular Season,4,Sun,2015-09-13,12:00 (05:00),Girona,0–0,Huesca,4153,Estadi Municipal de Montilivi,David Pérez,Match Report,
Regular Season,4,Sun,2015-09-13,17:00 (10:00),Alcorcón,1–0,Ponferradina,2224,Estadio Santo Domingo,Jorge Figueroa,Match Report,
Regular Season,4,Sun,2015-09-13,17:00 (10:00),Albacete,1–0,Llagostera,5913,Estadio Carlos Belmonte,José Luis Munuera,Match Report,
Regular Season,4,Sun,2015-09-13,17:00 (10:00),Lugo,1–0,Almería,3704,Estadio Anxo Carro,Adrián Cordero,Match Report,
Regular Season,4,Sun,2015-09-13,17:00 (10:00),Mallorca,0–0,Numancia,7704,Iberostar Estadi,Daniel Trujillo,Match Report,
Regular Season,4,Sun,2015-09-13,18:15 (12:15),Tenerife,0–2,Oviedo,8781,Estadio Heliodoro Rodríguez Lopéz,Valentín Pizarro,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,2015-09-19,16:00 (09:00),Oviedo,1–2,Girona,12983,Estadio Nuevo Carlos Tartiere,Dámaso Arcediano,Match Report,
Regular Season,5,Sat,2015-09-19,18:15 (11:15),Llagostera,0–2,Tenerife,1428,Estadi Municipal Palamós Costa Brava,Juan López,Match Report,
Regular Season,5,Sat,2015-09-19,18:15 (11:15),Mirandés,1–1,Albacete,3156,Estadio Municipal de Anduva,Francisco Arias,Match Report,
