Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-08-18,20:00 (13:00),Lorca FC,2–0,Cultural Leonesa,4920,Estadio Francisco Artés Carrasco,Santiago Varón,Match Report,
Regular Season,1,Fri,2017-08-18,21:00 (15:00),Tenerife,1–0,Zaragoza,10287,Estadio Heliodoro Rodríguez Lopéz,Dámaso Arcediano,Match Report,
Regular Season,1,Sat,2017-08-19,19:00 (12:00),Alcorcón,0–0,Sporting Gijón,2859,Estadio Santo Domingo,Gorka Sagues,Match Report,
Regular Season,1,Sat,2017-08-19,19:00 (12:00),Osasuna,1–1,Sevilla B,13482,Estadio El Sadar,Rubén Eiriz,Match Report,
Regular Season,1,Sat,2017-08-19,20:30 (13:30),Numancia,1–0,Huesca,2481,Nuevo Estadio Los Pajaritos,Daniel Ocón,Match Report,
Regular Season,1,Sat,2017-08-19,20:30 (13:30),Córdoba,1–2,Cádiz,11503,Estadio Nuevo Arcángel,Aitor Gorostegui,Match Report,
Regular Season,1,Sat,2017-08-19,22:00 (15:00),Valladolid,1–2,Barcelona B,7115,Estadio Municipal José Zorrilla,Juan Pulido,Match Report,
Regular Season,1,Sun,2017-08-20,19:00 (12:00),Oviedo,2–3,Rayo Vallecano,12531,Estadio Nuevo Carlos Tartiere,Adrián Cordero,Match Report,
Regular Season,1,Sun,2017-08-20,20:30 (13:30),Gimnàstic,0–1,Almería,5861,Nou Estadi de Tarragona,Oliver De La Fuente,Match Report,
Regular Season,1,Sun,2017-08-20,22:00 (15:00),Granada,0–0,Albacete,10911,Estadio Nuevo Los Cármenes,Álvaro Moreno,Match Report,
Regular Season,1,Mon,2017-08-21,20:00 (13:00),Lugo,0–0,Reus,3106,Estadio Anxo Carro,José López,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2017-08-25,20:00 (13:00),Albacete,0–3,Córdoba,6604,Estadio Carlos Belmonte,David Pérez,Match Report,
