Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-03,20:30 (13:30),Hamburger SV,0–3,Holstein Kiel,57000,Volksparkstadion,Marco Fritz,Match Report,
Regular Season,1,Sat,2018-08-04,13:00 (06:00),Bochum,0–2,Köln,26600,Vonovia Ruhrstadion,Felix Zwayer,Match Report,
Regular Season,1,Sat,2018-08-04,15:30 (08:30),Greuther Fürth,3–1,Sandhausen,8450,Sportpark Ronhof Thomas Sommer,Tobias Stieler,Match Report,
Regular Season,1,Sat,2018-08-04,15:30 (08:30),Jahn R'burg,2–1,Ingolstadt 04,13516,Continental Arena,Sören Storks,Match Report,
Regular Season,1,Sun,2018-08-05,13:30 (06:30),Magdeburg,1–2,St. Pauli,24156,MDCC-Arena,Frank Willenborg,Match Report,
Regular Season,1,Sun,2018-08-05,15:30 (08:30),Heidenheim,1–1,Arminia,10500,Voith-Arena,Patrick Ittrich,Match Report,
Regular Season,1,Sun,2018-08-05,15:30 (08:30),Union Berlin,1–0,Erzgebirge Aue,21752,Stadion An der Alten Försterei,Benjamin Cortus,Match Report,
Regular Season,1,Sun,2018-08-05,15:30 (08:30),Darmstadt 98,1–0,Paderborn 07,15400,Jonathan-Heimes-Stadion am Böllenfalltor,Bastian Dankert,Match Report,
Regular Season,1,Mon,2018-08-06,20:30 (13:30),Dynamo Dres,1–0,MSV Duisburg,28733,DDV-Stadion,Daniel Siebert,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2018-08-10,18:30 (11:30),Ingolstadt 04,1–1,Greuther Fürth,9861,Audi-Sportpark,Markus Schmidt,Match Report,
Regular Season,2,Fri,2018-08-10,18:30 (11:30),Paderborn 07,2–0,Jahn R'burg,9458,Benteler-Arena,Robert Kampka,Match Report,
Regular Season,2,Fri,2018-08-10,20:30 (13:30),St. Pauli,2–0,Darmstadt 98,29140,Millerntor-Stadion,Guido Winkmann,Match Report,
Regular Season,2,Sat,2018-08-11,13:00 (06:00),MSV Duisburg,0–2,Bochum,20541,Schauinsland-Reisen-Arena,Christian Dingert,Match Report,
Regular Season,2,Sat,2018-08-11,15:30 (08:30),Arminia,2–1,Dynamo Dres,19409,SchücoArena,Sven Jablonski,Match Report,
Regular Season,2,Sun,2018-08-12,13:30 (06:30),Sandhausen,0–3,Hamburger SV,14508,Hardtwaldstadion,Tobias Welz,Match Report,
Regular Season,2,Sun,2018-08-12,15:30 (08:30),Erzgebirge Aue,0–0,Magdeburg,13300,Sparkassen-Erzgebirgsstadion,Robert Hartmann,Match Report,
Regular Season,2,Sun,2018-08-12,15:30 (08:30),Holstein Kiel,1–1,Heidenheim,9040,Holstein-Stadion,Sören Storks,Match Report,
Regular Season,2,Mon,2018-08-13,20:30 (13:30),Köln,1–1,Union Berlin,50000,RheinEnergieSTADION,Daniel Schlager,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2018-08-24,18:30 (11:30),Bochum,1–0,Sandhausen,13821,Vonovia Ruhrstadion,Patrick Alt,Match Report,
Regular Season,3,Fri,2018-08-24,18:30 (11:30),Darmstadt 98,3–0,MSV Duisburg,15170,Jonathan-Heimes-Stadion am Böllenfalltor,Robert Hartmann,Match Report,
Regular Season,3,Sat,2018-08-25,13:00 (06:00),Greuther Fürth,2–2,Paderborn 07,7480,Sportpark Ronhof Thomas Sommer,Tobias Reichel,Match Report,
Regular Season,3,Sat,2018-08-25,13:00 (06:00),Köln,3–1,Erzgebirge Aue,48000,RheinEnergieSTADION,Marco Fritz,Match Report,
Regular Season,3,Sat,2018-08-25,13:00 (06:00),Magdeburg,1–1,Ingolstadt 04,18913,MDCC-Arena,Thorben Siewer,Match Report,
Regular Season,3,Sun,2018-08-26,13:30 (06:30),Dynamo Dres,1–3,Heidenheim,26868,DDV-Stadion,Frank Willenborg,Match Report,
Regular Season,3,Sun,2018-08-26,13:30 (06:30),Jahn R'burg,0–0,Holstein Kiel,2970,Continental Arena,Sven Waschitzki,Match Report,
Regular Season,3,Sun,2018-08-26,13:30 (06:30),Union Berlin,4–1,St. Pauli,22012,Stadion An der Alten Försterei,Sven Jablonski,Match Report,
Regular Season,3,Mon,2018-08-27,20:30 (13:30),Hamburger SV,3–0,Arminia,46934,Volksparkstadion,Aarne Aarnink,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2018-08-31,18:30 (11:30),Ingolstadt 04,3–2,Erzgebirge Aue,8394,Audi-Sportpark,Martin Petersen,Match Report,
Regular Season,4,Fri,2018-08-31,18:30 (11:30),Paderborn 07,2–2,Bochum,12518,Benteler-Arena,Florian Badstübner,Match Report,
Regular Season,4,Sat,2018-09-01,13:00 (06:00),MSV Duisburg,0–1,Greuther Fürth,12070,Schauinsland-Reisen-Arena,Florian Heft,Match Report,
Regular Season,4,Sat,2018-09-01,13:00 (06:00),Arminia,5–3,Jahn R'burg,15388,SchücoArena,Robert Schröder,Match Report,
Regular Season,4,Sun,2018-09-02,13:30 (06:30),Heidenheim,0–1,Darmstadt 98,10350,Voith-Arena,Alexander Sather,Match Report,
Regular Season,4,Sun,2018-09-02,13:30 (06:30),Sandhausen,0–0,Union Berlin,5517,Hardtwaldstadion,Timo Gerach,Match Report,
Regular Season,4,Sun,2018-09-02,13:30 (06:30),St. Pauli,3–5,Köln,29546,Millerntor-Stadion,Benjamin Cortus,Match Report,
Regular Season,4,Mon,2018-09-03,20:30 (13:30),Holstein Kiel,2–1,Magdeburg,9314,Holstein-Stadion,Robert Kampka,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2018-09-14,18:30 (11:30),Union Berlin,2–2,MSV Duisburg,20329,Stadion An der Alten Försterei,Michael Bacher,Match Report,
Regular Season,5,Fri,2018-09-14,18:30 (11:30),Jahn R'burg,0–2,Dynamo Dres,13629,Continental Arena,René Rohde,Match Report,
Regular Season,5,Sat,2018-09-15,13:00 (06:00),Greuther Fürth,4–1,Holstein Kiel,8370,Sportpark Ronhof Thomas Sommer,Lasse Koslowski,Match Report,
Regular Season,5,Sat,2018-09-15,13:00 (06:00),Darmstadt 98,1–1,Sandhausen,15103,Jonathan-Heimes-Stadion am Böllenfalltor,Johann Pfeifer,Match Report,
Regular Season,5,Sat,2018-09-15,13:00 (06:00),Hamburger SV,3–2,Heidenheim,45379,Volksparkstadion,Harm Osmers,Match Report,
Regular Season,5,Sun,2018-09-16,13:30 (06:30),Köln,3–5,Paderborn 07,50000,RheinEnergieSTADION,Markus Schmidt,Match Report,
Regular Season,5,Sun,2018-09-16,13:30 (06:30),Erzgebirge Aue,3–1,St. Pauli,12000,Sparkassen-Erzgebirgsstadion,Bastian Dankert,Match Report,
Regular Season,5,Sun,2018-09-16,13:30 (06:30),Bochum,6–0,Ingolstadt 04,14341,Vonovia Ruhrstadion,Robert Kempter,Match Report,
Regular Season,5,Mon,2018-09-17,20:30 (13:30),Magdeburg,0–0,Arminia,19794,MDCC-Arena,Christof Günsch,Match Report,
,,,,,,,,,,,,
Regular Season,4,Tue,2018-09-18,18:30 (11:30),Dynamo Dres,0–1,Hamburger SV,30723,DDV-Stadion,Felix Zwayer,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2018-09-21,18:30 (11:30),Ingolstadt 04,0–1,St. Pauli,10164,Audi-Sportpark,Patrick Alt,Match Report,
