Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2019-11-10,12:45 (06:45),Bristol Rovers,1–1,Bromley,3649,Memorial Stadium,Daniel Middleton,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Barnet,0–2,Fleetwood Town,1100,The Hive Stadium,John Busby,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Leyton Orient,1–2,Maldon&Tiptree,3425,Matchroom Stadium,Charles Breakspear,Match Report,
First Round,Sun,2019-11-10,14:15 (08:15),Hayes&Yeading,0–2,Oxford United,1501,The SKYex Community Stadium,Darren Handley,Match Report,
First Round,Mon,2019-11-11,19:45 (13:45),Harrogate,1–2,Portsmouth,3048,CNG Stadium,Anthony Backhouse,Match Report,
First Round,Tue,2019-11-12,19:45 (13:45),Yeovil Town,1–4,Hartlepool Utd,2361,Huish Park Stadium,Carl Brook,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Bromley,0–1,Bristol Rovers,4558,The H2T Group Stadium,Chris Pollard,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Exeter City,1–0,Cambridge Utd,2719,St. James' Park,Sam Purkiss,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Burton Albion,4–1,Salford City,1479,Pirelli Stadium,Marc Edwards,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),P'borough Utd,2–0,Stevenage,3593,Weston Homes Stadium,Oliver Yates,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Eastleigh,3–0,Stourbridge,1509,Silverlake Stadium,Peter Gibbons,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Bradford City,0–1,Shrewsbury,3888,Northern Commercials Stadium,Paul Marsden,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Doncaster,2–0,AFC Wimbledon,3413,Keepmoat Stadium,Chris Sarginson,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Rochdale,1–0,Wrexham,1628,Crown Oil Arena,Seb Stockbridge,Match Report,
First Round,Tue,2019-11-19,19:45 (13:45),Gillingham,1–0,Sunderland,3561,MEMS Priestfield Stadium,Alan Young,Match Report,Required Extra Time
First Round,Tue,2019-11-19,19:45 (13:45),Swindon Town,0–1,Cheltenham,3000,The Energy Check County Ground,Darren Drysdale,Match Report,
First Round,Wed,2019-11-20,19:45 (13:45),Lincoln City,0–1,Ipswich Town,6781,Sincil Bank Stadium,Andy Haines,Match Report,
First Round,Wed,2019-11-20,19:45 (13:45),Darlington,0–1,Walsall,3106,Blackwell Meadows,Scott Oldham,Match Report,
First Round,Wed,2019-11-20,19:45 (13:45),Wycombe,1–2,Tranmere Rovers,2928,Adams Park,Graham Salisbury,Match Report,Required Extra Time
First Round,Wed,2019-11-20,19:45 (13:45),Newport County,2–0,Grimsby Town,2053,Rodney Parade,Darren Handley,Match Report,
,,,,,,,,,,,
Second Round,Fri,2019-11-29,19:55 (13:55),Maldon&Tiptree,0–1,Newport County,1876,Wallace Binder Stadium,Seb Stockbridge,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Oldham Athletic,0–1,Burton Albion,2858,Boundary Park,Andrew Davies,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Walsall,0–1,Oxford United,3224,The Banks's Stadium,Leigh Doughty,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Portsmouth,2–1,Altrincham,8539,Fratton Park,Tom Nield,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Shrewsbury,2–0,Mansfield Town,3678,Montgomery Waters Meadow,Andy Haines,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),FG Rovers,2–2,Carlisle United,1504,The New Lawn,Trevor Kettle,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Cheltenham,1–3,Port Vale,2725,Jonny-Rocks Stadium,Ross Joyce,Match Report,
Second Round,Sat,2019-11-30,15:00 (09:00),Kingstonian,0–2,Fylde,1460,King George's Field,Lee Swabey,Match Report,
Second Round,Sat,2019-11-30,17:30 (11:30),Eastleigh,1–1,Crewe Alexandra,1806,Silverlake Stadium,John Busby,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Coventry City,1–1,Ipswich Town,2878,St Andrew's Trillion Trophy Stadium,Anthony Backhouse,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Gillingham,3–0,Doncaster,3216,MEMS Priestfield Stadium,Darren Handley,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),P'borough Utd,3–0,Dover Athletic,4239,Weston Homes Stadium,Brett Huxtable,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Bristol Rovers,1–1,Plymouth Argyle,6215,Memorial Stadium,Will Finnie,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Crawley Town,1–2,Fleetwood Town,2000,Checkatrade.com Stadium,Matt Donohue,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Rochdale,0–0,Boston United,2583,Crown Oil Arena,Dean Whitestone,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Exeter City,2–2,Hartlepool Utd,3638,St. James' Park,Joshua Smith,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Northampton,3–1,Notts County,4489,Sixfields Stadium,Paul Marsden,Match Report,
Second Round,Sun,2019-12-01,14:00 (08:00),Blackpool,3–1,Maidstone Utd,3977,Bloomfield Road,James Adcock,Match Report,
Second Round,Sun,2019-12-01,15:00 (09:00),Tranmere Rovers,5–1,Chichester,4370,Prenton Park,Darren Drysdale,Match Report,
Second Round,Mon,2019-12-02,19:45 (13:45),Solihull Moors,3–4,Rotherham Utd,2317,Damson Park,Carl Boyeson,Match Report,
Second Round,Tue,2019-12-10,19:45 (13:45),Crewe Alexandra,3–1,Eastleigh,2184,Alexandra Stadium,Sam Purkiss,Match Report,
Second Round,Tue,2019-12-10,19:45 (13:45),Hartlepool Utd,1–0,Exeter City,2398,The Super 6 Stadium,Scott Oldham,Match Report,Required Extra Time
Second Round,Tue,2019-12-10,19:45 (13:45),Carlisle United,1–0,FG Rovers,1736,Brunton Park,Andy Haines,Match Report,
Second Round,Tue,2019-12-10,19:45 (13:45),Ipswich Town,1–2,Coventry City,6515,Portman Road Stadium,Chris Sarginson,Match Report,
Second Round,Mon,2019-12-16,19:30 (13:30),Boston United,1–2,Rochdale,4190,The Jakemans Stadium,Oliver Yates,Match Report,
Second Round,Tue,2019-12-17,19:30 (13:30),Plymouth Argyle,0–1,Bristol Rovers,6585,Home Park,Andy Woolmer,Match Report,
,,,,,,,,,,,
Third Round,Sat,2020-01-04,12:31 (06:31),Rochdale,1–1,Newcastle Utd,8593,Crown Oil Arena,David Coote,Match Report,
Third Round,Sat,2020-01-04,12:31 (06:31),Burnley,4–2,P'borough Utd,8043,Turf Moor,Robert Jones,Match Report,
Third Round,Sat,2020-01-04,12:31 (06:31),Bristol City,1–1,Shrewsbury,9730,Ashton Gate Stadium,John Busby,Match Report,
Third Round,Sat,2020-01-04,12:31 (06:31),Millwall,3–0,Newport County,6009,The Den,Tony Harrington,Match Report,
Third Round,Sat,2020-01-04,12:31 (06:31),Birmingham City,2–1,Blackburn,7330,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,
Third Round,Sat,2020-01-04,12:31 (06:31),Rotherham Utd,2–3,Hull City,6044,New York Stadium,Anthony Backhouse,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Brentford,1–0,Stoke City,7575,Griffin Park,Keith Stroud,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Preston,2–4,Norwich City,7616,Deepdale Stadium,Martin Atkinson,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Fulham,2–1,Aston Villa,12980,Craven Cottage,Craig Pawson,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Reading,2–2,Blackpool,10181,Madejski Stadium,John Brooks,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Cardiff City,2–2,Carlisle United,5282,Cardiff City Stadium,Geoff Eltringham,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Southampton,2–0,Huddersfield,20091,St. Mary's Stadium,Tim Robinson,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Brighton,0–1,Sheffield Weds,20349,The American Express Community Stadium,Andre Marriner,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Watford,3–3,Tranmere Rovers,14373,Vicarage Road Stadium,Graham Scott,Match Report,
Third Round,Sat,2020-01-04,15:01 (09:01),Oxford United,4–1,Hartlepool Utd,6240,The Kassam Stadium,Michael Salisbury,Match Report,
Third Round,Sat,2020-01-04,17:31 (11:31),Wolves,0–0,Manchester Utd,31381,Molineux Stadium,Paul Tierney,Match Report,
Third Round,Sat,2020-01-04,17:31 (11:31),Leicester City,2–0,Wigan Athletic,30330,King Power Stadium,Simon Hooper,Match Report,
Third Round,Sat,2020-01-04,17:31 (11:31),Bournemouth,4–0,Luton Town,10064,Vitality Stadium,Darren England,Match Report,
Third Round,Sat,2020-01-04,17:31 (11:31),Manchester City,4–1,Port Vale,52433,Etihad Stadium,Lee Mason,Match Report,
Third Round,Sat,2020-01-04,17:31 (11:31),Fleetwood Town,1–2,Portsmouth,2145,Highbury Stadium,Marc Edwards,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Crystal Palace,0–1,Derby County,15507,Selhurst Park,Michael Oliver,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Bristol Rovers,2–2,Coventry City,7000,Memorial Stadium,Gavin Ward,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Chelsea,2–0,Nott'ham Forest,40492,Stamford Bridge,Peter Bankes,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Middlesbrough,1–1,Tottenham,26693,Riverside Stadium,Stuart Attwell,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Crewe Alexandra,1–3,Barnsley,5158,Alexandra Stadium,James Linington,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Charlton Ath,0–1,West Brom,6426,The Valley,David Webb,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Sheffield Utd,2–1,Fylde,11133,Bramall Lane,Jarred Gillett,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),QPR,5–1,Swansea City,6712,Kiyan Prince Foundation Stadium,Steve Martin,Match Report,
Third Round,Sun,2020-01-05,14:01 (08:01),Burton Albion,2–4,Northampton,3810,Pirelli Stadium,Jeremy Simpson,Match Report,
Third Round,Sun,2020-01-05,16:01 (10:01),Liverpool,1–0,Everton,52583,Anfield,Jonathan Moss,Match Report,
Third Round,Sun,2020-01-05,18:16 (12:16),Gillingham,0–2,West Ham,10913,MEMS Priestfield Stadium,Andy Madley,Match Report,
Third Round,Mon,2020-01-06,19:56 (13:56),Arsenal,1–0,Leeds United,58403,Emirates Stadium,Anthony Taylor,Match Report,
Third Round,Tue,2020-01-14,19:45 (13:45),Newcastle Utd,4–1,Rochdale,29786,St. James' Park,Graham Scott,Match Report,
Third Round,Tue,2020-01-14,19:45 (13:45),Shrewsbury,1–0,Bristol City,7194,Montgomery Waters Meadow,David Webb,Match Report,
Third Round,Tue,2020-01-14,19:45 (13:45),Blackpool,0–2,Reading,5213,Bloomfield Road,Darren Bond,Match Report,
Third Round,Tue,2020-01-14,19:45 (13:45),Coventry City,3–0,Bristol Rovers,2693,St Andrew's Trillion Trophy Stadium,Anthony Backhouse,Match Report,
Third Round,Tue,2020-01-14,20:05 (14:05),Tottenham,2–1,Middlesbrough,49202,Tottenham Hotspur Stadium,Craig Pawson,Match Report,
Third Round,Wed,2020-01-15,19:45 (13:45),Carlisle United,3–4,Cardiff City,4381,Brunton Park,Darren Handley,Match Report,
Third Round,Wed,2020-01-15,19:45 (13:45),Manchester Utd,1–0,Wolves,67025,Old Trafford,Kevin Friend,Match Report,
Third Round,Thu,2020-01-23,19:45 (13:45),Tranmere Rovers,2–1,Watford,10039,Prenton Park,Tony Harrington,Match Report,Required Extra Time
,,,,,,,,,,,
Fourth Round,Fri,2020-01-24,20:00 (14:00),QPR,1–2,Sheffield Weds,11871,Kiyan Prince Foundation Stadium,Keith Stroud,Match Report,
Fourth Round,Fri,2020-01-24,20:00 (14:00),Northampton,0–0,Derby County,7798,Sixfields Stadium,Darren England,Match Report,
Fourth Round,Sat,2020-01-25,12:45 (06:45),Brentford,0–1,Leicester City,12221,Griffin Park,Chris Kavanagh,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Coventry City,0–0,Birmingham City,21193,St Andrew's Trillion Trophy Stadium,Tim Robinson,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Burnley,1–2,Norwich City,8071,Turf Moor,Michael Oliver,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),West Ham,0–1,West Brom,58911,London Stadium,Stuart Attwell,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Newcastle Utd,0–0,Oxford United,52221,St. James' Park,Robert Jones,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Millwall,0–2,Sheffield Utd,12653,The Den,Anthony Taylor,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Portsmouth,4–2,Barnsley,13286,Fratton Park,Graham Scott,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Reading,1–1,Cardiff City,12798,Madejski Stadium,Marc Edwards,Match Report,
Fourth Round,Sat,2020-01-25,15:00 (09:00),Southampton,1–1,Tottenham,29282,St. Mary's Stadium,Peter Bankes,Match Report,
Fourth Round,Sat,2020-01-25,17:30 (11:30),Hull City,1–2,Chelsea,24109,Kingston Communications Stadium,Craig Pawson,Match Report,
Fourth Round,Sun,2020-01-26,13:00 (07:00),Manchester City,4–0,Fulham,39223,Etihad Stadium,Kevin Friend,Match Report,
Fourth Round,Sun,2020-01-26,15:00 (09:00),Tranmere Rovers,0–6,Manchester Utd,,Prenton Park,Lee Mason,Match Report,
Fourth Round,Sun,2020-01-26,17:00 (11:00),Shrewsbury,2–2,Liverpool,9510,Montgomery Waters Meadow,Simon Hooper,Match Report,
Fourth Round,Mon,2020-01-27,20:00 (14:00),Bournemouth,1–2,Arsenal,10308,Vitality Stadium,Martin Atkinson,Match Report,
Fourth Round,Tue,2020-02-04,19:45 (13:45),Cardiff City,,Reading,,Cardiff City Stadium,,,
Fourth Round,Tue,2020-02-04,19:45 (13:45),Liverpool,,Shrewsbury,,Anfield,,,
Fourth Round,Tue,2020-02-04,19:45 (13:45),Birmingham City,,Coventry City,,St Andrew's Trillion Trophy Stadium,,,
Fourth Round,Tue,2020-02-04,19:45 (13:45),Oxford United,,Newcastle Utd,,The Kassam Stadium,,,
Fourth Round,Tue,2020-02-04,19:45 (13:45),Derby County,,Northampton,,iPro Stadium,,,
Fourth Round,Wed,2020-02-05,19:45 (13:45),Tottenham,,Southampton,,Tottenham Hotspur Stadium,,,
