Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2019-11-08,19:55 (13:55),Dulwich Hamlet,1–4,Carlisle United,3336,Champion Hill Stadium,James Oldham,Match Report,
First Round,Sat,2019-11-09,13:00 (07:00),Sunderland,1–1,Gillingham,7892,Stadium of Light,Michael Salisbury,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Salford City,1–1,Burton Albion,2724,The Peninsula Stadium,Alan Young,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Maidenhead Utd,1–3,Rotherham Utd,1924,York Road,Oliver Yates,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),AFC Wimbledon,1–1,Doncaster,2777,Cherry Red Records Fans' Stadium,Darren Drysdale,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Ipswich Town,1–1,Lincoln City,11598,Portman Road Stadium,Kevin Johnson,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Shrewsbury,1–1,Bradford City,3764,Montgomery Waters Meadow,Sam Purkiss,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Bolton,0–1,Plymouth Argyle,6992,Macron Stadium,Rob Lewis,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Oxford City,1–5,Solihull Moors,667,Court Place Farm,Thomas Parsons,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Walsall,2–2,Darlington,2882,The Banks's Stadium,Adrian Quelch,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Stevenage,1–1,P'borough Utd,2981,The Lamex Stadium,Nick Kinseley,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Maidstone Utd,1–0,Torquay,2330,Gallagher Stadium,Joe Hull,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Nantwich Town,0–1,Fylde,1544,The Weaver Stadium,Ben Speedie,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),MK Dons,0–1,Port Vale,3598,Stadium mk,Craig Hicks,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Colchester Utd,0–2,Coventry City,2919,JobServe Community Stadium,Chris Sarginson,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Acc'ton Stanley,0–2,Crewe Alexandra,1655,Wham Stadium,Neil Hair,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Carshalton,1–4,Boston United,1859,War Memorial Sports Ground,Tom Reeves,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Cheltenham,1–1,Swindon Town,3456,Jonny-Rocks Stadium,Scott Oldham,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Mansfield Town,1–0,Chorley,2418,One Call Stadium,Savvas Yianni,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Grimsby Town,1–1,Newport County,2086,Blundell Park,Leigh Doughty,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Tranmere Rovers,2–2,Wycombe,3849,Prenton Park,Martin Coy,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Stourbridge,2–2,Eastleigh,1846,War Memorial Athletic Ground,Samuel Barrott,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),FG Rovers,4–0,Billericay,1419,The New Lawn,Graham Salisbury,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Ebbsfleet Utd,2–3,Notts County,1206,Stonebridge Road,Carl Brook,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Cambridge Utd,1–1,Exeter City,2302,The Cambs Glass Stadium,Peter Wright,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Blackpool,4–1,Morecambe,5371,Bloomfield Road,Ross Joyce,Match Report,
First Round,Sat,2019-11-09,15:00 (09:00),Crawley Town,4–1,Scunthorpe Utd,1706,Checkatrade.com Stadium,Lee Swabey,Match Report,
First Round,Sun,2019-11-10,12:00 (06:00),Dover Athletic,1–0,Southend United,1754,The Perrys Crabble Stadium,David Rock,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Wrexham,0–0,Rochdale,3274,Racecourse Ground,Trevor Kettle,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),York City,0–1,Altrincham,3222,Bootham Crescent,James Bell,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Gateshead,1–2,Oldham Athletic,2199,Gateshead International Stadium,Joshua Smith,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Chippenham,0–3,Northampton,2625,Hardenhuish Park,Chris Pollard,Match Report,
First Round,Sun,2019-11-10,12:45 (06:45),Macclesfield,0–4,Kingstonian,996,Moss Rose Ground,Will Finnie,Match Report,
