Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2018-08-17,20:45 (13:45),Magdeburg,0–1,Darmstadt 98,20165,MDCC-Arena,Robert Schröder,Match Report,
First Round,Fri,2018-08-17,20:45 (13:45),Schweinfurt 05,0–2,Schalke 04,15060,Willy-Sachs-Stadion,Aarne Aarnink,Match Report,
First Round,Fri,2018-08-17,20:45 (13:45),Wehen,3–2,St. Pauli,10007,BRITA-Arena,Christian Dingert,Match Report,Required Extra Time
First Round,Sat,2018-08-18,15:30 (08:30),Drochtersen/A,0–1,Bayern Munich,8000,Kehdinger Stadion,Thorben Siewer,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Rödinghausen,3–2,Dynamo Dres,3862,FRIMO Stadion,Florian Heft,Match Report,Required Extra Time
First Round,Sat,2018-08-18,15:30 (08:30),SSV Ulm,2–1,Eint Frankfurt,18440,Donaustadion,Timo Gerach,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Worms,1–6,Werder Bremen,8000,EWR-Arena,Benedikt Kempkes,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Elversberg,0–1,Wolfsburg,5321,Ursapharm-Arena an der Kaiserlinde,Lasse Koslowski,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Kaiserslautern,1–6,Hoffenheim,22818,Fritz-Walter-Stadion,Patrick Ittrich,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Dassendorf,0–1,MSV Duisburg,3500,Langnese-Happiness-Stadion,Alexander Sather,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),SV Linx,1–2,Nürnberg,6500,Rheinstadion,Sven Waschitzki,Match Report,
First Round,Sat,2018-08-18,15:30 (08:30),Pforzheim,0–1,Bayer,4725,Stadion Holzhof,Frank Willenborg,Match Report,
First Round,Sat,2018-08-18,18:30 (11:30),Erzgebirge Aue,1–3,Mainz 05,7600,Sparkassen-Erzgebirgsstadion,Felix Zwayer,Match Report,
First Round,Sat,2018-08-18,18:30 (11:30),Oberhausen,0–6,Sandhausen,6072,Stadion Niederrhein,Florian Badstübner,Match Report,
First Round,Sat,2018-08-18,18:30 (11:30),Erndtebrück,3–5,Hamburger SV,13588,Leimbachstadion,Robert Kempter,Match Report,
First Round,Sat,2018-08-18,20:45 (13:45),Hansa Rostock,2–0,Stuttgart,24400,Ostseestadion,Tobias Stieler,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),TSV Steinbach,1–2,Augsburg,4204,SIBRE-Sportzentrum Haarwasen Haiger,Martin Thomsen,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),Viktoria Köln,1–3,RB Leipzig,4712,Sportpark Höhenberg,Martin Petersen,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),Stendal,0–5,Arminia,3000,Stadion am Hölzchen,Christian Dietz,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),Chemie,2–1,Jahn R'burg,4999,Alfred-Kunze-Sportpark,Tobias Reichel,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),RW Koblenz,0–5,Düsseldorf,7500,Stadion Oberwerth,Benjamin Cortus,Match Report,
First Round,Sun,2018-08-19,15:30 (08:30),BFC Dynamo,1–9,Köln,14357,Olympiastadion München,Johann Pfeifer,Match Report,
