Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2016-08-20,18:00 (11:00),Roma,4–0,Udinese,30940,Stadio Olimpico,Marco Di Bello,Match Report,
1,Sat,2016-08-20,20:45 (13:45),Juventus,2–1,Fiorentina,40184,Allianz Stadium,Davide Massa,Match Report,
1,Sun,2016-08-21,18:00 (11:00),Milan,3–2,Torino,32254,Stadio Giuseppe Meazza,Antonio Damato,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Pescara,2–2,Napoli,16758,Stadio Adriatico-Giovanni Cornacchia,Piero Giacomelli,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Empoli,0–1,Sampdoria,8000,Stadio Carlo Castellani,Maurizio Mariani,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Palermo,0–1,Sassuolo,12935,Stadio Renzo Barbera,Luca Pairetto,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Chievo,2–0,Inter,24000,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Genoa,3–1,Cagliari,20443,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Atalanta,3–4,Lazio,14710,Stadio Atleti Azzurri d'Italia,Luca Banti,Match Report,
1,Sun,2016-08-21,20:45 (13:45),Bologna,1–0,Crotone,18396,Stadio Renato Dall'Ara,Claudio Gavillucci,Match Report,
,,,,,,,,,,,
2,Sat,2016-08-27,18:00 (11:00),Lazio,0–1,Juventus,35000,Stadio Olimpico,Marco Guida,Match Report,
2,Sat,2016-08-27,20:45 (13:45),Napoli,4–2,Milan,27231,Stadio San Paolo,Paolo Valeri,Match Report,
2,Sun,2016-08-28,18:00 (11:00),Inter,1–1,Palermo,40527,Stadio Giuseppe Meazza,Carmine Russo,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Sampdoria,2–1,Atalanta,19045,Stadio Comunale Luigi Ferraris,Daniele Doveri,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Torino,5–1,Bologna,17077,Stadio Olimpico di Torino,Gianluca Rocchi,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Cagliari,2–2,Roma,15406,Stadio Sant'Elia,Paolo Mazzoleni,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Crotone,1–3,Genoa,821,Stadio Adriatico-Giovanni Cornacchia,Nicola Rizzoli,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Udinese,2–0,Empoli,13239,Dacia Arena,Fabio Maresca,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Fiorentina,1–0,Chievo,32304,Stadio Artemio Franchi,Michael Fabbri,Match Report,
2,Sun,2016-08-28,20:45 (13:45),Sassuolo,0–3,Pescara,9071,Stadio Città del Tricolore,Paolo Tagliavento,Match Report,Match awarded to Pescara
,,,,,,,,,,,
3,Sat,2016-09-10,18:00 (11:00),Juventus,3–1,Sassuolo,39040,Allianz Stadium,Marco Di Bello,Match Report,
3,Sat,2016-09-10,20:45 (13:45),Palermo,0–3,Napoli,10961,Stadio Renzo Barbera,Davide Massa,Match Report,
3,Sun,2016-09-11,12:30 (05:30),Bologna,2–1,Cagliari,17903,Stadio Renato Dall'Ara,Rosario Abisso,Match Report,
