Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2015-08-02,17:00 (10:00),Viterbese,0–2,Ancona,800,Stadio del Conero,Armando Ranaldi,Match Report,
First Round,Sun,2015-08-02,17:00 (10:00),Casertana,1–0,Calcio Lecco,1200,Stadio Comunale Alberto Pinto,Alfonso D'Apice,Match Report,Required Extra Time
First Round,Sun,2015-08-02,18:00 (11:00),Reggio Audace,3–0,Rovigo,1766,Stadio Città del Tricolore,F. Schirru,Match Report,
First Round,Sun,2015-08-02,18:00 (11:00),FC Pavia,3–0,Poggibonsi,1025,Stadio Pietro Fortunati,Andrea Tardino,Match Report,
First Round,Sun,2015-08-02,18:00 (11:00),AC Pisa,4–0,Sestri Levante,1000,Arena Garibaldi - Stadio Romeo Anconetan...,Stefano Giovani,Match Report,
First Round,Sun,2015-08-02,18:00 (11:00),Alessandria,2–0,Altovicentino,1784,Stadio Giuseppe Moccagatta,Pierantonio Perotti,Match Report,
First Round,Sun,2015-08-02,19:00 (12:00),FeralpiSalò,5–1,Fano,400,Stadio Lino Turina,Luca Massimi,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),Brescia,(4) 0–0 (3),Cremonese,5500,Stadio Mario Rigamonti,Marco Mainardi,Match Report,Brescia won on penalty kicks following extra time
First Round,Sun,2015-08-02,20:30 (13:30),Bassano Virtus,2–1,Pontedera,500,Stadio Rino Mercante,Alessandro Prontera,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),Cittadella,15–0,Potenza,548,Stadio Pier Cesare Tombolato,Luigi Rossi,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),Benevento,0–1,Tuttocuoio,1000,Stadio Ciro Vigorito,Carmine Di Ruberto,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),Matera,0–1,Südtirol,800,Stadio XXI Settembre Franco Salerno,Pasquale Boggi,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),L'Aquila,2–0,Arezzo,500,Stadio Comunale Tommaso Fatttori,Francesco Fourneau,Match Report,
First Round,Sun,2015-08-02,20:30 (13:30),SPAL,1–0,Rende Calcio,2400,Stadio Paolo Mazza,Antonio Giua,Match Report,
First Round,Sun,2015-08-02,20:45 (13:45),Juve Stabia,2–0,Melfi,1678,Stadio Comunale Romeo Menti,Livio Marinelli,Match Report,
First Round,Sun,2015-08-02,21:00 (14:00),Lecce,(3) 0–0 (2),Catanzaro,5345,Stadio Comunale Via Del Mare,Vito Mastrodonato,Match Report,Lecce won on penalty kicks following extra time
First Round,Sun,2015-08-02,21:00 (14:00),Ascoli,1–2,Cosenza,2454,Stadio Cino e Lillo Del Duca,Niccolò Baroni,Match Report,
First Round,Sun,2015-08-02,21:00 (14:00),Foggia,2–1,Lucchese,5000,Stadio Comunale Pino Zaccheria,Antonio Di Martino,Match Report,Required Extra Time
Second Round,Sat,2015-08-08,20:30 (13:30),Livorno,2–0,Ancona,2450,Stadio Armando Picchi,Rosario Abisso,Match Report,Required Extra Time
Second Round,Sat,2015-08-08,20:30 (13:30),Spezia,1–0,Brescia,4659,Stadio Alberto Picco,Davide Ghersini,Match Report,
Second Round,Sun,2015-08-09,17:00 (10:00),Modena,3–0,Tuttocuoio,417,Stadio Valentino Mazzola,Antonio Rapuano,Match Report,
Second Round,Sun,2015-08-09,19:00 (12:00),Teramo,0–2,Cittadella,1465,Stadio Gaetano Bonolis,Federico La Penna,Match Report,
Second Round,Sun,2015-08-09,20:00 (13:00),Vicenza,(4) 1–1 (2),Cosenza,1462,Stadio Romeo Menti,Riccardo Ros,Match Report,Vicenza won on penalty kicks following extra time
Second Round,Sun,2015-08-09,20:00 (13:00),Avellino,3–0,Casertana,7000,Stadio Partenio,Luigi Nasca,Match Report,
Second Round,Sun,2015-08-09,20:00 (13:00),Virtus Lanciano,0–2,Juve Stabia,1466,Stadio Comunale Guido Biondi,Aleandro Di Paolo,Match Report,
Second Round,Sun,2015-08-09,20:30 (13:30),Novara,5–0,L'Aquila,1691,Stadio Comunale Silvio Piola,Gianluca Manganiello,Match Report,
Second Round,Sun,2015-08-09,20:30 (13:30),Perugia,3–1,Reggio Audace,3526,Stadio Renato Curi,Luca Pairetto,Match Report,
Second Round,Sun,2015-08-09,20:30 (13:30),Ternana,2–0,Bassano Virtus,2025,Stadio Libero Liberati,Ivan Pezzuto,Match Report,
Second Round,Sun,2015-08-09,20:30 (13:30),Trapani,1–0,Como,6606,Stadio Polisportivo Provinciale,Daniele Minelli,Match Report,
Second Round,Sun,2015-08-09,20:30 (13:30),Pro Vercelli,1–2,Alessandria,1700,Stadio Silvio Piola,Marco Serra,Match Report,
Second Round,Sun,2015-08-09,20:45 (13:45),Crotone,1–0,FeralpiSalò,3429,Stadio Ezio Scida,Lorenzo Illuzzi,Match Report,
Second Round,Sun,2015-08-09,20:45 (13:45),Latina,1–4,FC Pavia,1528,Stadio Comunale Domenico Francioni,Daniele Martinelli,Match Report,
Second Round,Sun,2015-08-09,20:45 (13:45),Pescara,2–0,Südtirol,4434,Stadio Adriatico-Giovanni Cornacchia,Valerio Marini,Match Report,
Second Round,Sun,2015-08-09,20:45 (13:45),Salernitana,1–0,AC Pisa,8883,Stadio Arechi,Juan Sacchi,Match Report,
Second Round,Sun,2015-08-09,20:45 (13:45),Cesena,4–0,Lecce,4426,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,
Second Round,Sun,2015-08-09,21:00 (14:00),Bari,1–2,Foggia,14733,Stadio Comunale San Nicola,Leonardo Baracani,Match Report,
Second Round,Sun,2015-08-09,21:00 (14:00),Cagliari,5–0,Virtus Entella,6000,Stadio Sant'Elia,Eugenio Abbattista,Match Report,
Second Round,Mon,2015-08-10,20:30 (13:30),Catania,3–0,SPAL,841,Stadio Angelo Massimino,Rosario Abisso,Match Report,Match awarded to Catania
Third Round,Fri,2015-08-14,20:45 (13:45),Crotone,1–0,Ternana,4328,Stadio Ezio Scida,Domenico Celi,Match Report,
Third Round,Fri,2015-08-14,21:00 (14:00),Bologna,0–1,FC Pavia,336,Stadio Renato Dall'Ara,Michael Fabbri,Match Report,
Third Round,Sat,2015-08-15,18:00 (11:00),Empoli,0–1,Vicenza,1000,Stadio Carlo Castellani,Angelo Cervellera,Match Report,
Third Round,Sat,2015-08-15,20:30 (13:30),Alessandria,1–0,Juve Stabia,1787,Stadio Giuseppe Moccagatta,Daniele Minelli,Match Report,
Third Round,Sat,2015-08-15,20:30 (13:30),Trapani,(2) 1–1 (4),Cagliari,7182,Stadio Polisportivo Provinciale,Daniele Doveri,Match Report,Cagliari won on penalty kicks following extra time
Third Round,Sat,2015-08-15,20:30 (13:30),Hellas Verona,3–1,Foggia,6958,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Match Report,
Third Round,Sat,2015-08-15,20:30 (13:30),Sassuolo,2–0,Modena,2329,Stadio Città del Tricolore,Giampaolo Calvarese,Match Report,
Third Round,Sat,2015-08-15,20:45 (13:45),Frosinone,(5) 0–0 (6),Spezia,3321,Stadio Comunale Matusa,Carmine Russo,Match Report,Spezia won on penalty kicks following extra time
Third Round,Sat,2015-08-15,20:45 (13:45),Atalanta,3–0,Cittadella,5833,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
Third Round,Sat,2015-08-15,21:00 (14:00),Palermo,2–1,Avellino,9479,Stadio Renzo Barbera,Claudio Gavillucci,Match Report,
Third Round,Sun,2015-08-16,18:30 (11:30),Udinese,3–1,Novara,9000,Dacia Arena,Daniele Chiffi,Match Report,
Third Round,Sun,2015-08-16,20:30 (13:30),Carpi,2–0,Livorno,1365,Stadio Sandro Cabassi,Andrea Gervasoni,Match Report,Required Extra Time
Third Round,Sun,2015-08-16,21:15 (14:15),Torino,4–1,Pescara,1228,Stadio Olimpico di Torino,Davide Massa,Match Report,
Third Round,Mon,2015-08-17,19:00 (12:00),Chievo,0–1,Salernitana,13329,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,Required Extra Time
Third Round,Mon,2015-08-17,21:00 (14:00),Milan,2–0,Perugia,23683,Stadio Giuseppe Meazza,Massimiliano Irrati,Match Report,
Third Round,Thu,2015-08-20,20:30 (13:30),Catania,1–4,Cesena,3644,Stadio Angelo Massimino,Maurizio Mariani,Match Report,
Fourth Round,Tue,2015-12-01,15:00 (08:00),Spezia,2–0,Salernitana,2256,Stadio Alberto Picco,Angelo Cervellera,Match Report,
Fourth Round,Tue,2015-12-01,18:00 (11:00),Torino,4–1,Cesena,4962,Stadio Olimpico di Torino,Maurizio Mariani,Match Report,
Fourth Round,Tue,2015-12-01,21:00 (14:00),Milan,3–1,Crotone,10229,Stadio Giuseppe Meazza,Michael Fabbri,Match Report,Required Extra Time
Fourth Round,Wed,2015-12-02,15:00 (08:00),Palermo,2–3,Alessandria,5376,Stadio Renzo Barbera,Luigi Nasca,Match Report,
Fourth Round,Wed,2015-12-02,18:00 (11:00),Hellas Verona,1–0,FC Pavia,2373,Stadio Marc'Antonio Bentegodi,Eugenio Abbattista,Match Report,
Fourth Round,Wed,2015-12-02,21:00 (14:00),Udinese,3–1,Atalanta,2000,Dacia Arena,Riccardo Pinzani,Match Report,
Fourth Round,Thu,2015-12-03,18:00 (11:00),Carpi,2–1,Vicenza,600,Stadio Alberto Braglia,Gianluca Manganiello,Match Report,
Fourth Round,Thu,2015-12-03,21:00 (14:00),Sassuolo,0–1,Cagliari,2071,Stadio Città del Tricolore,Claudio Gavillucci,Match Report,
Round of 16,Tue,2015-12-15,19:15 (12:15),Genoa,1–2,Alessandria,6973,Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,Required Extra Time
Round of 16,Tue,2015-12-15,21:00 (14:00),Inter,3–0,Cagliari,17102,Stadio Giuseppe Meazza,Carmine Russo,Match Report,
Round of 16,Wed,2015-12-16,14:30 (07:30),Roma,(2) 0–0 (4),Spezia,7167,Stadio Olimpico,Marco Di Bello,Match Report,Spezia won on penalty kicks following extra time
Round of 16,Wed,2015-12-16,16:30 (09:30),Fiorentina,0–1,Carpi,8257,Stadio Artemio Franchi,Andrea Gervasoni,Match Report,
Round of 16,Wed,2015-12-16,19:00 (12:00),Napoli,3–0,Hellas Verona,7221,Stadio San Paolo,Massimiliano Irrati,Match Report,
Round of 16,Wed,2015-12-16,20:45 (13:45),Juventus,4–0,Torino,27898,Allianz Stadium,Daniele Doveri,Match Report,
Round of 16,Thu,2015-12-17,16:00 (09:00),Lazio,2–1,Udinese,1970,Stadio Olimpico,Antonio Damato,Match Report,
Round of 16,Thu,2015-12-17,21:00 (14:00),Sampdoria,0–2,Milan,11200,Stadio Comunale Luigi Ferraris,Domenico Celi,Match Report,
Quarter-finals,Wed,2016-01-13,21:00 (14:00),Milan,2–1,Carpi,12319,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
Quarter-finals,Mon,2016-01-18,20:00 (13:00),Spezia,1–2,Alessandria,9108,Stadio Alberto Picco,Paolo Tagliavento,Match Report,
Quarter-finals,Tue,2016-01-19,20:45 (13:45),Napoli,0–2,Inter,25968,Stadio San Paolo,Paolo Valeri,Match Report,
Quarter-finals,Wed,2016-01-20,20:45 (13:45),Lazio,0–1,Juventus,30799,Stadio Olimpico,Antonio Damato,Match Report,
Semi-finals,Tue,2016-01-26,21:00 (14:00),Alessandria,0–1,Milan,20605,Stadio Olimpico di Torino,Massimiliano Irrati,Match Report,Leg 1 of 2
Semi-finals,Wed,2016-01-27,20:45 (13:45),Juventus,3–0,Inter,35000,Allianz Stadium,Paolo Tagliavento,Match Report,Leg 1 of 2
Semi-finals,Tue,2016-03-01,21:00 (14:00),Milan,5–0,Alessandria,28202,Stadio Giuseppe Meazza,Marco Guida,Match Report,Leg 2 of 2; Milan won
Semi-finals,Wed,2016-03-02,20:45 (13:45),Inter,(3) 3–0 (5),Juventus,29357,Stadio Giuseppe Meazza,Andrea Gervasoni,Match Report,Leg 2 of 2; Juventus won on penalty kicks following extra time
