Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2016-08-19,20:00 (13:00),Mirandés,1–1,Getafe,3041,Estadio Municipal de Anduva,Alberola Rojas,Match Report,
Regular Season,1,Fri,2016-08-19,22:00 (15:00),Almería,1–1,Cádiz,8771,Estadio de los Juegos Mediterráneos,Francisco Arias,Match Report,
Regular Season,1,Sat,2016-08-20,19:00 (12:00),Alcorcón,0–0,Huesca,1621,Estadio Santo Domingo,Gorka Sagues,Match Report,
Regular Season,1,Sat,2016-08-20,19:00 (12:00),Mallorca,0–1,Reus,8437,Iberostar Estadi,Saúl Ais,Match Report,
Regular Season,1,Sat,2016-08-20,19:00 (12:00),Elche,2–1,Rayo Vallecano,7025,Estadio Manuel Martínez Valero,Rubén Eiriz,Match Report,
Regular Season,1,Sat,2016-08-20,21:00 (14:00),Córdoba,1–0,Tenerife,12564,Estadio Nuevo Arcángel,Eduardo Prieto,Match Report,
Regular Season,1,Sun,2016-08-21,19:00 (12:00),Numancia,0–1,Levante,3151,Nuevo Estadio Los Pajaritos,Pablo González,Match Report,
Regular Season,1,Sun,2016-08-21,19:00 (12:00),Gimnàstic,2–2,Lugo,4846,Nou Estadi de Tarragona,Guillermo Cuadra,Match Report,
Regular Season,1,Sun,2016-08-21,21:00 (14:00),Sevilla B,3–3,Girona,4057,Estadio Viejo Nervión,Juan Pulido,Match Report,
Regular Season,1,Sun,2016-08-21,22:30 (15:30),Valladolid,1–0,Oviedo,7996,Estadio Municipal José Zorrilla,Pedro Pérez,Match Report,
Regular Season,1,Mon,2016-08-22,20:00 (13:00),Zaragoza,3–1,UCAM Murcia,14900,Estadio de la Romareda,Jorge Valdés Aller,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2016-08-26,20:00 (13:00),Getafe,0–0,Numancia,4366,Coliseum Alfonso Pérez,Dámaso Arcediano,Match Report,
Regular Season,2,Fri,2016-08-26,21:00 (15:00),Tenerife,1–1,Sevilla B,7915,Estadio Heliodoro Rodríguez Lopéz,Oliver De La Fuente,Match Report,
Regular Season,2,Sat,2016-08-27,19:00 (12:00),Reus,1–1,Mirandés,3078,Estadio Camp Nou Municipal,Juan López,Match Report,
Regular Season,2,Sat,2016-08-27,19:00 (12:00),Oviedo,2–0,Almería,12604,Estadio Nuevo Carlos Tartiere,Adrián Cordero,Match Report,
Regular Season,2,Sat,2016-08-27,19:00 (12:00),Girona,3–1,Elche,4381,Estadi Municipal de Montilivi,Aitor Gorostegui,Match Report,
Regular Season,2,Sat,2016-08-27,21:00 (14:00),Lugo,3–3,Zaragoza,3920,Estadio Anxo Carro,Jorge Figueroa,Match Report,
Regular Season,2,Sun,2016-08-28,19:00 (12:00),UCAM Murcia,1–1,Córdoba,2813,Estadio de La Condomina,Isidro Díaz de Mera,Match Report,
Regular Season,2,Sun,2016-08-28,19:00 (12:00),Huesca,1–1,Gimnàstic,2763,Estadio El Alcoraz,David Pérez,Match Report,
Regular Season,2,Sun,2016-08-28,19:00 (12:00),Levante,2–0,Alcorcón,10225,Estadio Ciudad de Valencia,Víctor Areces,Match Report,
Regular Season,2,Sun,2016-08-28,21:00 (14:00),Rayo Vallecano,0–0,Valladolid,8095,Estadio del Rayo Vallecano,David Medié,Match Report,
Regular Season,2,Sun,2016-08-28,22:30 (15:30),Cádiz,1–1,Mallorca,16471,Estadio Ramón de Carranza,Valentín Pizarro,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2016-09-02,20:00 (13:00),Sevilla B,1–1,UCAM Murcia,4669,Estadio Viejo Nervión,Gorka Sagues,Match Report,
Regular Season,3,Fri,2016-09-02,21:00 (14:00),Córdoba,3–3,Lugo,14449,Estadio Nuevo Arcángel,Juan Pulido,Match Report,
Regular Season,3,Sat,2016-09-03,16:00 (09:00),Mirandés,3–2,Cádiz,3060,Estadio Municipal de Anduva,Saúl Ais,Match Report,
Regular Season,3,Sat,2016-09-03,18:00 (11:00),Almería,3–0,Rayo Vallecano,7826,Estadio de los Juegos Mediterráneos,Javier Alberola Rojas,Match Report,
Regular Season,3,Sat,2016-09-03,18:00 (11:00),Valladolid,2–1,Girona,7958,Estadio Manuel Martínez Valero,Jorge Valdés Aller,Match Report,
Regular Season,3,Sat,2016-09-03,18:00 (11:00),Getafe,1–1,Reus,4529,Coliseum Alfonso Pérez,Guillermo Cuadra,Match Report,
Regular Season,3,Sat,2016-09-03,20:00 (13:00),Elche,3–1,Tenerife,7363,Estadio Manuel Martínez Valero,Jorge Valdés Aller,Match Report,
Regular Season,3,Sun,2016-09-04,16:00 (09:00),Numancia,1–1,Alcorcón,2104,Nuevo Estadio Los Pajaritos,Francisco Arias,Match Report,
Regular Season,3,Sun,2016-09-04,18:00 (11:00),Gimnàstic,1–1,Levante,4781,Nou Estadi de Tarragona,Pedro Pérez,Match Report,
Regular Season,3,Sun,2016-09-04,20:00 (13:00),Mallorca,0–0,Oviedo,9471,Iberostar Estadi,Eduardo Prieto,Match Report,
Regular Season,3,Sun,2016-09-04,20:30 (13:30),Zaragoza,1–0,Huesca,21345,Estadio de la Romareda,Pablo González,Match Report,
,,,,,,,,,,,,
Regular Season,4,Sat,2016-09-10,16:00 (09:00),Lugo,1–0,Sevilla B,2552,Estadio Anxo Carro,Isidro Díaz de Mera,Match Report,
Regular Season,4,Sat,2016-09-10,17:00 (11:00),Tenerife,1–0,Valladolid,7785,Estadio Heliodoro Rodríguez Lopéz,Dámaso Arcediano,Match Report,
Regular Season,4,Sat,2016-09-10,18:00 (11:00),Reus,1–1,Numancia,3152,Estadio Camp Nou Municipal,Aitor Gorostegui,Match Report,
Regular Season,4,Sat,2016-09-10,20:00 (13:00),Levante,4–2,Zaragoza,11698,Estadio Ciudad de Valencia,David Medié,Match Report,
Regular Season,4,Sun,2016-09-11,12:00 (05:00),Rayo Vallecano,1–0,Mallorca,8142,Estadio del Rayo Vallecano,Jorge Figueroa,Match Report,
Regular Season,4,Sun,2016-09-11,16:00 (09:00),Oviedo,0–0,Mirandés,13452,Estadio Nuevo Carlos Tartiere,Valentín Pizarro,Match Report,
Regular Season,4,Sun,2016-09-11,18:00 (11:00),UCAM Murcia,1–1,Elche,4893,Estadio de La Condomina,Oliver De La Fuente,Match Report,
Regular Season,4,Sun,2016-09-11,18:00 (11:00),Cádiz,3–0,Getafe,15323,Estadio Ramón de Carranza,David Pérez,Match Report,
Regular Season,4,Sun,2016-09-11,18:00 (11:00),Alcorcón,1–0,Gimnàstic,2176,Estadio Santo Domingo,Juan López,Match Report,
Regular Season,4,Sun,2016-09-11,18:00 (11:00),Huesca,3–0,Córdoba,2654,Estadio El Alcoraz,Adrián Cordero,Match Report,
Regular Season,4,Sun,2016-09-11,20:00 (13:00),Girona,3–3,Almería,4917,Estadi Municipal de Montilivi,Víctor Areces,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,2016-09-17,16:00 (09:00),Numancia,1–0,Gimnàstic,2392,Nuevo Estadio Los Pajaritos,Juan Pulido,Match Report,
Regular Season,5,Sat,2016-09-17,18:00 (11:00),Valladolid,0–1,UCAM Murcia,8391,Estadio Municipal José Zorrilla,Pablo González,Match Report,
Regular Season,5,Sat,2016-09-17,18:00 (11:00),Elche,0–3,Lugo,8030,Estadio Manuel Martínez Valero,Javier Alberola Rojas,Match Report,
Regular Season,5,Sat,2016-09-17,18:00 (11:00),Reus,1–0,Cádiz,3913,Estadio Camp Nou Municipal,Eduardo Prieto,Match Report,
Regular Season,5,Sat,2016-09-17,18:00 (11:00),Córdoba,1–0,Levante,13568,Estadio Nuevo Arcángel,Gorka Sagues,Match Report,
Regular Season,5,Sat,2016-09-17,20:00 (13:00),Zaragoza,2–0,Alcorcón,15926,Estadio de la Romareda,Saúl Ais,Match Report,
Regular Season,5,Sun,2016-09-18,12:00 (05:00),Almería,0–1,Tenerife,8107,Estadio de los Juegos Mediterráneos,Guillermo Cuadra,Match Report,
Regular Season,5,Sun,2016-09-18,16:00 (09:00),Mirandés,2–1,Rayo Vallecano,3559,Estadio Municipal de Anduva,Francisco Arias,Match Report,
Regular Season,5,Sun,2016-09-18,18:00 (11:00),Getafe,2–1,Oviedo,6547,Coliseum Alfonso Pérez,Rubén Eiriz,Match Report,
Regular Season,5,Sun,2016-09-18,18:00 (11:00),Sevilla B,2–0,Huesca,3203,Estadio Viejo Nervión,Jorge Valdés Aller,Match Report,
Regular Season,5,Sun,2016-09-18,20:00 (13:00),Mallorca,1–0,Girona,8696,Iberostar Estadi,Pedro Pérez,Match Report,
,,,,,,,,,,,,
Regular Season,6,Tue,2016-09-20,20:00 (13:00),Alcorcón,0–1,Córdoba,2442,Estadio Santo Domingo,Dámaso Arcediano,Match Report,
Regular Season,6,Tue,2016-09-20,20:00 (13:00),Lugo,1–0,Valladolid,2986,Estadio Anxo Carro,Adrián Cordero,Match Report,
Regular Season,6,Tue,2016-09-20,22:00 (15:00),Cádiz,1–0,Numancia,11474,Estadio Ramón de Carranza,Isidro Díaz de Mera,Match Report,
Regular Season,6,Tue,2016-09-20,22:00 (15:00),Gimnàstic,0–0,Zaragoza,4255,Nou Estadi de Tarragona,Víctor Areces,Match Report,
Regular Season,6,Wed,2016-09-21,20:00 (13:00),Huesca,0–3,Elche,2410,Estadio El Alcoraz,David Medié,Match Report,
Regular Season,6,Wed,2016-09-21,20:00 (13:00),Levante,1–0,Sevilla B,10528,Estadio Ciudad de Valencia,Valentín Pizarro,Match Report,
Regular Season,6,Wed,2016-09-21,22:00 (15:00),UCAM Murcia,4–0,Almería,2985,Estadio de La Condomina,David Pérez,Match Report,
Regular Season,6,Thu,2016-09-22,20:00 (13:00),Oviedo,0–1,Reus,12103,Estadio Nuevo Carlos Tartiere,Oliver De La Fuente,Match Report,
Regular Season,6,Thu,2016-09-22,20:00 (13:00),Girona,1–1,Mirandés,3588,Estadi Municipal de Montilivi,Jorge Figueroa,Match Report,
Regular Season,6,Thu,2016-09-22,20:00 (13:00),Rayo Vallecano,2–0,Getafe,9173,Estadio del Rayo Vallecano,Juan López,Match Report,
Regular Season,6,Thu,2016-09-22,21:00 (15:00),Tenerife,0–0,Mallorca,8019,Estadio Heliodoro Rodríguez Lopéz,Aitor Gorostegui,Match Report,
,,,,,,,,,,,,
Regular Season,7,Sat,2016-09-24,16:00 (09:00),Sevilla B,1–1,Alcorcón,2145,Estadio Viejo Nervión,Rubén Eiriz,Match Report,
Regular Season,7,Sat,2016-09-24,18:00 (11:00),Almería,0–0,Lugo,6882,Estadio de los Juegos Mediterráneos,Saúl Ais,Match Report,
Regular Season,7,Sat,2016-09-24,18:00 (11:00),Córdoba,2–0,Gimnàstic,13542,Estadio Nuevo Arcángel,Jorge Valdés Aller,Match Report,
Regular Season,7,Sat,2016-09-24,18:00 (11:00),Valladolid,1–2,Huesca,7990,Estadio Municipal José Zorrilla,Eduardo Prieto,Match Report,
Regular Season,7,Sat,2016-09-24,20:00 (13:00),Elche,0–1,Levante,8031,Estadio Manuel Martínez Valero,Guillermo Cuadra,Match Report,
Regular Season,7,Sun,2016-09-25,12:00 (05:00),Cádiz,0–2,Oviedo,16142,Estadio Ramón de Carranza,Juan Pulido,Match Report,
Regular Season,7,Sun,2016-09-25,16:00 (09:00),Mirandés,3–2,Tenerife,3080,Estadio Municipal de Anduva,Pablo González,Match Report,
Regular Season,7,Sun,2016-09-25,18:00 (11:00),Numancia,2–1,Zaragoza,4571,Nuevo Estadio Los Pajaritos,Pedro Pérez,Match Report,
Regular Season,7,Sun,2016-09-25,18:00 (11:00),Mallorca,0–0,UCAM Murcia,9081,Iberostar Estadi,Alberola Rojas,Match Report,
Regular Season,7,Sun,2016-09-25,18:00 (11:00),Getafe,0–2,Girona,5175,Coliseum Alfonso Pérez,Francisco Arias,Match Report,
Regular Season,7,Sun,2016-09-25,20:00 (13:00),Reus,1–1,Rayo Vallecano,4027,Estadio Camp Nou Municipal,Gorka Sagues,Match Report,
,,,,,,,,,,,,
Regular Season,8,Sat,2016-10-01,16:00 (09:00),Huesca,2–0,Almería,2538,Estadio El Alcoraz,Oliver De La Fuente,Match Report,
Regular Season,8,Sat,2016-10-01,18:00 (11:00),Gimnàstic,1–1,Sevilla B,5206,Nou Estadi de Tarragona,Dámaso Arcediano,Match Report,
Regular Season,8,Sat,2016-10-01,18:00 (11:00),Lugo,3–1,Mallorca,3826,Estadio Anxo Carro,Víctor Areces,Match Report,
Regular Season,8,Sat,2016-10-01,18:00 (11:00),Alcorcón,1–0,Elche,2864,Estadio Santo Domingo,Isidro Díaz de Mera,Match Report,
Regular Season,8,Sat,2016-10-01,19:30 (12:30),Zaragoza,1–1,Córdoba,17100,Estadio de la Romareda,David Pérez,Match Report,
Regular Season,8,Sun,2016-10-02,12:00 (05:00),UCAM Murcia,2–2,Mirandés,3523,Estadio de La Condomina,Aitor Gorostegui,Match Report,
Regular Season,8,Sun,2016-10-02,16:00 (09:00),Girona,1–0,Reus,4907,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
Regular Season,8,Sun,2016-10-02,17:45 (10:45),Levante,3–2,Valladolid,12298,Estadio Ciudad de Valencia,Jorge Figueroa,Match Report,
Regular Season,8,Sun,2016-10-02,17:00 (11:00),Tenerife,0–0,Getafe,9053,Estadio Heliodoro Rodríguez Lopéz,David Medié,Match Report,
Regular Season,8,Sun,2016-10-02,18:00 (11:00),Oviedo,2–2,Numancia,14392,Estadio Nuevo Carlos Tartiere,Juan López,Match Report,
Regular Season,8,Sun,2016-10-02,20:00 (13:00),Rayo Vallecano,3–0,Cádiz,11871,Estadio del Rayo Vallecano,Adrián Cordero,Match Report,
,,,,,,,,,,,,
Regular Season,9,Sat,2016-10-08,16:00 (09:00),Reus,0–0,Tenerife,3966,Estadio Camp Nou Municipal,Saúl Ais,Match Report,
Regular Season,9,Sat,2016-10-08,18:00 (11:00),Valladolid,2–0,Alcorcón,8318,Estadio Municipal José Zorrilla,Gorka Sagues,Match Report,
Regular Season,9,Sat,2016-10-08,18:00 (11:00),Getafe,2–0,UCAM Murcia,4940,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,
Regular Season,9,Sat,2016-10-08,18:00 (11:00),Numancia,1–1,Córdoba,3047,Nuevo Estadio Los Pajaritos,Rubén Eiriz,Match Report,
Regular Season,9,Sat,2016-10-08,18:00 (11:00),Elche,4–4,Gimnàstic,7061,Estadio Manuel Martínez Valero,Pablo González,Match Report,
