Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,4,Sun,2018-09-09,20:00 (13:00),Córdoba,0–0,Alcorcón,12312,Estadio Nuevo Arcángel,Oliver De La Fuente,Match Report,
Regular Season,4,Sun,2018-09-09,20:45 (13:45),La Coruña,1–0,Sporting Gijón,15908,Estadio Municipal de Riazor,Gorka Sagues,Match Report,
Regular Season,4,Mon,2018-09-10,20:00 (13:00),Majadahonda,1–0,Lugo,3370,Miniestadio Cerro del Espino,Juan Pulido,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,2018-09-15,16:00 (09:00),Gimnàstic,1–0,Osasuna,4576,Nou Estadi de Tarragona,Javier Villanueva,Match Report,
Regular Season,5,Sat,2018-09-15,17:00 (11:00),Tenerife,0–1,Reus,9532,Estadio Heliodoro Rodríguez Lopéz,Dámaso Arcediano,Match Report,
Regular Season,5,Sat,2018-09-15,18:00 (11:00),Málaga,3–0,Córdoba,19047,Estadio La Rosaleda,Santiago Varón,Match Report,
Regular Season,5,Sat,2018-09-15,20:00 (13:00),Alcorcón,1–0,La Coruña,3233,Estadio Santo Domingo,Aitor Gorostegui,Match Report,
Regular Season,5,Sun,2018-09-16,12:00 (05:00),Elche,1–1,Mallorca,10817,Estadio Manuel Martínez Valero,Luis Milla,Match Report,
Regular Season,5,Sun,2018-09-16,16:00 (09:00),Lugo,0–2,Oviedo,4508,Estadio Anxo Carro,Valentín Pizarro,Match Report,
Regular Season,5,Sun,2018-09-16,18:00 (11:00),Extremadura,1–2,Las Palmas,9710,Estadio Francisco de la Hera,Jorge Figueroa,Match Report,
Regular Season,5,Sun,2018-09-16,18:30 (11:30),Almería,2–1,Zaragoza,7251,Estadio de los Juegos Mediterráneos,Víctor Areces,Match Report,
Regular Season,5,Sun,2018-09-16,20:00 (13:00),Granada,3–0,Majadahonda,9077,Estadio Nuevo Los Cármenes,Rubén Ávalos,Match Report,
Regular Season,5,Sun,2018-09-16,20:30 (13:30),Sporting Gijón,1–1,Numancia,19240,Estadio Municipal El Molinón,Daniel Trujillo,Match Report,
Regular Season,5,Mon,2018-09-17,20:00 (13:00),Albacete,1–1,Cádiz,6770,Estadio Carlos Belmonte,César Soto,Match Report,
,,,,,,,,,,,,
Regular Season,6,Sat,2018-09-22,16:00 (09:00),Osasuna,1–0,Sporting Gijón,13354,Estadio El Sadar,Isidro Díaz de Mera,Match Report,
Regular Season,6,Sat,2018-09-22,18:00 (11:00),Majadahonda,1–4,Extremadura,5352,Estadio Wanda Metropolitano,Iñaki Bikandi,Match Report,
Regular Season,6,Sat,2018-09-22,18:00 (11:00),Zaragoza,0–2,Lugo,23111,Estadio de la Romareda,Saúl Ais,Match Report,
Regular Season,6,Sat,2018-09-22,20:30 (13:30),Córdoba,1–1,Tenerife,11085,Estadio Nuevo Arcángel,David Pérez,Match Report,
Regular Season,6,Sun,2018-09-23,12:00 (05:00),Mallorca,1–3,Albacete,7682,Iberostar Estadi,Gorka Sagues,Match Report,
Regular Season,6,Sun,2018-09-23,16:00 (09:00),Oviedo,1–1,Elche,14008,Estadio Nuevo Carlos Tartiere,Abraham Domínguez,Match Report,
Regular Season,6,Sun,2018-09-23,17:00 (11:00),Las Palmas,1–0,Málaga,21350,Estadio de Gran Canaria,Daniel Ocón,Match Report,
Regular Season,6,Sun,2018-09-23,18:00 (11:00),Numancia,0–2,Almería,3159,Nuevo Estadio Los Pajaritos,César Soto,Match Report,
Regular Season,6,Sun,2018-09-23,18:00 (11:00),Reus,1–1,Gimnàstic,4195,Estadio Camp Nou Municipal,Oliver De La Fuente,Match Report,
Regular Season,6,Sun,2018-09-23,20:00 (13:00),Cádiz,0–2,Alcorcón,13207,Estadio Ramón de Carranza,José López,Match Report,
Regular Season,6,Mon,2018-09-24,21:00 (14:00),La Coruña,2–1,Granada,13716,Estadio Municipal de Riazor,Álvaro Moreno,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2018-09-28,21:00 (14:00),Albacete,2–2,Zaragoza,8246,Estadio Carlos Belmonte,Daniel Trujillo,Match Report,
Regular Season,7,Sat,2018-09-29,16:00 (09:00),Lugo,1–1,Mallorca,3100,Estadio Anxo Carro,Rubén Ávalos,Match Report,
Regular Season,7,Sat,2018-09-29,18:00 (11:00),Sporting Gijón,1–0,Las Palmas,20576,Estadio Municipal El Molinón,Dámaso Arcediano,Match Report,
Regular Season,7,Sat,2018-09-29,18:00 (11:00),Granada,4–2,Córdoba,9931,Estadio Nuevo Los Cármenes,Valentín Pizarro,Match Report,
