Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,3,Wed,2019-10-23,18:55 (11:55),Ajax nl,0.5,0–1,1.9,eng Chelsea,52482,Johan Cruyff ArenA,Ovidiu Hațegan,Match Report,
Group Stage,3,Wed,2019-10-23,20:00 (14:00),Benfica pt,0.5,2–1,1.0,fr Lyon,53035,Estádio do Sport Lisboa e Benfica,Ivan Kružliak,Match Report,
Group Stage,3,Wed,2019-10-23,21:00 (14:00),Inter it,1.6,2–0,0.3,de Dortmund,65673,Stadio Giuseppe Meazza,Anthony Taylor,Match Report,
Group Stage,3,Wed,2019-10-23,21:00 (14:00),RB Salzburg at,1.8,2–3,0.5,it Napoli,29520,Red Bull Arena,Clément Turpin,Match Report,
Group Stage,3,Wed,2019-10-23,21:00 (14:00),Lille fr,1.7,1–1,0.4,es Valencia,47488,Stade Pierre-Mauroy,Deniz Aytekin,Match Report,
Group Stage,3,Wed,2019-10-23,21:00 (14:00),Genk be,0.9,1–4,1.9,eng Liverpool,19626,Luminus Arena,Slavko Vinčič,Match Report,
Group Stage,3,Wed,2019-10-23,21:00 (14:00),Slavia Prague cz,1.6,1–2,2.2,es Barcelona,19170,Sinobo Stadium,Bobby Madden,Match Report,
,,,,,,,,,,,,,,
Group Stage,4,Tue,2019-11-05,18:55 (11:55),Barcelona es,2.2,0–0,0.2,cz Slavia Prague,67023,Camp Nou,Michael Oliver,Match Report,
Group Stage,4,Tue,2019-11-05,20:55 (11:55),Zenit ru,0.8,0–2,1.2,de RB Leipzig,50452,Gazprom Arena,Orel Grinfeeld,Match Report,
Group Stage,4,Tue,2019-11-05,20:00 (14:00),Liverpool eng,2.0,2–1,0.4,be Genk,52611,Anfield,Ivan Kružliak,Match Report,
Group Stage,4,Tue,2019-11-05,20:00 (14:00),Chelsea eng,3.8,4–4,0.8,nl Ajax,39132,Stamford Bridge,Gianluca Rocchi,Match Report,
Group Stage,4,Tue,2019-11-05,21:00 (14:00),Valencia es,2.1,4–1,1.5,fr Lille,38252,Estadio de Mestalla,Sergey Karasev,Match Report,
Group Stage,4,Tue,2019-11-05,21:00 (14:00),Napoli it,2.4,1–1,1.6,at RB Salzburg,32862,Stadio San Paolo,Szymon Marciniak,Match Report,
Group Stage,4,Tue,2019-11-05,21:00 (14:00),Dortmund de,2.5,3–2,1.3,it Inter,66099,Signal Iduna Park,Danny Makkelie,Match Report,
Group Stage,4,Tue,2019-11-05,21:00 (14:00),Lyon fr,0.9,3–1,1.1,pt Benfica,51077,Groupama Stadium,Björn Kuipers,Match Report,
Group Stage,4,Wed,2019-11-06,18:55 (11:55),Bayern Munich de,2.6,2–0,0.1,gr Olympiacos,63646,Allianz Arena,Paweł Raczkowski,Match Report,
Group Stage,4,Wed,2019-11-06,20:55 (11:55),Loko Moscow ru,2.1,1–2,2.4,it Juventus,26862,RZD Arena,Ruddy Buquet,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Atalanta it,0.7,1–1,1.8,eng Manchester City,34326,Stadio Giuseppe Meazza,Aliaksei Kulbakou,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Bayer de,0.8,2–1,1.7,es Atlético Madrid,28160,BayArena,Damir Skomina,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Paris S-G fr,1.5,1–0,1.8,be Club Brugge,47418,Parc des Princes,Bobby Madden,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Real Madrid es,3.8,6–0,0.3,tr Galatasaray,65492,Estadio Santiago Bernabéu,Felix Zwayer,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Red Star rs,0.6,0–4,2.5,eng Tottenham,42381,Stadion Rajko Mitić,Carlos del Cerro,Match Report,
Group Stage,4,Wed,2019-11-06,21:00 (14:00),Dinamo Zagreb hr,1.7,3–3,2.2,ua Shakhtar,28316,Stadion Maksimir,Felix Brych,Match Report,
,,,,,,,,,,,,,,
Group Stage,5,Tue,2019-11-26,20:55 (11:55),Galatasaray tr,0.5,1–1,1.3,be Club Brugge,34500,Türk Telekom Arena,Ivan Kružliak,Match Report,
Group Stage,5,Tue,2019-11-26,20:55 (11:55),Loko Moscow ru,1.2,0–2,0.7,de Bayer,25757,RZD Arena,Michael Oliver,Match Report,
Group Stage,5,Tue,2019-11-26,20:00 (14:00),Manchester City eng,1.2,1–1,0.6,ua Shakhtar,52020,Etihad Stadium,Slavko Vinčič,Match Report,
Group Stage,5,Tue,2019-11-26,20:00 (14:00),Tottenham eng,2.1,4–2,1.3,gr Olympiacos,57024,Tottenham Hotspur Stadium,Georgi Kabakov,Match Report,
Group Stage,5,Tue,2019-11-26,21:00 (14:00),Real Madrid es,3.2,2–2,1.9,fr Paris S-G,75534,Estadio Santiago Bernabéu,Artur Soares Dias,Match Report,
Group Stage,5,Tue,2019-11-26,21:00 (14:00),Red Star rs,0.1,0–6,4.9,de Bayern Munich,44118,Stadion Rajko Mitić,Björn Kuipers,Match Report,
Group Stage,5,Tue,2019-11-26,21:00 (14:00),Juventus it,0.3,1–0,1.0,es Atlético Madrid,40486,Allianz Stadium,Anthony Taylor,Match Report,
Group Stage,5,Tue,2019-11-26,21:00 (14:00),Atalanta it,3.1,2–0,0.3,hr Dinamo Zagreb,26496,Stadio Giuseppe Meazza,Sergey Karasev,Match Report,
Group Stage,5,Wed,2019-11-27,18:55 (11:55),Valencia es,2.6,2–2,2.5,eng Chelsea,43486,Estadio de Mestalla,Felix Zwayer,Match Report,
Group Stage,5,Wed,2019-11-27,20:55 (11:55),Zenit ru,0.8,2–0,0.6,fr Lyon,51183,Gazprom Arena,Daniele Orsato,Match Report,
Group Stage,5,Wed,2019-11-27,20:00 (14:00),Liverpool eng,0.8,1–1,0.3,it Napoli,52128,Anfield,Carlos del Cerro,Match Report,
Group Stage,5,Wed,2019-11-27,21:00 (14:00),Slavia Prague cz,1.9,1–3,2.6,it Inter,19370,Sinobo Stadium,Szymon Marciniak,Match Report,
Group Stage,5,Wed,2019-11-27,21:00 (14:00),Genk be,1.8,1–4,2.7,at RB Salzburg,17284,Luminus Arena,Mattias Gestranius,Match Report,
Group Stage,5,Wed,2019-11-27,21:00 (14:00),Lille fr,1.8,0–2,1.6,nl Ajax,48612,Stade Pierre-Mauroy,Felix Brych,Match Report,
Group Stage,5,Wed,2019-11-27,21:00 (14:00),RB Leipzig de,3.4,2–2,0.8,pt Benfica,38339,Red Bull Arena,Jesús Gil,Match Report,
Group Stage,5,Wed,2019-11-27,21:00 (14:00),Barcelona es,2.6,3–1,1.0,de Dortmund,90071,Camp Nou,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Group Stage,6,Tue,2019-12-10,18:55 (11:55),Napoli it,3.1,4–0,1.6,be Genk,22265,Stadio San Paolo,Cüneyt Çakιr,Match Report,
Group Stage,6,Tue,2019-12-10,18:55 (11:55),RB Salzburg at,1.1,0–2,2.9,eng Liverpool,29520,Red Bull Arena,Danny Makkelie,Match Report,
Group Stage,6,Tue,2019-12-10,20:00 (14:00),Benfica pt,2.7,3–0,0.2,ru Zenit,40232,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
Group Stage,6,Tue,2019-12-10,20:00 (14:00),Chelsea eng,2.5,2–1,0.4,fr Lille,40016,Stamford Bridge,Anastasios Sidiropoulos,Match Report,
Group Stage,6,Tue,2019-12-10,21:00 (14:00),Inter it,1.3,1–2,1.2,es Barcelona,71818,Stadio Giuseppe Meazza,Björn Kuipers,Match Report,
Group Stage,6,Tue,2019-12-10,21:00 (14:00),Lyon fr,0.9,2–2,3.1,de RB Leipzig,53288,Groupama Stadium,Anthony Taylor,Match Report,
Group Stage,6,Tue,2019-12-10,21:00 (14:00),Ajax nl,1.1,0–1,0.9,es Valencia,51931,Johan Cruyff ArenA,Clément Turpin,Match Report,
Group Stage,6,Tue,2019-12-10,21:00 (14:00),Dortmund de,2.0,2–1,1.8,cz Slavia Prague,65079,Signal Iduna Park,Sergey Karasev,Match Report,
Group Stage,6,Wed,2019-12-11,18:55 (11:55),Dinamo Zagreb hr,0.4,1–4,2.6,eng Manchester City,29385,Stadion Maksimir,Carlos del Cerro,Match Report,
Group Stage,6,Wed,2019-12-11,19:55 (11:55),Shakhtar ua,0.6,0–3,3.1,it Atalanta,26536,Oblasny SportKomplex Metalist,Felix Zwayer,Match Report,
Group Stage,6,Wed,2019-12-11,21:00 (14:00),Paris S-G fr,4.0,5–0,0.3,tr Galatasaray,46509,Parc des Princes,István Kovács,Match Report,
Group Stage,6,Wed,2019-12-11,21:00 (14:00),Bayern Munich de,3.2,3–1,0.9,eng Tottenham,66353,Allianz Arena,Gianluca Rocchi,Match Report,
Group Stage,6,Wed,2019-12-11,21:00 (14:00),Atlético Madrid es,2.8,2–0,0.0,ru Loko Moscow,58426,Estadio Wanda Metropolitano,Viktor Kassai,Match Report,
Group Stage,6,Wed,2019-12-11,21:00 (14:00),Bayer de,0.9,0–2,1.2,it Juventus,29542,BayArena,Benoît Bastien,Match Report,
Group Stage,6,Wed,2019-12-11,21:00 (14:00),Club Brugge be,1.0,1–3,1.3,es Real Madrid,27308,Jan Breydelstadion,Tobias Stieler,Match Report,
Group Stage,6,Wed,2019-12-11,22:00 (14:00),Olympiacos gr,3.4,1–0,1.2,rs Red Star,31898,Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2020-02-18,21:00 (14:00),Dortmund de,,,,fr Paris S-G,,Signal Iduna Park,,,Leg 1 of 2
Round of 16,,Tue,2020-02-18,21:00 (14:00),Atlético Madrid es,,,,eng Liverpool,,Estadio Wanda Metropolitano,,,Leg 1 of 2
Round of 16,,Wed,2020-02-19,20:00 (14:00),Tottenham eng,,,,de RB Leipzig,,Tottenham Hotspur Stadium,,,Leg 1 of 2
Round of 16,,Wed,2020-02-19,21:00 (14:00),Atalanta it,,,,es Valencia,,Stadio Giuseppe Meazza,,,Leg 1 of 2
Round of 16,,Tue,2020-02-25,20:00 (14:00),Chelsea eng,,,,de Bayern Munich,,Stamford Bridge,,,Leg 1 of 2
Round of 16,,Tue,2020-02-25,21:00 (14:00),Napoli it,,,,es Barcelona,,Stadio San Paolo,,,Leg 1 of 2
Round of 16,,Wed,2020-02-26,21:00 (14:00),Real Madrid es,,,,eng Manchester City,,Estadio Santiago Bernabéu,,,Leg 1 of 2
Round of 16,,Wed,2020-02-26,21:00 (14:00),Lyon fr,,,,it Juventus,,Groupama Stadium,,,Leg 1 of 2
Round of 16,,Tue,2020-03-10,21:00 (15:00),Valencia es,,,,it Atalanta,,Estadio de Mestalla,,,Leg 2 of 2
Round of 16,,Tue,2020-03-10,21:00 (15:00),RB Leipzig de,,,,eng Tottenham,,Red Bull Arena,,,Leg 2 of 2
Round of 16,,Wed,2020-03-11,20:00 (15:00),Liverpool eng,,,,es Atlético Madrid,,Anfield,,,Leg 2 of 2
Round of 16,,Wed,2020-03-11,21:00 (15:00),Paris S-G fr,,,,de Dortmund,,Parc des Princes,,,Leg 2 of 2
Round of 16,,Tue,2020-03-17,20:00 (15:00),Manchester City eng,,,,es Real Madrid,,Etihad Stadium,,,Leg 2 of 2
Round of 16,,Tue,2020-03-17,21:00 (15:00),Juventus it,,,,fr Lyon,,Allianz Stadium,,,Leg 2 of 2
Round of 16,,Wed,2020-03-18,21:00 (15:00),Barcelona es,,,,it Napoli,,Camp Nou,,,Leg 2 of 2
Round of 16,,Wed,2020-03-18,21:00 (15:00),Bayern Munich de,,,,eng Chelsea,,Allianz Arena,,,Leg 2 of 2
