Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Tue,2019-09-17,18:55 (11:55),Lyon fr,1.5,1–1,1.2,ru Zenit,47201,Groupama Stadium,Michael Oliver,Match Report,
Group Stage,1,Tue,2019-09-17,18:55 (11:55),Inter it,1.2,1–1,0.8,cz Slavia Prague,50128,Stadio Giuseppe Meazza,Ruddy Buquet,Match Report,
Group Stage,1,Tue,2019-09-17,20:00 (14:00),Chelsea eng,2.3,0–1,0.5,es Valencia,39469,Stamford Bridge,Cüneyt Çakιr,Match Report,
Group Stage,1,Tue,2019-09-17,20:00 (14:00),Benfica pt,1.7,1–2,1.2,de RB Leipzig,46460,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,
Group Stage,1,Tue,2019-09-17,21:00 (14:00),Dortmund de,2.6,0–0,0.5,es Barcelona,66099,Signal Iduna Park,Ovidiu Hațegan,Match Report,
Group Stage,1,Tue,2019-09-17,21:00 (14:00),RB Salzburg at,3.4,6–2,0.8,be Genk,29520,Red Bull Arena,Felix Zwayer,Match Report,
Group Stage,1,Tue,2019-09-17,21:00 (14:00),Ajax nl,1.5,3–0,1.7,fr Lille,51441,Johan Cruyff ArenA,Srđan Jovanović,Match Report,
Group Stage,1,Tue,2019-09-17,21:00 (14:00),Napoli it,1.7,2–0,0.8,eng Liverpool,38878,Stadio San Paolo,Felix Brych,Match Report,
Group Stage,1,Wed,2019-09-18,18:55 (11:55),Club Brugge be,1.3,0–0,0.7,tr Galatasaray,26616,Jan Breydelstadion,Slavko Vinčič,Match Report,
Group Stage,1,Wed,2019-09-18,19:55 (11:55),Olympiacos gr,1.6,2–2,1.5,eng Tottenham,31001,Stadio Georgios Karaiskáki,Gianluca Rocchi,Match Report,
Group Stage,1,Wed,2019-09-18,21:00 (14:00),Atlético Madrid es,1.9,2–2,1.1,it Juventus,66283,Estadio Wanda Metropolitano,Danny Makkelie,Match Report,
Group Stage,1,Wed,2019-09-18,21:00 (14:00),Paris S-G fr,1.6,3–0,0.8,es Real Madrid,46361,Parc des Princes,Anthony Taylor,Match Report,
Group Stage,1,Wed,2019-09-18,21:00 (14:00),Bayern Munich de,3.6,3–0,0.2,rs Red Star,70000,Allianz Arena,Bobby Madden,Match Report,
Group Stage,1,Wed,2019-09-18,21:00 (14:00),Dinamo Zagreb hr,2.2,4–0,1.6,it Atalanta,28863,Stadion Maksimir,Jesús Gil,Match Report,
Group Stage,1,Wed,2019-09-18,21:00 (14:00),Bayer de,1.4,1–2,0.9,ru Loko Moscow,26592,BayArena,Paweł Raczkowski,Match Report,
Group Stage,1,Wed,2019-09-18,22:00 (14:00),Shakhtar ua,0.8,0–3,3.1,eng Manchester City,36675,Oblasny SportKomplex Metalist,Artur Soares Dias,Match Report,
,,,,,,,,,,,,,,
Group Stage,2,Tue,2019-10-01,18:55 (11:55),Atalanta it,2.2,1–2,1.6,ua Shakhtar,26022,Stadio Giuseppe Meazza,Tobias Stieler,Match Report,
Group Stage,2,Tue,2019-10-01,18:55 (11:55),Real Madrid es,2.2,2–2,1.9,be Club Brugge,65112,Estadio Santiago Bernabéu,Georgi Kabakov,Match Report,
Group Stage,2,Tue,2019-10-01,20:00 (14:00),Manchester City eng,3.5,2–0,0.1,hr Dinamo Zagreb,49046,Etihad Stadium,Serdar Gözübüyük,Match Report,
Group Stage,2,Tue,2019-10-01,20:00 (14:00),Tottenham eng,2.5,2–7,1.6,de Bayern Munich,60127,Tottenham Hotspur Stadium,Clément Turpin,Match Report,
Group Stage,2,Tue,2019-10-01,21:00 (14:00),Juventus it,1.6,3–0,0.7,de Bayer,34525,Allianz Stadium,William Collum,Match Report,
Group Stage,2,Tue,2019-10-01,21:00 (14:00),Red Star rs,1.1,3–1,0.7,gr Olympiacos,43291,Stadion Rajko Mitić,Benoît Bastien,Match Report,
Group Stage,2,Tue,2019-10-01,22:00 (14:00),Loko Moscow ru,0.7,0–2,2.9,es Atlético Madrid,27051,RZD Arena,Orel Grinfeeld,Match Report,
Group Stage,2,Tue,2019-10-01,22:00 (14:00),Galatasaray tr,0.4,0–1,2.5,fr Paris S-G,46532,Türk Telekom Arena,Szymon Marciniak,Match Report,
Group Stage,2,Wed,2019-10-02,18:55 (11:55),Genk be,0.8,0–0,2.0,it Napoli,19962,Luminus Arena,István Kovács,Match Report,
Group Stage,2,Wed,2019-10-02,18:55 (11:55),Slavia Prague cz,1.3,0–2,1.2,de Dortmund,19370,Sinobo Stadium,Björn Kuipers,Match Report,
Group Stage,2,Wed,2019-10-02,20:00 (14:00),Liverpool eng,2.6,4–3,2.0,at RB Salzburg,52243,Anfield,Andreas Ekberg,Match Report,
Group Stage,2,Wed,2019-10-02,21:00 (14:00),Barcelona es,1.3,2–1,1.2,it Inter,86141,Camp Nou,Damir Skomina,Match Report,
Group Stage,2,Wed,2019-10-02,21:00 (14:00),RB Leipzig de,1.8,0–2,1.4,fr Lyon,40194,Red Bull Arena,Antonio Matéu Lahoz,Match Report,
Group Stage,2,Wed,2019-10-02,21:00 (14:00),Lille fr,0.6,1–2,1.1,eng Chelsea,48523,Stade Pierre-Mauroy,Aliaksei Kulbakou,Match Report,
Group Stage,2,Wed,2019-10-02,21:00 (14:00),Valencia es,1.7,0–3,1.2,nl Ajax,44659,Estadio de Mestalla,Daniele Orsato,Match Report,
Group Stage,2,Wed,2019-10-02,22:00 (14:00),Zenit ru,2.4,3–1,0.7,pt Benfica,51683,Gazprom Arena,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,,
Group Stage,3,Tue,2019-10-22,18:55 (11:55),Atlético Madrid es,0.4,1–0,0.6,de Bayer,56776,Estadio Wanda Metropolitano,Artur Soares Dias,Match Report,
Group Stage,3,Tue,2019-10-22,19:55 (11:55),Shakhtar ua,1.1,2–2,1.7,hr Dinamo Zagreb,21526,Oblasny SportKomplex Metalist,Antonio Matéu Lahoz,Match Report,
Group Stage,3,Tue,2019-10-22,20:00 (14:00),Tottenham eng,3.2,5–0,0.9,rs Red Star,51743,Tottenham Hotspur Stadium,Marco Guida,Match Report,
Group Stage,3,Tue,2019-10-22,20:00 (14:00),Manchester City eng,3.5,5–1,1.7,it Atalanta,49308,Etihad Stadium,Orel Grinfeeld,Match Report,
Group Stage,3,Tue,2019-10-22,21:00 (14:00),Club Brugge be,0.4,0–5,3.2,fr Paris S-G,26946,Jan Breydelstadion,Daniel Siebert,Match Report,
Group Stage,3,Tue,2019-10-22,21:00 (14:00),Juventus it,2.7,2–1,0.6,ru Loko Moscow,38547,Allianz Stadium,Tasos Sidiropoulos,Match Report,
Group Stage,3,Tue,2019-10-22,22:00 (14:00),Olympiacos gr,0.8,2–3,2.6,de Bayern Munich,31670,Stadio Georgios Karaiskáki,Danny Makkelie,Match Report,
Group Stage,3,Tue,2019-10-22,22:00 (14:00),Galatasaray tr,0.9,0–1,2.9,es Real Madrid,48886,Türk Telekom Arena,Daniele Orsato,Match Report,
Group Stage,3,Wed,2019-10-23,18:55 (11:55),RB Leipzig de,1.8,2–1,0.8,ru Zenit,41058,Red Bull Arena,Ali Palabıyık,Match Report,
