Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sun,2016-07-31,20:30 (13:30),Matera,3–0,Caronnese,2500,Stadio XXI Settembre Franco Salerno,Vincenzo Valiante,Match Report,Match awarded to Matera
First Round,Sun,2016-07-31,20:30 (13:30),Pordenone,5–2,FC Grosseto,1000,Stadio Ottavio Bottecchia,Andrea Zanonato,Match Report,
First Round,Sun,2016-07-31,20:30 (13:30),Cosenza,1–0,Frattese,1362,Stadio San Vito,Vito Mastrodonato,Match Report,
First Round,Sun,2016-07-31,21:00 (14:00),Siena,0–3,Messina,1100,Stadio Comunale Artemio Franchi - Montep...,Edoardo Paolini,Match Report,
Second Round,Fri,2016-08-05,21:00 (14:00),Hellas Verona,2–1,Foggia,5972,Stadio Marc'Antonio Bentegodi,Gianluca Aureliano,Match Report,
Second Round,Sat,2016-08-06,17:30 (10:30),Carpi,3–2,Maceratese,737,Stadio Alberto Braglia,Marco Piccinini,Match Report,
Second Round,Sat,2016-08-06,20:30 (13:30),Spezia,1–0,Modena,3540,Stadio Alberto Picco,Gianluca Manganiello,Match Report,
Second Round,Sun,2016-08-07,18:30 (11:30),SPAL,2–0,Messina,1036,Stadio Tullo Morgagni,Lorenzo Illuzzi,Match Report,
Second Round,Sun,2016-08-07,18:30 (11:30),Vicenza,4–2,Casertana,1736,Stadio Romeo Menti,Marco Mainardi,Match Report,
Second Round,Sun,2016-08-07,20:00 (13:00),Cittadella,1–2,Cremonese,924,Stadio Pier Cesare Tombolato,Valerio Marini,Match Report,Required Extra Time
Second Round,Sun,2016-08-07,20:00 (13:00),Bassano Virtus,2–0,Avellino,1000,Stadio Rino Mercante,Riccardo Ros,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Benevento,(2) 0–0 (4),Salernitana,6855,Stadio Ciro Vigorito,Eugenio Abbattista,Match Report,Salernitana won on penalty kicks following extra time
Second Round,Sun,2016-08-07,20:30 (13:30),Bari,1–0,Cosenza,11664,Stadio Comunale San Nicola,Antonio Di Martino,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Ternana,2–0,Pordenone,2500,Stadio Libero Liberati,Daniele Martinelli,Match Report,Required Extra Time
Second Round,Sun,2016-08-07,20:30 (13:30),Frosinone,3–0,ASD Como,3737,Stadio Comunale Matusa,Livio Marinelli,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Virtus Entella,2–0,Ancona,1128,Stadio Comunale Chiavari,Riccardo Pinzani,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Trapani,3–0,US Seregno,6318,Stadio Polisportivo Provinciale,Francesco Paolo Saia,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Perugia,1–0,Alessandria,3185,Stadio Renato Curi,Juan Sacchi,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Brescia,0–2,Pisa,6187,Stadio Mario Rigamonti,Marco Serra,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Novara,2–1,Juve Stabia,2294,Stadio Comunale Silvio Piola,Antonio Rapuano,Match Report,
Second Round,Sun,2016-08-07,20:30 (13:30),Pro Vercelli,3–1,Reggio Audace,1650,Stadio Silvio Piola,Davide Ghersini,Match Report,
Second Round,Sun,2016-08-07,20:45 (13:45),Cesena,2–0,Arezzo,3762,Stadio Dino Manuzzi,Daniele Chiffi,Match Report,
Second Round,Sun,2016-08-07,20:45 (13:45),Latina,1–0,Matera,1705,Stadio Comunale Domenico Francioni,Niccolò Baroni,Match Report,
Second Round,Mon,2016-08-08,20:30 (13:30),Ascoli,(6) 2–2 (7),Lecce,4725,Stadio Cino e Lillo Del Duca,Luigi Nasca,Match Report,Lecce won on penalty kicks following extra time
Third Round,Fri,2016-08-12,18:30 (11:30),Genoa,3–2,Lecce,8828,Stadio Comunale Luigi Ferraris,Claudio Gavillucci,Match Report,
Third Round,Fri,2016-08-12,21:00 (14:00),Palermo,1–0,Bari,7483,Stadio Renzo Barbera,Daniele Doveri,Match Report,Required Extra Time
Third Round,Fri,2016-08-12,21:00 (14:00),Bologna,2–0,Trapani,11841,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
Third Round,Sat,2016-08-13,19:30 (12:30),Udinese,2–3,Spezia,7000,Dacia Arena,Rosario Abisso,Match Report,
Third Round,Sat,2016-08-13,20:30 (13:30),Novara,1–0,Latina,1890,Stadio Silvio Piola,Davide Massa,Match Report,Required Extra Time
Third Round,Sat,2016-08-13,20:30 (13:30),Pescara,2–0,Frosinone,5410,Stadio Adriatico-Giovanni Cornacchia,Antonio Damato,Match Report,
Third Round,Sat,2016-08-13,20:30 (13:30),Perugia,2–1,Carpi,2654,Stadio Renato Curi,Maurizio Mariani,Match Report,
Third Round,Sat,2016-08-13,20:30 (13:30),Torino,4–1,Pro Vercelli,13356,Stadio Olimpico di Torino,Domenico Celi,Match Report,
Third Round,Sat,2016-08-13,20:45 (13:45),Cesena,2–0,Ternana,3103,Stadio Dino Manuzzi,Giampaolo Calvarese,Match Report,
Third Round,Sat,2016-08-13,20:45 (13:45),Atalanta,3–0,Cremonese,4143,Stadio Atleti Azzurri d'Italia,Luca Pairetto,Match Report,
Third Round,Sat,2016-08-13,20:45 (13:45),Chievo,3–0,Virtus Entella,1000,Stadio Marc'Antonio Bentegodi,Fabio Maresca,Match Report,
Third Round,Sat,2016-08-13,20:45 (13:45),Empoli,2–0,Vicenza,1386,Stadio Carlo Castellani,Massimiliano Irrati,Match Report,
Third Round,Sun,2016-08-14,19:00 (12:00),Salernitana,(3) 1–1 (4),Pisa,350,Stadio Pietro Barbetti,Paolo Valeri,Match Report,Pisa won on penalty kicks following extra time
Third Round,Sun,2016-08-14,20:45 (13:45),Sampdoria,3–0,Bassano Virtus,8000,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
Third Round,Sun,2016-08-14,20:45 (13:45),Hellas Verona,2–1,Crotone,7753,Stadio Marc'Antonio Bentegodi,Carmine Russo,Match Report,
Third Round,Mon,2016-08-15,21:00 (14:00),Cagliari,5–1,SPAL,6200,Stadio Sant'Elia,Davide Ghersini,Match Report,
Fourth Round,Tue,2016-11-29,15:00 (08:00),Empoli,1–2,Cesena,644,Stadio Carlo Castellani,Luigi Nasca,Match Report,Required Extra Time
Fourth Round,Tue,2016-11-29,18:00 (11:00),Chievo,3–0,Novara,850,Stadio Marc'Antonio Bentegodi,Riccardo Pinzani,Match Report,
Fourth Round,Tue,2016-11-29,21:00 (14:00),Torino,4–0,Pisa,10875,Stadio Olimpico di Torino,Piero Giacomelli,Match Report,Required Extra Time
Fourth Round,Wed,2016-11-30,15:00 (08:00),Palermo,(4) 0–0 (5),Spezia,4629,Stadio Renzo Barbera,Gianluca Aureliano,Match Report,Spezia won on penalty kicks following extra time
Fourth Round,Wed,2016-11-30,18:00 (11:00),Atalanta,3–0,Pescara,6344,Stadio Atleti Azzurri d'Italia,Federico La Penna,Match Report,
Fourth Round,Wed,2016-11-30,21:00 (14:00),Sampdoria,3–0,Cagliari,4479,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
Fourth Round,Thu,2016-12-01,18:00 (11:00),Genoa,4–3,Perugia,4764,Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,Required Extra Time
Fourth Round,Thu,2016-12-01,21:00 (14:00),Bologna,4–0,Hellas Verona,7956,Stadio Renato Dall'Ara,Luca Pairetto,Match Report,
Round of 16,Tue,2017-01-10,21:00 (14:00),Napoli,3–1,Spezia,22329,Stadio San Paolo,Luca Pairetto,Match Report,
Round of 16,Wed,2017-01-11,17:30 (10:30),Fiorentina,1–0,Chievo,6477,Stadio Artemio Franchi,Domenico Celi,Match Report,
Round of 16,Wed,2017-01-11,20:45 (13:45),Juventus,3–2,Atalanta,38023,Allianz Stadium,Piero Giacomelli,Match Report,
Round of 16,Thu,2017-01-12,21:00 (14:00),Milan,2–1,Torino,13892,Stadio Giuseppe Meazza,Carmine Russo,Match Report,
Round of 16,Tue,2017-01-17,21:00 (14:00),Inter,3–2,Bologna,23478,Stadio Giuseppe Meazza,Maurizio Mariani,Match Report,Required Extra Time
Round of 16,Wed,2017-01-18,17:30 (10:30),Sassuolo,1–2,Cesena,1920,Stadio Città del Tricolore,Gianluca Rocchi,Match Report,
Round of 16,Wed,2017-01-18,21:00 (14:00),Lazio,4–2,Genoa,10000,Stadio Olimpico,Antonio Damato,Match Report,
Round of 16,Thu,2017-01-19,21:00 (14:00),Roma,4–0,Sampdoria,33507,Stadio Olimpico,Giampaolo Calvarese,Match Report,
Quarter-finals,Tue,2017-01-24,20:45 (13:45),Napoli,1–0,Fiorentina,31850,Stadio San Paolo,Daniele Doveri,Match Report,
Quarter-finals,Wed,2017-01-25,20:45 (13:45),Juventus,2–1,Milan,36315,Allianz Stadium,Massimiliano Irrati,Match Report,
Quarter-finals,Tue,2017-01-31,20:45 (13:45),Inter,1–2,Lazio,31757,Stadio Giuseppe Meazza,Marco Guida,Match Report,
Quarter-finals,Wed,2017-02-01,21:00 (14:00),Roma,2–1,Cesena,26204,Stadio Olimpico,Fabio Maresca,Match Report,
Semi-finals,Tue,2017-02-28,20:45 (13:45),Juventus,3–1,Napoli,38398,Allianz Stadium,Paolo Valeri,Match Report,Leg 1 of 2
Semi-finals,Wed,2017-03-01,20:45 (13:45),Lazio,2–0,Roma,28000,Stadio Olimpico,Massimiliano Irrati,Match Report,Leg 1 of 2
Semi-finals,Tue,2017-04-04,20:45 (13:45),Roma,3–2,Lazio,43721,Stadio Olimpico,Nicola Rizzoli,Match Report,Leg 2 of 2; Lazio won
Semi-finals,Wed,2017-04-05,20:45 (13:45),Napoli,3–2,Juventus,48421,Stadio San Paolo,Luca Banti,Match Report,Leg 2 of 2; Juventus won
Final,Wed,2017-05-17,21:00 (14:00),Juventus,2–0,Lazio,66341,Stadio Olimpico,Paolo Tagliavento,Match Report,
