Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2016-07-29,21:00 (14:00),Livorno,1–3,Juve Stabia,2031,Stadio Armando Picchi,Fabio Piscopo,Match Report,
First Round,Sat,2016-07-30,18:00 (11:00),Campodarsego,(3) 3–3 (4),Maceratese,330,Centro Sportivo Il Gabbiano,Giampaolo Mantelli,Match Report,Maceratese won on penalty kicks following extra time
First Round,Sat,2016-07-30,21:00 (14:00),Lecce,2–1,Altovicentino,3299,Stadio Comunale Via Del Mare,Giuseppe Strippoli,Match Report,
First Round,Sun,2016-07-31,15:00 (08:00),Casertana,3–2,Tuttocuoio,500,Stadio Comunale Alberto Pinto,Vincenzo Fiorini,Match Report,Required Extra Time
First Round,Sun,2016-07-31,17:00 (10:00),Alessandria,2–1,Teramo,2212,Stadio Giuseppe Moccagatta,Pierantonio Perotti,Match Report,
First Round,Sun,2016-07-31,17:30 (10:30),ASD Como,3–0,Montecatini,500,Stadio Pietro Fortunati,Francesco Guccini,Match Report,
First Round,Sun,2016-07-31,18:00 (11:00),Carrarese,1–2,Arezzo,841,Stadio dei Marmi,Lorenzo Bertani,Match Report,Required Extra Time
First Round,Sun,2016-07-31,18:00 (11:00),FeralpiSalò,2–3,Reggio Audace,1000,Stadio Città del Tricolore,Daniel Amabile,Match Report,Required Extra Time
First Round,Sun,2016-07-31,18:00 (11:00),Padova,(3) 0–0 (4),US Seregno,1502,Stadio Comunale Euganeo,Alessandro Pietropaolo,Match Report,US Seregno won on penalty kicks following extra time
First Round,Sun,2016-07-31,18:00 (11:00),Modena,2–0,Francavilla,1547,Stadio Alberto Braglia,Emanuele Mancini,Match Report,
First Round,Sun,2016-07-31,18:30 (11:30),Ancona,4–3,Südtirol,1200,Stadio del Conero,Daniele Paterna,Match Report,
First Round,Sun,2016-07-31,20:00 (13:00),Bassano Virtus,(5) 1–1 (3),Fidelis,700,Stadio Rino Mercante,Andrea Zingarelli,Match Report,Bassano Virtus won on penalty kicks following extra time
First Round,Sun,2016-07-31,20:30 (13:30),Cremonese,4–3,Fermana,1789,Stadio Giovanni Zin,Alessandro Prontera,Match Report,
First Round,Sun,2016-07-31,20:30 (13:30),Foggia,3–1,Pontedera,6000,Stadio Comunale Pino Zaccheria,Riccardo Panarese,Match Report,
