Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sat,2017-07-29,18:00 (11:00),Arezzo,0–1,US Triestina,780,Stadio Città di Arezzo,Federico Dionisi,Match Report,
First Round,Sun,2017-07-30,16:00 (09:00),Renate,3–1,Siracusa,450,Stadio Città di Meda,F. Schirru,Match Report,
First Round,Sun,2017-07-30,16:30 (09:30),Trastevere,1–2,Reggio Audace,600,Centro Sportivo Vittorio Bachelet,Giosuè D'Apice,Match Report,
First Round,Sun,2017-07-30,17:00 (10:00),V. Francavilla,3–1,Imolese Calcio,1100,Stadio Giovanni Paolo II,Vincenzo Valiante,Match Report,
First Round,Sun,2017-07-30,18:00 (11:00),Vicenza Virtus,4–1,Pro Piacenza,2356,Stadio Romeo Menti,Davide Andreini,Match Report,
First Round,Sun,2017-07-30,18:30 (11:30),Piacenza,1–0,US Massese,740,Stadio Leonardo Garilli,Andrea Zanonato,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Livorno,(5) 0–0 (4),FeralpiSalò,2009,Stadio Armando Picchi,Matteo Marchetti,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Cosenza,2–3,Alessandria,1618,Stadio San Vito,Ivan Robilotta,Match Report,Required Extra Time
First Round,Sun,2017-07-30,20:30 (13:30),AC Pisa,3–1,Varese Calcio,6372,Arena Garibaldi - Stadio Romeo Anconetan...,Alessandro Chindemi,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Trapani,6–0,Paganese,4289,Stadio Polisportivo Provinciale,Andrea Capone,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Gubbio,1–0,Monterosi FC,670,Stadio Pietro Barbetti,Daniele Paterna,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Matera,2–0,Casertana,1000,Stadio XXI Settembre Franco Salerno,Matteo Proietti,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Pordenone,2–0,SS Matelica,900,Stadio Ottavio Bottecchia,Daniel Amabile,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Padova,2–1,Rende Calcio,1336,Stadio Comunale Euganeo,Pierantonio Perotti,Match Report,Required Extra Time
First Round,Sun,2017-07-30,20:30 (13:30),Sambenedettese,2–0,Lucchese,2956,Stadio Riviera delle Palme,Daniele Viotti,Match Report,Required Extra Time
First Round,Sun,2017-07-30,20:30 (13:30),Lecce,3–0,Ciliverghe,3166,Stadio Comunale Via Del Mare,Luca Massimi,Match Report,
First Round,Sun,2017-07-30,20:30 (13:30),Erminio,1–3,AlbinoLeffe,1156,Stadio Comunale,Alessandro Prontera,Match Report,
First Round,Sun,2017-07-30,20:45 (13:45),Juve Stabia,3–1,Bassano Virtus,500,Stadio Comunale Romeo Menti,Vincenzo Fiorini,Match Report,
Second Round,Sat,2017-08-05,18:00 (11:00),Ascoli,3–2,Juve Stabia,3125,Stadio Cino e Lillo Del Duca,Niccolò Baroni,Match Report,
Second Round,Sat,2017-08-05,18:00 (11:00),Spezia,3–0,Reggio Audace,3749,Stadio Alberto Picco,Luigi Pillitteri,Match Report,
Second Round,Sat,2017-08-05,20:30 (13:30),Pro Vercelli,1–2,Lecce,940,Stadio Silvio Piola,Marco Serra,Match Report,
Second Round,Sat,2017-08-05,20:30 (13:30),Empoli,(3) 2–2 (4),Renate,1305,Stadio Carlo Castellani,Antonio Rapuano,Match Report,Renate won on penalty kicks following extra time
Second Round,Sun,2017-08-06,18:30 (11:30),Novara,1–2,Piacenza,1963,Stadio Comunale Silvio Piola,Davide Ghersini,Match Report,
Second Round,Sun,2017-08-06,18:30 (11:30),Venezia,1–2,Pordenone,875,Stadio Pierluigi Penzo,Antonio Giua,Match Report,
Second Round,Sun,2017-08-06,20:00 (13:00),Cittadella,2–1,AlbinoLeffe,861,Stadio Pier Cesare Tombolato,Marco Piccinini,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Palermo,5–0,V. Francavilla,5424,Stadio Renzo Barbera,Daniele Martinelli,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Salernitana,2–1,Alessandria,7500,Stadio Arechi,Lorenzo Illuzzi,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Avellino,1–0,Matera,5000,Stadio Partenio,Antonello Balice,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Pescara,5–3,US Triestina,4488,Stadio Adriatico-Giovanni Cornacchia,Francesco Fourneau,Match Report,Required Extra Time
Second Round,Sun,2017-08-06,20:30 (13:30),AC Pisa,0–1,Frosinone,5726,Arena Garibaldi - Stadio Romeo Anconetan...,Daniele Minelli,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Carpi,4–0,Livorno,1075,Stadio Sandro Cabassi,Riccardo Ros,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Vicenza Virtus,1–3,Foggia,3518,Stadio Romeo Menti,Gianluca Aureliano,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Virtus Entella,0–1,Cremonese,1179,Stadio Comunale Chiavari,Federico La Penna,Match Report,
Second Round,Sun,2017-08-06,20:30 (13:30),Brescia,1–0,Padova,5303,Stadio Mario Rigamonti,Juan Sacchi,Match Report,
Second Round,Sun,2017-08-06,20:45 (13:45),Cesena,2–1,Sambenedettese,3426,Stadio Dino Manuzzi,Antonio Di Martino,Match Report,
Second Round,Sun,2017-08-06,20:45 (13:45),Ternana,0–1,Trapani,4000,Stadio Libero Liberati,Eugenio Abbattista,Match Report,
Second Round,Sun,2017-08-06,20:45 (13:45),Perugia,2–1,Gubbio,3473,Stadio Renato Curi,Valerio Marini,Match Report,
Second Round,Sun,2017-08-06,21:15 (14:15),Bari,2–1,Parma,11347,Stadio Comunale San Nicola,Francesco Paolo Saia,Match Report,
Third Round,Fri,2017-08-11,21:15 (14:15),Torino,7–1,Trapani,10525,Stadio Olimpico di Torino,Fabrizio Pasqua,Match Report,
Third Round,Sat,2017-08-12,20:00 (13:00),Bologna,0–3,Cittadella,9184,Stadio Renato Dall'Ara,Rosario Abisso,Match Report,
Third Round,Sat,2017-08-12,20:30 (13:30),Pordenone,3–2,Lecce,1600,Stadio Ottavio Bottecchia,Daniele Chiffi,Match Report,
Third Round,Sat,2017-08-12,20:30 (13:30),Brescia,1–3,Pescara,5428,Stadio Mario Rigamonti,Daniele Orsato,Match Report,
Third Round,Sat,2017-08-12,20:30 (13:30),Benevento,0–4,Perugia,5869,Stadio Ciro Vigorito,Luigi Nasca,Match Report,
Third Round,Sat,2017-08-12,20:30 (13:30),SPAL,1–0,Renate,4000,Stadio Paolo Mazza,Giampaolo Calvarese,Match Report,
Third Round,Sat,2017-08-12,20:30 (13:30),Carpi,(4) 3–3 (3),Salernitana,940,Stadio Sandro Cabassi,Claudio Gavillucci,Match Report,Carpi won on penalty kicks following extra time
Third Round,Sat,2017-08-12,20:45 (13:45),Chievo,2–1,Ascoli,1000,Stadio Marc'Antonio Bentegodi,Maurizio Mariani,Match Report,
Third Round,Sat,2017-08-12,20:45 (13:45),Sampdoria,3–0,Foggia,10000,Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,
Third Round,Sat,2017-08-12,20:45 (13:45),Udinese,3–2,Frosinone,5729,Dacia Arena,Piero Giacomelli,Match Report,
Third Round,Sat,2017-08-12,20:45 (13:45),Sassuolo,2–0,Spezia,2500,Stadio Città del Tricolore,Luca Pairetto,Match Report,
