Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-07-28,20:30 (13:30),Bochum,0–1,St. Pauli,27350,Vonovia Ruhrstadion,Bastian Dankert,Match Report,
Regular Season,1,Sat,2017-07-29,13:00 (06:00),Ingolstadt 04,0–1,Union Berlin,10870,Audi-Sportpark,Sascha Stegemann,Match Report,
Regular Season,1,Sat,2017-07-29,15:30 (08:30),Arminia,2–1,Jahn R'burg,17333,SchücoArena,Sven Jablonski,Match Report,
Regular Season,1,Sat,2017-07-29,15:30 (08:30),Darmstadt 98,1–0,Greuther Fürth,16100,Jonathan-Heimes-Stadion am Böllenfalltor,Sören Storks,Match Report,
Regular Season,1,Sun,2017-07-30,13:30 (06:30),Nürnberg,3–0,Kaiserslautern,30569,Max-Morlock-Stadion,Markus Schmidt,Match Report,
Regular Season,1,Sun,2017-07-30,15:30 (08:30),Holstein Kiel,2–2,Sandhausen,9513,Holstein-Stadion,Benjamin Cortus,Match Report,
Regular Season,1,Sun,2017-07-30,15:30 (08:30),Dynamo Dres,1–0,MSV Duisburg,28520,DDV-Stadion,Felix Zwayer,Match Report,
Regular Season,1,Mon,2017-07-31,20:30 (13:30),Düsseldorf,2–2,Braunschweig,25492,Merkur Spielarena,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2017-08-04,18:30 (11:30),Union Berlin,4–3,Holstein Kiel,21242,Stadion An der Alten Försterei,Frank Willenborg,Match Report,
Regular Season,2,Fri,2017-08-04,18:30 (11:30),Sandhausen,1–0,Ingolstadt 04,5321,Hardtwaldstadion,Christof Günsch,Match Report,
Regular Season,2,Fri,2017-08-04,20:30 (13:30),Kaiserslautern,1–1,Darmstadt 98,30786,Fritz-Walter-Stadion,Robert Hartmann,Match Report,
Regular Season,2,Sat,2017-08-05,13:00 (06:00),MSV Duisburg,1–1,Bochum,22893,Schauinsland-Reisen-Arena,Martin Petersen,Match Report,
Regular Season,2,Sat,2017-08-05,15:30 (08:30),Braunschweig,2–0,Heidenheim,18550,Eintracht-Stadion,Daniel Siebert,Match Report,
Regular Season,2,Sun,2017-08-06,13:30 (06:30),Jahn R'burg,0–1,Nürnberg,15000,Continental Arena,Harm Osmers,Match Report,
Regular Season,2,Sun,2017-08-06,15:30 (08:30),Erzgebirge Aue,0–2,Düsseldorf,9510,Sparkassen-Erzgebirgsstadion,Felix Brych,Match Report,
Regular Season,2,Sun,2017-08-06,15:30 (08:30),Greuther Fürth,1–2,Arminia,9070,Sportpark Ronhof Thomas Sommer,Patrick Ittrich,Match Report,
Regular Season,2,Mon,2017-08-07,20:30 (13:30),St. Pauli,2–2,Dynamo Dres,28699,Millerntor-Stadion,Guido Winkmann,Match Report,
,,,,,,,,,,,,
Regular Season,1,Wed,2017-08-09,20:00 (13:00),Heidenheim,2–1,Erzgebirge Aue,10500,Voith-Arena,Florian Badstübner,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2017-08-18,18:30 (11:30),Darmstadt 98,3–0,St. Pauli,17400,Jonathan-Heimes-Stadion am Böllenfalltor,Aarne Aarnink,Match Report,
Regular Season,3,Fri,2017-08-18,18:30 (11:30),Braunschweig,1–1,Erzgebirge Aue,20300,Eintracht-Stadion,René Rohde,Match Report,
Regular Season,3,Sat,2017-08-19,13:00 (06:00),Dynamo Dres,0–4,Sandhausen,27253,DDV-Stadion,Timo Gerach,Match Report,
Regular Season,3,Sat,2017-08-19,13:00 (06:00),Heidenheim,1–2,MSV Duisburg,10200,Voith-Arena,Harm Osmers,Match Report,
Regular Season,3,Sat,2017-08-19,13:00 (06:00),Düsseldorf,2–0,Kaiserslautern,25227,Merkur Spielarena,Bastian Dankert,Match Report,
Regular Season,3,Sun,2017-08-20,13:30 (06:30),Ingolstadt 04,2–4,Jahn R'burg,13060,Audi-Sportpark,Marco Fritz,Match Report,
Regular Season,3,Sun,2017-08-20,13:30 (06:30),Holstein Kiel,3–1,Greuther Fürth,8535,Holstein-Stadion,Markus Schmidt,Match Report,
Regular Season,3,Sun,2017-08-20,13:30 (06:30),Nürnberg,2–2,Union Berlin,29813,Max-Morlock-Stadion,Robert Schröder,Match Report,
Regular Season,3,Mon,2017-08-21,20:30 (13:30),Arminia,2–0,Bochum,20663,SchücoArena,Daniel Schlager,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2017-08-25,18:30 (11:30),Greuther Fürth,0–1,Ingolstadt 04,8655,Sportpark Ronhof Thomas Sommer,Manuel Gräfe,Match Report,
Regular Season,4,Fri,2017-08-25,18:30 (11:30),MSV Duisburg,1–2,Darmstadt 98,16297,Schauinsland-Reisen-Arena,Matthias Jöllenbeck,Match Report,
Regular Season,4,Sat,2017-08-26,13:00 (06:00),St. Pauli,1–0,Heidenheim,29546,Millerntor-Stadion,Thorben Siewer,Match Report,
Regular Season,4,Sat,2017-08-26,13:00 (06:00),Erzgebirge Aue,3–1,Nürnberg,9000,Sparkassen-Erzgebirgsstadion,Lasse Koslowski,Match Report,
Regular Season,4,Sat,2017-08-26,13:00 (06:00),Jahn R'burg,1–2,Holstein Kiel,8600,Continental Arena,Patrick Alt,Match Report,
Regular Season,4,Sun,2017-08-27,13:30 (06:30),Union Berlin,1–1,Arminia,21034,Stadion An der Alten Försterei,Christian Dietz,Match Report,
Regular Season,4,Sun,2017-08-27,13:30 (06:30),Bochum,3–2,Dynamo Dres,14808,Vonovia Ruhrstadion,Bibiana Steinhaus,Match Report,
Regular Season,4,Sun,2017-08-27,13:30 (06:30),Sandhausen,1–2,Düsseldorf,6769,Hardtwaldstadion,Florian Heft,Match Report,
Regular Season,4,Mon,2017-08-28,20:30 (13:30),Kaiserslautern,1–1,Braunschweig,20100,Fritz-Walter-Stadion,Robert Kampka,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2017-09-08,18:30 (11:30),Dynamo Dres,1–1,Greuther Fürth,28016,DDV-Stadion,Martin Thomsen,Match Report,
Regular Season,5,Fri,2017-09-08,18:30 (11:30),Heidenheim,1–3,Jahn R'burg,10500,Voith-Arena,Sven Waschitzki,Match Report,
Regular Season,5,Sat,2017-09-09,13:00 (06:00),Arminia,0–4,MSV Duisburg,18537,SchücoArena,Robert Kempter,Match Report,
Regular Season,5,Sat,2017-09-09,13:00 (06:00),Ingolstadt 04,1–2,Erzgebirge Aue,10176,Audi-Sportpark,Tobias Reichel,Match Report,
Regular Season,5,Sat,2017-09-09,13:00 (06:00),Holstein Kiel,2–1,Kaiserslautern,10318,Holstein-Stadion,Alexander Sather,Match Report,
Regular Season,5,Sun,2017-09-10,13:30 (06:30),Braunschweig,1–1,Sandhausen,19885,Eintracht-Stadion,Sven Jablonski,Match Report,
Regular Season,5,Sun,2017-09-10,13:30 (06:30),Darmstadt 98,1–2,Bochum,16000,Jonathan-Heimes-Stadion am Böllenfalltor,Benedikt Kempkes,Match Report,
Regular Season,5,Sun,2017-09-10,13:30 (06:30),Düsseldorf,3–2,Union Berlin,26341,Merkur Spielarena,Aarne Aarnink,Match Report,
Regular Season,5,Mon,2017-09-11,20:30 (13:30),Nürnberg,0–1,St. Pauli,27375,Max-Morlock-Stadion,Daniel Schlager,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2017-09-15,18:30 (11:30),Union Berlin,1–1,Braunschweig,21114,Stadion An der Alten Försterei,Sören Storks,Match Report,
Regular Season,6,Fri,2017-09-15,18:30 (11:30),Erzgebirge Aue,0–3,Holstein Kiel,9000,Sparkassen-Erzgebirgsstadion,Tobias Stieler,Match Report,
Regular Season,6,Sat,2017-09-16,13:00 (06:00),MSV Duisburg,1–6,Nürnberg,17788,Schauinsland-Reisen-Arena,Timo Gerach,Match Report,
Regular Season,6,Sat,2017-09-16,13:00 (06:00),Sandhausen,1–0,Kaiserslautern,8103,Hardtwaldstadion,René Rohde,Match Report,
Regular Season,6,Sat,2017-09-16,13:00 (06:00),St. Pauli,0–4,Ingolstadt 04,29380,Millerntor-Stadion,Robert Schröder,Match Report,
Regular Season,6,Sun,2017-09-17,13:30 (06:30),Greuther Fürth,3–1,Düsseldorf,8535,Sportpark Ronhof Thomas Sommer,Martin Petersen,Match Report,
Regular Season,6,Sun,2017-09-17,13:30 (06:30),Darmstadt 98,4–3,Arminia,15700,Jonathan-Heimes-Stadion am Böllenfalltor,Florian Badstübner,Match Report,
Regular Season,6,Sun,2017-09-17,13:30 (06:30),Bochum,1–2,Heidenheim,13236,Vonovia Ruhrstadion,Lasse Koslowski,Match Report,
Regular Season,6,Sun,2017-09-17,13:30 (06:30),Jahn R'burg,0–2,Dynamo Dres,14831,Continental Arena,Christof Günsch,Match Report,
,,,,,,,,,,,,
Regular Season,7,Tue,2017-09-19,18:30 (11:30),Kaiserslautern,0–2,Erzgebirge Aue,16613,Fritz-Walter-Stadion,Martin Thomsen,Match Report,
Regular Season,7,Tue,2017-09-19,18:30 (11:30),Sandhausen,1–0,Union Berlin,4893,Hardtwaldstadion,Alexander Sather,Match Report,
Regular Season,7,Tue,2017-09-19,18:30 (11:30),Ingolstadt 04,2–2,MSV Duisburg,8199,Audi-Sportpark,Frank Willenborg,Match Report,
Regular Season,7,Tue,2017-09-19,18:30 (11:30),Holstein Kiel,0–1,St. Pauli,11935,Holstein-Stadion,Harm Osmers,Match Report,
Regular Season,7,Wed,2017-09-20,18:30 (11:30),Dynamo Dres,0–2,Arminia,26864,DDV-Stadion,Benedikt Kempkes,Match Report,
Regular Season,7,Wed,2017-09-20,18:30 (11:30),Düsseldorf,1–0,Jahn R'burg,19380,Merkur Spielarena,Robert Kempter,Match Report,
Regular Season,7,Wed,2017-09-20,18:30 (11:30),Braunschweig,3–0,Greuther Fürth,18785,Eintracht-Stadion,Matthias Jöllenbeck,Match Report,
Regular Season,7,Wed,2017-09-20,18:30 (11:30),Heidenheim,2–2,Darmstadt 98,10500,Voith-Arena,Patrick Alt,Match Report,
Regular Season,7,Thu,2017-09-21,20:30 (13:30),Nürnberg,3–1,Bochum,21872,Max-Morlock-Stadion,Florian Heft,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2017-09-22,18:30 (11:30),Erzgebirge Aue,1–0,Sandhausen,6800,Sparkassen-Erzgebirgsstadion,Thorben Siewer,Match Report,
Regular Season,8,Fri,2017-09-22,18:30 (11:30),MSV Duisburg,1–3,Holstein Kiel,13578,Schauinsland-Reisen-Arena,Benjamin Cortus,Match Report,
Regular Season,8,Sat,2017-09-23,13:00 (06:00),Arminia,1–1,Heidenheim,15184,SchücoArena,Aarne Aarnink,Match Report,
Regular Season,8,Sat,2017-09-23,13:00 (06:00),Jahn R'burg,2–1,Braunschweig,8432,Continental Arena,Tobias Reichel,Match Report,
Regular Season,8,Sat,2017-09-23,13:00 (06:00),St. Pauli,1–2,Düsseldorf,29546,Millerntor-Stadion,Felix Brych,Match Report,
Regular Season,8,Sun,2017-09-24,13:30 (06:30),Darmstadt 98,3–3,Dynamo Dres,11251,Jonathan-Heimes-Stadion am Böllenfalltor,Sven Waschitzki,Match Report,
Regular Season,8,Sun,2017-09-24,13:30 (06:30),Bochum,2–0,Ingolstadt 04,11251,Vonovia Ruhrstadion,Daniel Schlager,Match Report,
Regular Season,8,Sun,2017-09-24,13:30 (06:30),Greuther Fürth,1–3,Nürnberg,13550,Sportpark Ronhof Thomas Sommer,Felix Zwayer,Match Report,
Regular Season,8,Mon,2017-09-25,20:30 (13:30),Union Berlin,5–0,Kaiserslautern,20592,Stadion An der Alten Försterei,Markus Schmidt,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2017-09-29,18:30 (11:30),Ingolstadt 04,3–0,Darmstadt 98,8746,Audi-Sportpark,Timo Gerach,Match Report,
Regular Season,9,Fri,2017-09-29,18:30 (11:30),Kaiserslautern,3–0,Greuther Fürth,19179,Fritz-Walter-Stadion,Sören Storks,Match Report,
Regular Season,9,Sat,2017-09-30,13:00 (06:00),Nürnberg,1–2,Arminia,26186,Max-Morlock-Stadion,Matthias Jöllenbeck,Match Report,
Regular Season,9,Sat,2017-09-30,13:00 (06:00),Erzgebirge Aue,1–2,Union Berlin,9450,Sparkassen-Erzgebirgsstadion,Benjamin Cortus,Match Report,
Regular Season,9,Sat,2017-09-30,13:00 (06:00),Holstein Kiel,3–0,Bochum,10201,Holstein-Stadion,Patrick Alt,Match Report,
Regular Season,9,Sun,2017-10-01,13:30 (06:30),Heidenheim,0–2,Dynamo Dres,12100,Voith-Arena,Florian Badstübner,Match Report,
Regular Season,9,Sun,2017-10-01,13:30 (06:30),Sandhausen,2–0,Jahn R'burg,5502,Hardtwaldstadion,Robert Kampka,Match Report,
Regular Season,9,Sun,2017-10-01,13:30 (06:30),Braunschweig,0–2,St. Pauli,22695,Eintracht-Stadion,Manuel Gräfe,Match Report,
Regular Season,9,Mon,2017-10-02,20:30 (13:30),Düsseldorf,3–1,MSV Duisburg,41764,Merkur Spielarena,Robert Schröder,Match Report,
,,,,,,,,,,,,
Regular Season,10,Fri,2017-10-13,18:30 (11:30),St. Pauli,1–1,Kaiserslautern,29546,Millerntor-Stadion,Sascha Stegemann,Match Report,
Regular Season,10,Fri,2017-10-13,18:30 (11:30),MSV Duisburg,0–0,Braunschweig,13855,Schauinsland-Reisen-Arena,Lasse Koslowski,Match Report,
Regular Season,10,Sat,2017-10-14,13:00 (06:00),Dynamo Dres,2–2,Ingolstadt 04,28484,DDV-Stadion,Sven Jablonski,Match Report,
Regular Season,10,Sat,2017-10-14,13:00 (06:00),Bochum,2–0,Sandhausen,13548,Vonovia Ruhrstadion,Christian Dietz,Match Report,
Regular Season,10,Sat,2017-10-14,13:00 (06:00),Arminia,0–2,Düsseldorf,21554,SchücoArena,Tobias Stieler,Match Report,
Regular Season,10,Sun,2017-10-15,13:30 (06:30),Heidenheim,3–5,Holstein Kiel,10300,Voith-Arena,Felix Zwayer,Match Report,
Regular Season,10,Sun,2017-10-15,13:30 (06:30),Greuther Fürth,2–1,Erzgebirge Aue,9510,Sportpark Ronhof Thomas Sommer,René Rohde,Match Report,
Regular Season,10,Sun,2017-10-15,13:30 (06:30),Jahn R'burg,0–2,Union Berlin,9791,Continental Arena,Benedikt Kempkes,Match Report,
Regular Season,10,Mon,2017-10-16,20:30 (13:30),Darmstadt 98,3–4,Nürnberg,17100,Jonathan-Heimes-Stadion am Böllenfalltor,Bibiana Steinhaus,Match Report,
,,,,,,,,,,,,
