Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2016-08-26,20:30 (13:30),Bayern Munich,6–0,Werder Bremen,75000,Allianz Arena,Christian Dingert,Match Report,
Regular Season,1,Sat,2016-08-27,15:30 (08:30),Köln,2–0,Darmstadt 98,50000,RheinEnergieSTADION,Patrick Ittrich,Match Report,
Regular Season,1,Sat,2016-08-27,15:30 (08:30),Augsburg,0–2,Wolfsburg,26172,WWK Arena,Sascha Stegemann,Match Report,
Regular Season,1,Sat,2016-08-27,15:30 (08:30),Eint Frankfurt,1–0,Schalke 04,47000,Commerzbank-Arena,Wolfgang Stark,Match Report,
Regular Season,1,Sat,2016-08-27,15:30 (08:30),Hamburger SV,1–1,Ingolstadt 04,50107,Volksparkstadion,Marco Fritz,Match Report,
Regular Season,1,Sat,2016-08-27,15:30 (08:30),Dortmund,2–1,Mainz 05,81360,Signal Iduna Park,Robert Hartmann,Match Report,
Regular Season,1,Sat,2016-08-27,18:30 (11:30),M'gladbach,2–1,Bayer,52183,Stadion im Borussia-Park,Felix Brych,Match Report,
Regular Season,1,Sun,2016-08-28,15:30 (08:30),Hertha BSC,2–1,Freiburg,41648,Olympiastadion Berlin,Benjamin Brand,Match Report,
Regular Season,1,Sun,2016-08-28,17:30 (10:30),Hoffenheim,2–2,RB Leipzig,24188,Wirsol Rhein-Neckar-Arena,Tobias Stieler,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2016-09-09,20:30 (13:30),Schalke 04,0–2,Bayern Munich,62271,Veltins-Arena,Manuel Gräfe,Match Report,
Regular Season,2,Sat,2016-09-10,15:30 (08:30),Darmstadt 98,1–0,Eint Frankfurt,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,Match Report,
Regular Season,2,Sat,2016-09-10,15:30 (08:30),Wolfsburg,0–0,Köln,29067,Volkswagen Arena,Guido Winkmann,Match Report,
Regular Season,2,Sat,2016-09-10,15:30 (08:30),Bayer,3–1,Hamburger SV,30210,BayArena,Tobias Welz,Match Report,
Regular Season,2,Sat,2016-09-10,15:30 (08:30),Ingolstadt 04,0–2,Hertha BSC,14100,Audi-Sportpark,Jochen Drees,Match Report,
Regular Season,2,Sat,2016-09-10,15:30 (08:30),Freiburg,3–1,M'gladbach,24000,Schwarzwald-Stadion,Harm Osmers,Match Report,
Regular Season,2,Sat,2016-09-10,18:30 (11:30),RB Leipzig,1–0,Dortmund,42558,Red Bull Arena,Wolfgang Stark,Match Report,
Regular Season,2,Sun,2016-09-11,15:30 (08:30),Werder Bremen,1–2,Augsburg,39430,Weserstadion,Daniel Siebert,Match Report,
Regular Season,2,Sun,2016-09-11,17:30 (10:30),Mainz 05,4–4,Hoffenheim,27408,Opel Arena,Markus Schmidt,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2016-09-16,20:30 (13:30),Köln,3–0,Freiburg,47200,RheinEnergieSTADION,Felix Zwayer,Match Report,
Regular Season,3,Sat,2016-09-17,15:30 (08:30),Hoffenheim,0–0,Wolfsburg,23295,Wirsol Rhein-Neckar-Arena,Günter Perl,Match Report,
Regular Season,3,Sat,2016-09-17,15:30 (08:30),Hamburger SV,0–4,RB Leipzig,52998,Volksparkstadion,Robert Kampka,Match Report,
Regular Season,3,Sat,2016-09-17,15:30 (08:30),Eint Frankfurt,2–1,Bayer,43000,Commerzbank-Arena,Christian Dingert,Match Report,
Regular Season,3,Sat,2016-09-17,15:30 (08:30),Dortmund,6–0,Darmstadt 98,81360,Signal Iduna Park,Benjamin Brand,Match Report,
Regular Season,3,Sat,2016-09-17,15:30 (08:30),Bayern Munich,3–1,Ingolstadt 04,75000,Allianz Arena,Patrick Ittrich,Match Report,
Regular Season,3,Sat,2016-09-17,18:30 (11:30),M'gladbach,4–1,Werder Bremen,54014,Stadion im Borussia-Park,Tobias Stieler,Match Report,
Regular Season,3,Sun,2016-09-18,15:30 (08:30),Augsburg,1–3,Mainz 05,26115,WWK Arena,Bastian Dankert,Match Report,
Regular Season,3,Sun,2016-09-18,17:30 (10:30),Hertha BSC,2–0,Schalke 04,49251,Olympiastadion Berlin,Deniz Aytekin,Match Report,
,,,,,,,,,,,,
Regular Season,4,Tue,2016-09-20,20:00 (13:00),Ingolstadt 04,0–2,Eint Frankfurt,14259,Audi-Sportpark,Sascha Stegemann,Match Report,
Regular Season,4,Tue,2016-09-20,20:00 (13:00),Darmstadt 98,1–1,Hoffenheim,15800,Jonathan-Heimes-Stadion am Böllenfalltor,Frank Willenborg,Match Report,
Regular Season,4,Tue,2016-09-20,20:00 (13:00),Freiburg,1–0,Hamburger SV,24000,Schwarzwald-Stadion,Markus Schmidt,Match Report,
Regular Season,4,Tue,2016-09-20,20:00 (13:00),Wolfsburg,1–5,Dortmund,30000,Volkswagen Arena,Daniel Siebert,Match Report,
Regular Season,4,Wed,2016-09-21,20:00 (13:00),Werder Bremen,1–2,Mainz 05,37108,Weserstadion,Wolfgang Stark,Match Report,
Regular Season,4,Wed,2016-09-21,20:00 (13:00),Bayern Munich,3–0,Hertha BSC,75000,Allianz Arena,Marco Fritz,Match Report,
Regular Season,4,Wed,2016-09-21,20:00 (13:00),Bayer,0–0,Augsburg,24097,BayArena,Jochen Drees,Match Report,
Regular Season,4,Wed,2016-09-21,20:00 (13:00),RB Leipzig,1–1,M'gladbach,42558,Red Bull Arena,Manuel Gräfe,Match Report,
Regular Season,4,Wed,2016-09-21,20:00 (13:00),Schalke 04,1–3,Köln,60876,Veltins-Arena,Robert Hartmann,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2016-09-23,20:30 (13:30),Dortmund,3–1,Freiburg,80800,Signal Iduna Park,Christian Dingert,Match Report,
Regular Season,5,Sat,2016-09-24,15:30 (08:30),Augsburg,1–0,Darmstadt 98,28113,WWK Arena,Guido Winkmann,Match Report,
Regular Season,5,Sat,2016-09-24,15:30 (08:30),Mainz 05,2–3,Bayer,25274,Opel Arena,Günter Perl,Match Report,
Regular Season,5,Sat,2016-09-24,15:30 (08:30),Hamburger SV,0–1,Bayern Munich,57000,Volksparkstadion,Felix Zwayer,Match Report,
Regular Season,5,Sat,2016-09-24,15:30 (08:30),M'gladbach,2–0,Ingolstadt 04,50112,Stadion im Borussia-Park,Bastian Dankert,Match Report,
Regular Season,5,Sat,2016-09-24,15:30 (08:30),Eint Frankfurt,3–3,Hertha BSC,45000,Commerzbank-Arena,Felix Brych,Match Report,
Regular Season,5,Sat,2016-09-24,18:30 (11:30),Werder Bremen,2–1,Wolfsburg,40153,Weserstadion,Deniz Aytekin,Match Report,
Regular Season,5,Sun,2016-09-25,15:30 (08:30),Hoffenheim,2–1,Schalke 04,29288,Wirsol Rhein-Neckar-Arena,Tobias Welz,Match Report,
Regular Season,5,Sun,2016-09-25,17:45 (10:45),Köln,1–1,RB Leipzig,48500,RheinEnergieSTADION,Benjamin Cortus,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2016-09-30,20:30 (13:30),RB Leipzig,2–1,Augsburg,35721,Red Bull Arena,Harm Osmers,Match Report,
Regular Season,6,Sat,2016-10-01,15:30 (08:30),Hertha BSC,2–0,Hamburger SV,57656,Olympiastadion Berlin,Guido Winkmann,Match Report,
Regular Season,6,Sat,2016-10-01,15:30 (08:30),Freiburg,1–0,Eint Frankfurt,24000,Schwarzwald-Stadion,Marco Fritz,Match Report,
Regular Season,6,Sat,2016-10-01,15:30 (08:30),Bayern Munich,1–1,Köln,75000,Allianz Arena,Daniel Siebert,Match Report,
Regular Season,6,Sat,2016-10-01,15:30 (08:30),Ingolstadt 04,1–2,Hoffenheim,13844,Audi-Sportpark,Robert Kampka,Match Report,
Regular Season,6,Sat,2016-10-01,15:30 (08:30),Darmstadt 98,2–2,Werder Bremen,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Jochen Drees,Match Report,
Regular Season,6,Sat,2016-10-01,18:30 (11:30),Bayer,2–0,Dortmund,30210,BayArena,Manuel Gräfe,Match Report,
Regular Season,6,Sun,2016-10-02,15:30 (08:30),Wolfsburg,0–0,Mainz 05,25876,Volkswagen Arena,Benjamin Brand,Match Report,
Regular Season,6,Sun,2016-10-02,17:30 (10:30),Schalke 04,4–0,M'gladbach,62271,Veltins-Arena,Sascha Stegemann,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2016-10-14,20:30 (13:30),Dortmund,1–1,Hertha BSC,80800,Signal Iduna Park,Patrick Ittrich,Match Report,
Regular Season,7,Sat,2016-10-15,15:30 (08:30),M'gladbach,0–0,Hamburger SV,53636,Stadion im Borussia-Park,Wolfgang Stark,Match Report,
Regular Season,7,Sat,2016-10-15,15:30 (08:30),Augsburg,1–1,Schalke 04,30660,WWK Arena,Tobias Stieler,Match Report,
Regular Season,7,Sat,2016-10-15,15:30 (08:30),Köln,2–1,Ingolstadt 04,49200,RheinEnergieSTADION,Tobias Welz,Match Report,
Regular Season,7,Sat,2016-10-15,15:30 (08:30),Eint Frankfurt,2–2,Bayern Munich,49500,Commerzbank-Arena,Bastian Dankert,Match Report,
Regular Season,7,Sat,2016-10-15,15:30 (08:30),Hoffenheim,2–1,Freiburg,28540,Wirsol Rhein-Neckar-Arena,Deniz Aytekin,Match Report,
Regular Season,7,Sat,2016-10-15,18:30 (11:30),Werder Bremen,2–1,Bayer,41000,Weserstadion,Marco Fritz,Match Report,
