Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2014-08-15,19:00 (12:00),Waldalgesheim,0–6,Bayer,7524,Stadion am Bruchweg,Benjamin Brand,Match Report,
First Round,Fri,2014-08-15,19:00 (12:00),Chemnitzer FC,(5) 5–5 (4),Mainz 05,10287,Stadion Chemnitz,Patrick Ittrich,Match Report,Chemnitzer FC won on penalty kicks following extra time
First Round,Fri,2014-08-15,20:00 (13:00),MSV Duisburg,1–0,Nürnberg,18108,Schauinsland-Reisen-Arena,Christian Dingert,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Astoria,1–3,Hannover 96,3400,FC-Astoria Stadion,Martin Petersen,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),FT Braunschw,0–4,Köln,9067,Eintracht-Stadion,Christian Bandurski,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Homburg,1–3,M'gladbach,17000,Waldstadion Homburg,Benjamin Cortus,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Rathenow,1–3,St. Pauli,4500,Stadion Vogelgesang,Sven Jablonski,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Bremer SV,0–1,Braunschweig,2901,Weserstadion Platz 11,Martin Thomsen,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Bochum,2–0,Stuttgart,22694,Vonovia Ruhrstadion,Wolfgang Stark,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Viktoria Köln,2–4,Hertha BSC,5239,Sportpark Höhenberg,Aarne Aarnink,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),Waldkirch,0–3,Greuther Fürth,3820,Kaiserstuhlstadion,Malte Dittrich,Match Report,
First Round,Sat,2014-08-16,15:30 (08:30),S'gart Kickers,1–4,Dortmund,37000,Mercedes-Benz Arena,Peter Sippel,Match Report,
First Round,Sat,2014-08-16,18:00 (11:00),Wehen,(3) 0–0 (5),Kaiserslautern,9496,BRITA-Arena,Sascha Stegemann,Match Report,Kaiserslautern won on penalty kicks following extra time
First Round,Sat,2014-08-16,20:30 (13:30),Viktoria 1889,0–2,Eint Frankfurt,10514,Friedrich-Ludwig-Jahn-Sportpark,Thorsten Schriever,Match Report,
First Round,Sat,2014-08-16,20:30 (13:30),Siegen,(4) 3–3 (5),FSV Frankfurt,4226,Leimbachstadion,René Rohde,Match Report,FSV Frankfurt won on penalty kicks following extra time
First Round,Sun,2014-08-17,14:30 (07:30),Paloma,0–9,Hoffenheim,4750,Stadion Hoheluft,Sören Storks,Match Report,
First Round,Sun,2014-08-17,14:30 (07:30),Holstein Kiel,1–2,1860 Munich,8408,Holstein-Stadion,Felix Zwayer,Match Report,
First Round,Sun,2014-08-17,14:30 (07:30),Illertissen,2–3,Werder Bremen,10505,Donaustadion,Timo Gerach,Match Report,Required Extra Time
First Round,Sun,2014-08-17,14:30 (07:30),Carl Zeiss Jena,0–1,Erzgebirge Aue,8745,Ernst-Abbe-Sportfeld,Frank Willenborg,Match Report,
First Round,Sun,2014-08-17,14:30 (07:30),SW Rehden,(3) 1–1 (4),Aalen,600,TimePartner Arena,Patrick Alt,Match Report,Aalen won on penalty kicks following extra time
First Round,Sun,2014-08-17,16:00 (09:00),Trier,0–2,Freiburg,5292,Moselstadion,Robert Kampka,Match Report,
First Round,Sun,2014-08-17,16:00 (09:00),Neubrandenburg,1–3,Karlsruher,3000,Friedrich-Ludwig-Jahn-Stadion,Florian Heft,Match Report,
First Round,Sun,2014-08-17,16:00 (09:00),Preußen Münster,1–4,Bayern Munich,16797,Preußenstadion,Guido Winkmann,Match Report,
First Round,Sun,2014-08-17,16:00 (09:00),W'burg Kickers,3–2,Düsseldorf,10500,flyeralarm Arena,Marcel Göpferich,Match Report,Required Extra Time
First Round,Sun,2014-08-17,16:00 (09:00),Arminia,4–1,Sandhausen,7305,SchücoArena,Christian Dietz,Match Report,
First Round,Sun,2014-08-17,18:30 (11:30),Magdeburg,1–0,Augsburg,17854,MDCC-Arena,Robert Kempter,Match Report,
First Round,Sun,2014-08-17,18:30 (11:30),RB Leipzig,2–1,Paderborn 07,24348,Red Bull Arena,Harm Osmers,Match Report,Required Extra Time
First Round,Sun,2014-08-17,20:30 (13:30),Darmstadt 98,(4) 0–0 (5),Wolfsburg,13900,Jonathan-Heimes-Stadion am Böllenfalltor,Peter Gagelmann,Match Report,Wolfsburg won on penalty kicks following extra time
First Round,Mon,2014-08-18,18:30 (11:30),Energie Cottbus,(1) 2–2 (4),Hamburger SV,16184,Stadion der Freundschaft,Thorsten Kinhöfer,Match Report,Hamburger SV won on penalty kicks following extra time
First Round,Mon,2014-08-18,18:30 (11:30),Offenbacher K,(4) 0–0 (2),Ingolstadt 04,7386,Sparda-Bank-Hessen-Stadion,Florian Meyer,Match Report,Offenbacher K won on penalty kicks following extra time
First Round,Mon,2014-08-18,18:30 (11:30),Heidenheim,2–1,Union Berlin,7500,Voith-Arena,Robert Hartmann,Match Report,
First Round,Mon,2014-08-18,20:30 (13:30),Dynamo Dres,2–1,Schalke 04,29590,DDV-Stadion,Deniz Aytekin,Match Report,
,,,,,,,,,,,
Second Round,Tue,2014-10-28,19:00 (13:00),Arminia,(4) 0–0 (2),Hertha BSC,23098,SchücoArena,Robert Hartmann,Match Report,Arminia won on penalty kicks following extra time
Second Round,Tue,2014-10-28,19:00 (13:00),Offenbacher K,1–0,Karlsruher,16106,Sparda-Bank-Hessen-Stadion,Bibiana Steinhaus,Match Report,
Second Round,Tue,2014-10-28,19:00 (13:00),Chemnitzer FC,0–2,Werder Bremen,10161,Stadion Chemnitz,Markus Schmidt,Match Report,
Second Round,Tue,2014-10-28,19:00 (13:00),Aalen,2–0,Hannover 96,5448,Scholz Arena,Wolfgang Stark,Match Report,
Second Round,Tue,2014-10-28,20:30 (14:30),MSV Duisburg,(1) 0–0 (4),Köln,30600,Schauinsland-Reisen-Arena,Peter Sippel,Match Report,Köln won on penalty kicks following extra time
Second Round,Tue,2014-10-28,20:30 (14:30),St. Pauli,0–3,Dortmund,29063,Millerntor-Stadion,Günter Perl,Match Report,
Second Round,Tue,2014-10-28,20:30 (14:30),Kaiserslautern,2–0,Greuther Fürth,23111,Fritz-Walter-Stadion,Bastian Dankert,Match Report,
Second Round,Tue,2014-10-28,20:30 (14:30),Dynamo Dres,2–1,Bochum,28053,DDV-Stadion,Markus Wingenbach,Match Report,Required Extra Time
Second Round,Wed,2014-10-29,19:00 (13:00),1860 Munich,2–5,Freiburg,17000,Allianz Arena,Sascha Stegemann,Match Report,
Second Round,Wed,2014-10-29,19:00 (13:00),RB Leipzig,3–1,Erzgebirge Aue,29000,Red Bull Arena,Tobias Stieler,Match Report,Required Extra Time
Second Round,Wed,2014-10-29,19:00 (13:00),W'burg Kickers,0–1,Braunschweig,12000,flyeralarm Arena,Robert Kampka,Match Report,
Second Round,Wed,2014-10-29,19:00 (13:00),Magdeburg,(4) 2–2 (5),Bayer,24000,MDCC-Arena,Daniel Siebert,Match Report,Bayer won on penalty kicks following extra time
Second Round,Wed,2014-10-29,20:30 (14:30),Hoffenheim,5–1,FSV Frankfurt,11441,PreZero Arena,Jochen Drees,Match Report,
Second Round,Wed,2014-10-29,20:30 (14:30),Wolfsburg,4–1,Heidenheim,7608,Volkswagen Arena,Thorsten Kinhöfer,Match Report,
Second Round,Wed,2014-10-29,20:30 (14:30),Eint Frankfurt,1–2,M'gladbach,46500,Commerzbank-Arena,Knut Kircher,Match Report,
Second Round,Wed,2014-10-29,20:30 (14:30),Hamburger SV,1–3,Bayern Munich,57000,Volksparkstadion,Marco Fritz,Match Report,
,,,,,,,,,,,
Round of 16,Tue,2015-03-03,19:00 (12:00),Aalen,0–2,Hoffenheim,8252,Scholz Arena,Sascha Stegemann,Match Report,
Round of 16,Tue,2015-03-03,19:00 (12:00),Bayer,2–0,Kaiserslautern,26601,BayArena,Guido Winkmann,Match Report,Required Extra Time
Round of 16,Tue,2015-03-03,20:30 (13:30),Dynamo Dres,0–2,Dortmund,30503,DDV-Stadion,Tobias Welz,Match Report,
Round of 16,Tue,2015-03-03,20:30 (13:30),Freiburg,2–1,Köln,19000,Schwarzwald-Stadion,Manuel Gräfe,Match Report,
Round of 16,Wed,2015-03-04,19:00 (12:00),Arminia,3–1,Werder Bremen,26137,SchücoArena,Bastian Dankert,Match Report,
Round of 16,Wed,2015-03-04,19:00 (12:00),RB Leipzig,0–2,Wolfsburg,43348,Red Bull Arena,Thorsten Kinhöfer,Match Report,
Round of 16,Wed,2015-03-04,20:30 (13:30),Offenbacher K,0–2,M'gladbach,20500,Sparda-Bank-Hessen-Stadion,Christian Dingert,Match Report,
Round of 16,Wed,2015-03-04,20:30 (13:30),Bayern Munich,2–0,Braunschweig,75000,Allianz Arena,Jochen Drees,Match Report,
,,,,,,,,,,,
Quarter-finals,Tue,2015-04-07,19:00 (12:00),Wolfsburg,1–0,Freiburg,15237,Volkswagen Arena,Tobias Stieler,Match Report,
Quarter-finals,Tue,2015-04-07,20:30 (13:30),Dortmund,3–2,Hoffenheim,80667,Signal Iduna Park,Deniz Aytekin,Match Report,Required Extra Time
Quarter-finals,Wed,2015-04-08,19:00 (12:00),Arminia,(5) 1–1 (4),M'gladbach,26137,SchücoArena,Wolfgang Stark,Match Report,Arminia won on penalty kicks following extra time
Quarter-finals,Wed,2015-04-08,20:30 (13:30),Bayer,(3) 0–0 (5),Bayern Munich,30210,BayArena,Felix Zwayer,Match Report,Bayern Munich won on penalty kicks following extra time
,,,,,,,,,,,
Semi-finals,Tue,2015-04-28,20:30 (13:30),Bayern Munich,(0) 1–1 (2),Dortmund,75000,Allianz Arena,Peter Gagelmann,Match Report,Dortmund won on penalty kicks following extra time
Semi-finals,Wed,2015-04-29,20:30 (13:30),Arminia,0–4,Wolfsburg,26137,SchücoArena,Tobias Welz,Match Report,
,,,,,,,,,,,
Final,Sat,2015-05-30,20:00 (13:00),Dortmund,1–3,Wolfsburg,75815,Olympiastadion Berlin,Felix Brych,Match Report,
