Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2014-08-22,20:30 (13:30),Bayern Munich,2–1,Wolfsburg,71000,Allianz Arena,Felix Zwayer,Match Report,
Regular Season,1,Sat,2014-08-23,15:30 (08:30),Hoffenheim,2–0,Augsburg,23792,PreZero Arena,Tobias Stieler,Match Report,
Regular Season,1,Sat,2014-08-23,15:30 (08:30),Hannover 96,2–1,Schalke 04,49000,HDI-Arena,Peter Gagelmann,Match Report,
Regular Season,1,Sat,2014-08-23,15:30 (08:30),Köln,0–0,Hamburger SV,50000,RheinEnergieSTADION,Wolfgang Stark,Match Report,
Regular Season,1,Sat,2014-08-23,15:30 (08:30),Eint Frankfurt,1–0,Freiburg,46200,Commerzbank-Arena,Florian Meyer,Match Report,
Regular Season,1,Sat,2014-08-23,15:30 (08:30),Hertha BSC,2–2,Werder Bremen,56972,Olympiastadion Berlin,Thorsten Kinhöfer,Match Report,
Regular Season,1,Sat,2014-08-23,18:30 (11:30),Dortmund,0–2,Bayer,80667,Signal Iduna Park,Deniz Aytekin,Match Report,
Regular Season,1,Sun,2014-08-24,15:30 (08:30),Paderborn 07,2–2,Mainz 05,14824,Benteler-Arena,Peter Sippel,Match Report,
Regular Season,1,Sun,2014-08-24,17:30 (10:30),M'gladbach,1–1,Stuttgart,50203,Stadion im Borussia-Park,Christian Dingert,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2014-08-29,20:30 (13:30),Augsburg,2–3,Dortmund,30660,WWK Arena,Knut Kircher,Match Report,
Regular Season,2,Sat,2014-08-30,15:30 (08:30),Werder Bremen,1–1,Hoffenheim,38900,Weserstadion,Robert Hartmann,Match Report,
Regular Season,2,Sat,2014-08-30,15:30 (08:30),Stuttgart,0–2,Köln,55000,Mercedes-Benz Arena,Felix Brych,Match Report,
Regular Season,2,Sat,2014-08-30,15:30 (08:30),Wolfsburg,2–2,Eint Frankfurt,27528,Volkswagen Arena,Günter Perl,Match Report,
Regular Season,2,Sat,2014-08-30,15:30 (08:30),Hamburger SV,0–3,Paderborn 07,54452,Volksparkstadion,Bastian Dankert,Match Report,
Regular Season,2,Sat,2014-08-30,15:30 (08:30),Bayer,4–2,Hertha BSC,27819,BayArena,Tobias Stieler,Match Report,
Regular Season,2,Sat,2014-08-30,18:30 (11:30),Schalke 04,1–1,Bayern Munich,61973,Veltins-Arena,Marco Fritz,Match Report,
Regular Season,2,Sun,2014-08-31,15:30 (08:30),Mainz 05,0–0,Hannover 96,27647,Opel Arena,Sascha Stegemann,Match Report,
Regular Season,2,Sun,2014-08-31,17:30 (10:30),Freiburg,0–0,M'gladbach,24000,Schwarzwald-Stadion,Peter Gagelmann,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2014-09-12,20:30 (13:30),Bayer,3–3,Werder Bremen,30210,BayArena,Christian Dingert,Match Report,
Regular Season,3,Sat,2014-09-13,15:30 (08:30),Paderborn 07,0–0,Köln,14993,Benteler-Arena,Peter Gagelmann,Match Report,
Regular Season,3,Sat,2014-09-13,15:30 (08:30),Hoffenheim,1–1,Wolfsburg,23813,PreZero Arena,Wolfgang Stark,Match Report,
Regular Season,3,Sat,2014-09-13,15:30 (08:30),Bayern Munich,2–0,Stuttgart,71000,Allianz Arena,Thorsten Kinhöfer,Match Report,
Regular Season,3,Sat,2014-09-13,15:30 (08:30),Dortmund,3–1,Freiburg,80200,Signal Iduna Park,Bastian Dankert,Match Report,
Regular Season,3,Sat,2014-09-13,15:30 (08:30),Hertha BSC,1–3,Mainz 05,42069,Olympiastadion Berlin,Guido Winkmann,Match Report,
Regular Season,3,Sat,2014-09-13,18:30 (11:30),M'gladbach,4–1,Schalke 04,54010,Stadion im Borussia-Park,Felix Brych,Match Report,
Regular Season,3,Sun,2014-09-14,15:30 (08:30),Eint Frankfurt,0–1,Augsburg,43500,Commerzbank-Arena,Manuel Gräfe,Match Report,
Regular Season,3,Sun,2014-09-14,17:30 (10:30),Hannover 96,2–0,Hamburger SV,49000,HDI-Arena,Markus Schmidt,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2014-09-19,20:30 (13:30),Freiburg,2–2,Hertha BSC,23600,Schwarzwald-Stadion,Florian Meyer,Match Report,
Regular Season,4,Sat,2014-09-20,15:30 (08:30),Paderborn 07,2–0,Hannover 96,15000,Benteler-Arena,Knut Kircher,Match Report,
Regular Season,4,Sat,2014-09-20,15:30 (08:30),Hamburger SV,0–0,Bayern Munich,57000,Volksparkstadion,Christian Dingert,Match Report,
Regular Season,4,Sat,2014-09-20,15:30 (08:30),Schalke 04,2–2,Eint Frankfurt,61798,Veltins-Arena,Markus Schmidt,Match Report,
Regular Season,4,Sat,2014-09-20,15:30 (08:30),Augsburg,4–2,Werder Bremen,29044,WWK Arena,Marco Fritz,Match Report,
Regular Season,4,Sat,2014-09-20,15:30 (08:30),Stuttgart,0–2,Hoffenheim,44000,Mercedes-Benz Arena,Peter Sippel,Match Report,
Regular Season,4,Sat,2014-09-20,18:30 (11:30),Mainz 05,2–0,Dortmund,34000,Opel Arena,Günter Perl,Match Report,
Regular Season,4,Sun,2014-09-21,15:30 (08:30),Wolfsburg,4–1,Bayer,27811,Volkswagen Arena,Deniz Aytekin,Match Report,
Regular Season,4,Sun,2014-09-21,17:30 (10:30),Köln,0–0,M'gladbach,50000,RheinEnergieSTADION,Felix Zwayer,Match Report,
,,,,,,,,,,,,
Regular Season,5,Tue,2014-09-23,20:00 (13:00),Hoffenheim,3–3,Freiburg,24872,PreZero Arena,Thorsten Kinhöfer,Match Report,
Regular Season,5,Tue,2014-09-23,20:00 (13:00),Eint Frankfurt,2–2,Mainz 05,44100,Commerzbank-Arena,Felix Brych,Match Report,
Regular Season,5,Tue,2014-09-23,20:00 (13:00),Werder Bremen,0–3,Schalke 04,40139,Weserstadion,Wolfgang Stark,Match Report,
