Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sat,2019-08-03,17:30 (10:30),V. Francavilla,2–1,Novara,2500,Stadio Giovanni Paolo II,Mattia Pascarella,Match Report,
First Round,Sat,2019-08-03,18:30 (11:30),Pro Vercelli,2–0,Rende Calcio,504,Stadio Silvio Piola,Paride Tremolada,Match Report,Required Extra Time
First Round,Sun,2019-08-04,16:00 (09:00),Südtirol,4–2,Fasano,400,Stadio Marco Druso,Sajmir Kumara,Match Report,
First Round,Sun,2019-08-04,17:30 (10:30),Ravenna FC,1–0,Sanremo,725,Stadio Comunale Bruno Benelli,Marco Monaldi,Match Report,
First Round,Sun,2019-08-04,17:30 (10:30),Carrarese,(5) 1–1 (4),Fermana,837,Stadio dei Marmi,Francesco Luciani,Match Report,Carrarese won on penalty kicks following extra time
First Round,Sun,2019-08-04,17:30 (10:30),USD Adriese,0–1,FeralpiSalò,600,Stadio Lino Turina,Giuseppe Repace,Match Report,
First Round,Sun,2019-08-04,18:00 (11:00),Piacenza,(3) 1–1 (2),Viterbese,759,Stadio Leonardo Garilli,Enrico Maggio,Match Report,Piacenza won on penalty kicks following extra time
First Round,Sun,2019-08-04,18:30 (11:30),Pro Patria,1–0,SS Matelica,605,Stadio Carlo Speroni,Giuseppe Collu,Match Report,
First Round,Sun,2019-08-04,18:30 (11:30),SS Monza 1912,2–0,Alessandria,1995,Stadio Comunale Brianteo,Marco Ricci,Match Report,
First Round,Sun,2019-08-04,19:00 (12:00),Catanzaro,4–1,Casertana,4879,Stadio Nicola Ceravolo,Claudio Panettella,Match Report,Required Extra Time
First Round,Sun,2019-08-04,20:00 (13:00),US Triestina,3–1,Cavese 1919,2497,Stadio Nereo Rocco,Daniele Perenzoni,Match Report,
First Round,Sun,2019-08-04,20:30 (13:30),Catania,3–0,Fanfulla,2005,Stadio Angelo Massimino,Daniele Rutella,Match Report,
First Round,Sun,2019-08-04,20:30 (13:30),Siena,0–2,Mantova 1911,1458,Stadio Comunale Artemio Franchi - Montep...,Michele Di Cairano,Match Report,
First Round,Sun,2019-08-04,20:30 (13:30),SS Monopoli,4–1,FC Ponsacco,1074,Stadio Vito Simone Veneziani,Francesco Carrione,Match Report,
First Round,Sun,2019-08-04,20:30 (13:30),Imolese Calcio,(4) 3–3 (3),Sambenedettese,584,Stadio Romeo Galli,Alessandro Di Graci,Match Report,Imolese Calcio won on penalty kicks following extra time
First Round,Sun,2019-08-04,20:45 (13:45),Arezzo,1–0,Turris Calcio,1835,Stadio Città di Arezzo,Davide Moriconi,Match Report,
First Round,Sun,2019-08-04,21:00 (14:00),Potenza,2–0,Lanusei Calcio,2240,Stadio Comunale Alfredo Viviani,Cosso Cosso,Match Report,
First Round,Tue,2019-08-06,20:30 (13:30),US Reggina,3–2,Vicenza Virtus,6765,Stadio Oreste Granillo,Eduart Pashuku,Match Report,
Second Round,Sat,2019-08-10,18:30 (11:30),Ascoli,5–1,Pro Vercelli,2780,Stadio Cino e Lillo Del Duca,Giovanni Ayroldi,Match Report,
Second Round,Sun,2019-08-11,18:00 (11:00),Spezia,5–0,Pro Patria,3552,Stadio Alberto Picco,Simone Sozza,Match Report,
Second Round,Sun,2019-08-11,18:30 (11:30),Chievo,(3) 1–1 (1),Ravenna FC,1200,Stadio Marc'Antonio Bentegodi,Riccardo Ros,Match Report,Chievo won on penalty kicks following extra time
