Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Sat,2014-09-13,13:00 (06:00),Darmstadt 98,2–0,Erzgebirge Aue,11100,Jonathan-Heimes-Stadion am Böllenfalltor,Timo Gerach,Match Report,
Regular Season,5,Sat,2014-09-13,13:00 (06:00),RB Leipzig,3–1,Braunschweig,24949,Red Bull Arena,Felix Zwayer,Match Report,
Regular Season,5,Sun,2014-09-14,13:30 (06:30),Sandhausen,1–0,Greuther Fürth,4608,Hardtwaldstadion,Robert Kempter,Match Report,
Regular Season,5,Sun,2014-09-14,13:30 (06:30),Heidenheim,3–1,Union Berlin,11000,Voith-Arena,Deniz Aytekin,Match Report,
Regular Season,5,Sun,2014-09-14,13:30 (06:30),St. Pauli,1–2,1860 Munich,27892,Millerntor-Stadion,Robert Kampka,Match Report,
Regular Season,5,Mon,2014-09-15,20:15 (13:15),Nürnberg,0–2,Düsseldorf,26558,Max-Morlock-Stadion,Florian Meyer,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2014-09-19,18:30 (11:30),Erzgebirge Aue,3–0,St. Pauli,9400,Sparkassen-Erzgebirgsstadion,Christian Bandurski,Match Report,
Regular Season,6,Fri,2014-09-19,18:30 (11:30),Aalen,0–1,Sandhausen,5112,Scholz Arena,Timo Gerach,Match Report,
Regular Season,6,Fri,2014-09-19,18:30 (11:30),Braunschweig,2–0,Darmstadt 98,21805,Eintracht-Stadion,Patrick Ittrich,Match Report,
Regular Season,6,Sat,2014-09-20,13:00 (06:00),1860 Munich,1–1,Ingolstadt 04,21800,Allianz Arena,Sven Jablonski,Match Report,
Regular Season,6,Sat,2014-09-20,13:00 (06:00),Greuther Fürth,2–1,Kaiserslautern,13015,Sportpark Ronhof Thomas Sommer,Peter Gagelmann,Match Report,
Regular Season,6,Sat,2014-09-20,13:00 (06:00),FSV Frankfurt,1–5,Bochum,5677,Frankfurter Volksbank Stadion,Martin Thomsen,Match Report,
Regular Season,6,Sun,2014-09-21,13:30 (06:30),Düsseldorf,3–2,Heidenheim,27861,Merkur Spielarena,Bibiana Steinhaus,Match Report,
Regular Season,6,Sun,2014-09-21,13:30 (06:30),Union Berlin,2–1,RB Leipzig,21366,Stadion An der Alten Försterei,Tobias Stieler,Match Report,
Regular Season,6,Sun,2014-09-21,13:30 (06:30),Karlsruher,3–0,Nürnberg,19944,Wildparkstadion,Daniel Siebert,Match Report,
,,,,,,,,,,,,
