Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,1,Tue,2015-09-15,19:45 (13:45),Benfica pt,2–0,kz FC Astana,32799,Estádio do Sport Lisboa e Benfica,Tasos Sidiropoulos,Match Report,
Group Stage,1,Tue,2015-09-15,19:45 (13:45),Manchester City eng,1–2,it Juventus,50363,Etihad Stadium,Damir Skomina,Match Report,
Group Stage,1,Tue,2015-09-15,20:45 (13:45),Sevilla es,3–0,de M'gladbach,36959,Estadio Ramón Sánchez Pizjuán,Pavel Královec,Match Report,
Group Stage,1,Tue,2015-09-15,20:45 (13:45),Wolfsburg de,1–0,ru CSKA Moscow,20126,Volkswagen Arena,Svein Oddvar Moen,Match Report,
Group Stage,1,Tue,2015-09-15,20:45 (13:45),PSV Eindhoven nl,2–1,eng Manchester Utd,35292,Philips Stadion,Nicola Rizzoli,Match Report,
Group Stage,1,Tue,2015-09-15,20:45 (13:45),Real Madrid es,4–0,ua Shakhtar,66389,Estadio Santiago Bernabéu,Ivan Bebek,Match Report,
Group Stage,1,Tue,2015-09-15,20:45 (13:45),Paris S-G fr,2–0,se Malmö,46612,Parc des Princes,Sergey Karasev,Match Report,
Group Stage,1,Tue,2015-09-15,21:45 (13:45),Galatasaray tr,0–2,es Atlético Madrid,33469,Türk Telekom Arena,Szymon Marciniak,Match Report,
Group Stage,1,Wed,2015-09-16,19:45 (13:45),Chelsea eng,4–0,il Maccabi Tel Aviv,40684,Stamford Bridge,Felix Zwayer,Match Report,
Group Stage,1,Wed,2015-09-16,20:45 (13:45),Valencia es,2–3,ru Zenit,28005,Estadio de Mestalla,Craig Thomson,Match Report,
Group Stage,1,Wed,2015-09-16,20:45 (13:45),Gent be,1–1,fr Lyon,19601,GHELAMCO-arena,William Collum,Match Report,
Group Stage,1,Wed,2015-09-16,20:45 (13:45),Roma it,1–1,es Barcelona,57836,Stadio Olimpico,Björn Kuipers,Match Report,
Group Stage,1,Wed,2015-09-16,20:45 (13:45),Dinamo Zagreb hr,2–1,eng Arsenal,17840,Stadion Maksimir,Ovidiu Hațegan,Match Report,
Group Stage,1,Wed,2015-09-16,20:45 (13:45),Bayer de,4–1,by BATE Borisov,24280,BayArena,Danny Makkelie,Match Report,
Group Stage,1,Wed,2015-09-16,21:45 (13:45),Dynamo Kyiv ua,2–2,pt Porto,52369,NSK Olimpijs'kyj,Felix Brych,Match Report,
Group Stage,1,Wed,2015-09-16,21:45 (13:45),Olympiacos gr,0–3,de Bayern Munich,31688,Stadio Georgios Karaiskáki,Carlos Velasco,Match Report,
