Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2018-08-18,18:00 (11:00),Chievo,1.0,2–3,2.1,Juventus,29500,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua,Match Report,
1,Sat,2018-08-18,20:30 (13:30),Lazio,1.1,1–2,1.5,Napoli,32000,Stadio Olimpico,Luca Banti,Match Report,
1,Sun,2018-08-19,18:00 (11:00),Torino,0.8,0–1,1.3,Roma,18000,Stadio Olimpico di Torino,Marco Di Bello,Match Report,
1,Sun,2018-08-19,20:30 (13:30),Empoli,0.9,2–0,0.9,Cagliari,7335,Stadio Carlo Castellani,Daniele Chiffi,Match Report,
1,Sun,2018-08-19,20:30 (13:30),Bologna,0.8,0–1,0.7,SPAL,21158,Stadio Renato Dall'Ara,Piero Giacomelli,Match Report,
1,Sun,2018-08-19,20:30 (13:30),Parma,1.5,2–2,2.0,Udinese,13141,Stadio Ennio Tardini,Giampaolo Calvarese,Match Report,
1,Sun,2018-08-19,20:30 (13:30),Sassuolo,1.5,1–0,1.3,Inter,19104,Stadio Città del Tricolore,Maurizio Mariani,Match Report,
1,Mon,2018-08-20,20:30 (13:30),Atalanta,2.2,4–0,0.5,Frosinone,18217,Stadio Atleti Azzurri d'Italia,Marco Piccinini,Match Report,
,,,,,,,,,,,,,
2,Sat,2018-08-25,18:00 (11:00),Juventus,2.2,2–0,0.3,Lazio,40171,Allianz Stadium,Massimiliano Irrati,Match Report,
2,Sat,2018-08-25,20:30 (13:30),Napoli,2.2,3–2,0.8,Milan,34474,Stadio San Paolo,Paolo Valeri,Match Report,
2,Sun,2018-08-26,18:00 (11:00),SPAL,1.1,1–0,0.5,Parma,6000,Stadio Paolo Mazza,Daniele Orsato,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Inter,1.3,2–2,1.5,Torino,59135,Stadio Giuseppe Meazza,Paolo Mazzoleni,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Frosinone,1.3,0–0,1.1,Bologna,,Stadio Benito Stirpe,Gianluca Manganiello,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Cagliari,1.9,2–2,1.9,Sassuolo,14432,Sardegna Arena,Luca Pairetto,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Udinese,1.6,1–0,0.8,Sampdoria,15770,Dacia Arena,Federico La Penna,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Fiorentina,2.8,6–1,1.2,Chievo,27790,Stadio Artemio Franchi,Rosario Abisso,Match Report,
2,Sun,2018-08-26,20:30 (13:30),Genoa,1.0,2–1,2.1,Empoli,19523,Stadio Comunale Luigi Ferraris,Livio Marinelli,Match Report,
2,Mon,2018-08-27,20:30 (13:30),Roma,2.1,3–3,2.5,Atalanta,41725,Stadio Olimpico,Michael Fabbri,Match Report,
,,,,,,,,,,,,,
3,Fri,2018-08-31,20:30 (13:30),Milan,1.5,2–1,0.4,Roma,57789,Stadio Giuseppe Meazza,Marco Guida,Match Report,
3,Sat,2018-09-01,18:00 (11:00),Bologna,0.4,0–3,1.9,Inter,26082,Stadio Renato Dall'Ara,Marco Di Bello,Match Report,
3,Sat,2018-09-01,20:30 (13:30),Parma,1.5,1–2,2.0,Juventus,20814,Stadio Ennio Tardini,Daniele Doveri,Match Report,
3,Sun,2018-09-02,18:00 (11:00),Fiorentina,0.8,1–0,0.3,Udinese,31009,Stadio Artemio Franchi,Antonio Giua,Match Report,
3,Sun,2018-09-02,20:30 (13:30),Lazio,2.2,1–0,0.5,Frosinone,34465,Stadio Olimpico,Giampaolo Calvarese,Match Report,
3,Sun,2018-09-02,20:30 (13:30),Atalanta,0.5,0–1,0.4,Cagliari,17709,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
3,Sun,2018-09-02,20:30 (13:30),Chievo,0.9,0–0,1.1,Empoli,8100,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
