Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
,,,,,,,,,,,
5,Fri,2019-09-13,21:00 (14:00),Rayo Vallecano,2–0,Santander,9649,Estadio del Rayo Vallecano,Alejandro Muñíz,Match Report,
5,Sat,2019-09-14,16:00 (09:00),Numancia,1–0,Huesca,4035,Nuevo Estadio Los Pajaritos,Daniel Trujillo,Match Report,
5,Sat,2019-09-14,16:00 (09:00),CD Mirandés,1–1,Málaga,2812,Estadio Municipal de Anduva,Víctor Areces,Match Report,
5,Sat,2019-09-14,17:30 (11:30),Las Palmas,0–3,Almería,10077,Estadio de Gran Canaria,Aitor Gorostegui,Match Report,
5,Sat,2019-09-14,20:30 (13:30),Ponferradina,1–1,Alcorcón,5192,Estadio El Toralín,Dámaso Arcediano,Match Report,
5,Sat,2019-09-14,20:30 (13:30),Cádiz,2–0,Girona,15535,Estadio Ramón de Carranza,Daniel Ocón,Match Report,
5,Sun,2019-09-15,12:00 (05:00),Albacete,0–4,Tenerife,7875,Estadio Carlos Belmonte,Álvaro Moreno,Match Report,
5,Sun,2019-09-15,16:00 (09:00),Oviedo,0–2,Elche,11263,Estadio Nuevo Carlos Tartiere,Jorge Figueroa,Match Report,
5,Sun,2019-09-15,18:00 (11:00),Zaragoza,3–1,Extremadura,25798,Estadio de la Romareda,Jon González,Match Report,
5,Sun,2019-09-15,20:00 (13:00),Lugo,2–0,Fuenlabrada,2915,Estadio Anxo Carro,Saúl Ais,Match Report,
5,Sun,2019-09-15,21:00 (14:00),Sporting Gijón,1–1,La Coruña,18570,Estadio Municipal El Molinón,Juan Pulido,Match Report,
,,,,,,,,,,,
6,Tue,2019-09-17,19:00 (12:00),Santander,4–0,CD Mirandés,12304,Campos de Sport de El Sardinero,Iñaki Bikandi,Match Report,
6,Tue,2019-09-17,19:00 (12:00),Málaga,1–1,Rayo Vallecano,13616,Estadio La Rosaleda,Isidro Díaz de Mera,Match Report,
6,Tue,2019-09-17,19:00 (12:00),Almería,3–1,Girona,11034,Estadio de los Juegos Mediterráneos,José López,Match Report,
6,Tue,2019-09-17,21:00 (14:00),Alcorcón,3–0,Cádiz,2555,Estadio Santo Domingo,Gorka Sagues,Match Report,
6,Wed,2019-09-18,19:00 (12:00),Lugo,2–2,Ponferradina,3702,Estadio Anxo Carro,Miguel Ángel Ortiz Arias,Match Report,
6,Wed,2019-09-18,19:00 (12:00),Huesca,0–1,Albacete,6348,Estadio El Alcoraz,Rubén Ávalos,Match Report,
6,Wed,2019-09-18,21:00 (14:00),La Coruña,3–3,Numancia,13856,Estadio Municipal de Riazor,Santiago Varón,Match Report,
6,Thu,2019-09-19,19:00 (12:00),Elche,1–1,Tenerife,8138,Estadio Manuel Martínez Valero,Javier Villanueva,Match Report,
6,Thu,2019-09-19,19:00 (12:00),Oviedo,1–1,Extremadura,10413,Estadio Nuevo Carlos Tartiere,Iosu Galech,Match Report,
6,Thu,2019-09-19,21:00 (15:00),Las Palmas,1–0,Sporting Gijón,7726,Estadio de Gran Canaria,Oliver De La Fuente,Match Report,
,,,,,,,,,,,
7,Fri,2019-09-20,21:00 (14:00),CD Mirandés,2–2,Alcorcón,2620,Estadio Municipal de Anduva,José López,Match Report,
7,Sat,2019-09-21,16:00 (09:00),Cádiz,0–0,La Coruña,16027,Estadio Ramón de Carranza,Dámaso Arcediano,Match Report,
