Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2014-08-29,20:30 (13:30),Perugia,2–1,Bologna,13400,Stadio Renato Curi,Claudio Gavillucci,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Livorno,1–1,Carpi,5823,Stadio Armando Picchi,Fabio Maresca,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Pescara,0–0,Trapani,7386,Stadio Adriatico-Giovanni Cornacchia,Daniele Chiffi,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Crotone,0–2,Ternana,4176,Stadio Ezio Scida,Maurizio Mariani,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Virtus Entella,0–2,Bari,2753,Stadio Comunale Chiavari,Leonardo Baracani,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Frosinone,1–0,Brescia,4248,Stadio Comunale Matusa,Aleandro Di Paolo,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Avellino,1–0,Pro Vercelli,9000,Stadio Partenio,Ivan Pezzuto,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Varese,2–1,Spezia,3092,Stadio Franco Ossola,Riccardo Pinzani,Match Report,
Regular Season,1,Sat,2014-08-30,20:30 (13:30),Catania,3–3,Virtus Lanciano,15881,Stadio Angelo Massimino,Daniele Minelli,Match Report,
Regular Season,1,Mon,2014-09-01,20:30 (13:30),Modena,1–1,Cittadella,5712,Stadio Alberto Braglia,Rosario Abisso,Match Report,
,,,,,,,,,,,,
Regular Season,2,Sat,2014-09-06,18:00 (11:00),Latina,1–0,Crotone,4354,Stadio Comunale Domenico Francioni,Juan Sacchi,Match Report,
Regular Season,2,Sat,2014-09-06,20:30 (13:30),Brescia,0–1,Livorno,6029,Stadio Mario Rigamonti,Gianluca Manganiello,Match Report,
Regular Season,2,Sun,2014-09-07,15:00 (08:00),Trapani,2–1,Vicenza,4792,Stadio Polisportivo Provinciale,Federico La Penna,Match Report,
Regular Season,2,Sun,2014-09-07,15:00 (08:00),Carpi,4–2,Varese,2228,Stadio Sandro Cabassi,Riccardo Ros,Match Report,
Regular Season,2,Sun,2014-09-07,15:00 (08:00),Virtus Lanciano,2–0,Modena,3005,Stadio Comunale Guido Biondi,Davide Ghersini,Match Report,
Regular Season,2,Sun,2014-09-07,15:00 (08:00),Spezia,2–1,Frosinone,5803,Stadio Alberto Picco,Luca Pairetto,Match Report,
