Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sun,2019-09-01,13:30 (06:30),Osnabrück,3–0,Karlsruher,14003,Stadion an der Bremer Brücke,Michael Bacher,Match Report,
5,Mon,2019-09-02,20:30 (13:30),Stuttgart,2–1,Bochum,48624,Mercedes-Benz Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,
6,Fri,2019-09-13,18:30 (11:30),Karlsruher,1–0,Sandhausen,13517,Wildparkstadion,Felix Zwayer,Match Report,
6,Fri,2019-09-13,18:30 (11:30),Greuther Fürth,2–1,Wehen,8730,Sportpark Ronhof Thomas Sommer,Benedikt Kempkes,Match Report,
6,Sat,2019-09-14,13:00 (06:00),Hannover 96,0–2,Arminia,37200,HDI-Arena,Patrick Ittrich,Match Report,
6,Sat,2019-09-14,13:00 (06:00),Jahn R'burg,2–3,Stuttgart,15200,Continental Arena,Tobias Stieler,Match Report,
6,Sat,2019-09-14,13:00 (06:00),Heidenheim,3–0,Holstein Kiel,10800,Voith-Arena,Nicolas Winter,Match Report,
6,Sun,2019-09-15,13:30 (06:30),Erzgebirge Aue,1–0,Osnabrück,9750,Sparkassen-Erzgebirgsstadion,Thorben Siewer,Match Report,
6,Sun,2019-09-15,13:30 (06:30),Darmstadt 98,3–3,Nürnberg,15220,Jonathan-Heimes-Stadion am Böllenfalltor,Alexander Sather,Match Report,
6,Sun,2019-09-15,13:30 (06:30),Bochum,2–2,Dynamo Dres,16859,Vonovia Ruhrstadion,Christof Günsch,Match Report,
6,Mon,2019-09-16,20:30 (13:30),St. Pauli,2–0,Hamburger SV,29226,Millerntor-Stadion,Sven Jablonski,Match Report,
,,,,,,,,,,,
7,Fri,2019-09-20,18:30 (11:30),Heidenheim,1–0,Darmstadt 98,10800,Voith-Arena,Florian Badstübner,Match Report,
7,Fri,2019-09-20,18:30 (11:30),Holstein Kiel,1–2,Hannover 96,15034,Holstein-Stadion,Martin Thomsen,Match Report,
7,Sat,2019-09-21,13:00 (06:00),Nürnberg,1–1,Karlsruher,30332,Max-Morlock-Stadion,Marco Fritz,Match Report,
7,Sat,2019-09-21,13:00 (06:00),Wehen,2–5,Arminia,4621,BRITA-Arena,Patrick Alt,Match Report,
7,Sat,2019-09-21,13:00 (06:00),Stuttgart,2–0,Greuther Fürth,50543,Mercedes-Benz Arena,Sören Storks,Match Report,
7,Sat,2019-09-21,13:00 (06:00),Sandhausen,1–1,Bochum,5339,Hardtwaldstadion,Pascal Müller,Match Report,
7,Sun,2019-09-22,13:30 (06:30),Osnabrück,1–1,St. Pauli,16000,Stadion an der Bremer Brücke,Martin Petersen,Match Report,
7,Sun,2019-09-22,13:30 (06:30),Hamburger SV,4–0,Erzgebirge Aue,44021,Volksparkstadion,Tobias Reichel,Match Report,
7,Sun,2019-09-22,13:30 (06:30),Dynamo Dres,2–1,Jahn R'burg,27260,DDV-Stadion,Robert Kempter,Match Report,
,,,,,,,,,,,
8,Fri,2019-09-27,18:30 (11:30),Arminia,0–1,Stuttgart,26124,SchücoArena Kunstrasenplatz,Timo Gerach,Match Report,
8,Fri,2019-09-27,18:30 (11:30),Wehen,2–0,Osnabrück,3723,BRITA-Arena,Benjamin Cortus,Match Report,
8,Sat,2019-09-28,13:00 (06:00),Jahn R'burg,2–2,Hamburger SV,15210,Continental Arena,Tobias Welz,Match Report,
8,Sat,2019-09-28,13:00 (06:00),Karlsruher,1–1,Heidenheim,12713,Wildparkstadion,Bastian Dankert,Match Report,
8,Sat,2019-09-28,13:00 (06:00),Bochum,2–2,Darmstadt 98,14321,Vonovia Ruhrstadion,René Rohde,Match Report,
8,Sun,2019-09-29,13:30 (06:30),St. Pauli,2–0,Sandhausen,29546,Millerntor-Stadion,Matthias Jöllenbeck,Match Report,
