Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2014-08-23,19:00 (12:00),Recreativo,0–0,Zaragoza,4593,Estadio Nuevo Colombino,José Sánchez,Match Report,
Regular Season,1,Sat,2014-08-23,19:00 (12:00),Osasuna,2–0,Barcelona B,12320,Estadio El Sadar,Dámaso Arcediano,Match Report,
Regular Season,1,Sat,2014-08-23,19:00 (12:00),Valladolid,2–1,Mallorca,7895,Estadio Municipal José Zorrilla,Francisco Arias,Match Report,
Regular Season,1,Sat,2014-08-23,20:00 (14:00),Las Palmas,2–0,Llagostera,12232,Estadio de Gran Canaria,Juan López,Match Report,
Regular Season,1,Sat,2014-08-23,21:00 (14:00),Numancia,1–2,Sporting Gijón,2987,Nuevo Estadio Los Pajaritos,José Lesma,Match Report,
Regular Season,1,Sun,2014-08-24,19:00 (12:00),Leganés,1–1,Alavés,5000,Estadio Municipal de Butarque,Víctor Areces,Match Report,
Regular Season,1,Sun,2014-08-24,19:00 (12:00),Sabadell,2–3,Betis,8074,Estadi de la Nova Creu Alta,Daniel Trujillo,Match Report,
Regular Season,1,Sun,2014-08-24,19:00 (12:00),Mirandés,0–0,Lugo,3120,Estadio Municipal de Anduva,José Luis Munuera,Match Report,
Regular Season,1,Sun,2014-08-24,21:00 (14:00),Ponferradina,1–0,Tenerife,4500,Estadio El Toralín,José Piñeiro,Match Report,
Regular Season,1,Sun,2014-08-24,21:00 (14:00),Girona,1–0,Racing Sant,3080,Estadi Municipal de Montilivi,David Pérez,Match Report,
Regular Season,1,Sun,2014-08-24,21:00 (14:00),Albacete,2–3,Alcorcón,7500,Estadio Carlos Belmonte,Jorge Valdés Aller,Match Report,
,,,,,,,,,,,,
Regular Season,2,Sat,2014-08-30,19:00 (12:00),Barcelona B,3–1,Sabadell,3884,Mini Estadi,Pedro Sureda,Match Report,
Regular Season,2,Sat,2014-08-30,19:00 (12:00),Lugo,1–0,Valladolid,3150,Estadio Anxo Carro,Pablo González,Match Report,
Regular Season,2,Sat,2014-08-30,19:00 (12:00),Zaragoza,1–1,Osasuna,22000,Estadio de la Romareda,Ricardo de Burgos,Match Report,
Regular Season,2,Sat,2014-08-30,21:00 (14:00),Alcorcón,1–2,Girona,2000,Estadio Santo Domingo,Rubén Eiriz,Match Report,
Regular Season,2,Sat,2014-08-30,22:00 (16:00),Tenerife,1–1,Albacete,7785,Estadio Heliodoro Rodríguez Lopéz,Valentín Pizarro,Match Report,
Regular Season,2,Sat,2014-08-30,23:00 (16:00),Racing Sant,1–2,Mirandés,8000,Campos de Sport de El Sardinero,Gorka Sagues,Match Report,
Regular Season,2,Sun,2014-08-31,19:00 (12:00),Sporting Gijón,2–1,Ponferradina,15637,Estadio Municipal El Molinón,Jorge Figueroa,Match Report,
Regular Season,2,Sun,2014-08-31,19:00 (12:00),Llagostera,2–0,Leganés,,Estadi Municipal Palamós Costa Brava,Oliver De La Fuente,Match Report,
Regular Season,2,Sun,2014-08-31,19:00 (12:00),Betis,2–1,Numancia,30000,Estadio Benito Villamarín,Jesús Muñoz,Match Report,
Regular Season,2,Sun,2014-08-31,21:00 (14:00),Mallorca,1–1,Las Palmas,8000,Iberostar Estadi,David Medié,Match Report,
Regular Season,2,Sun,2014-08-31,21:00 (14:00),Alavés,0–0,Recreativo,8739,Estadio de Mendizorroza,Daniel Ocón,Match Report,
,,,,,,,,,,,,
Regular Season,3,Sat,2014-09-06,16:00 (09:00),Recreativo,2–0,Llagostera,4049,Estadio Nuevo Colombino,Jorge Valdés Aller,Match Report,
Regular Season,3,Sat,2014-09-06,18:00 (11:00),Albacete,1–1,Sporting Gijón,7846,Estadio Carlos Belmonte,José Luis Munuera,Match Report,
Regular Season,3,Sat,2014-09-06,18:15 (11:15),Osasuna,1–3,Alavés,15650,Estadio El Sadar,Daniel Trujillo,Match Report,
Regular Season,3,Sat,2014-09-06,19:00 (12:00),Sabadell,0–3,Numancia,3348,Estadi de la Nova Creu Alta,Víctor Areces,Match Report,
Regular Season,3,Sat,2014-09-06,21:00 (14:00),Girona,2–0,Tenerife,2934,Estadi Municipal de Montilivi,Dámaso Arcediano,Match Report,
Regular Season,3,Sun,2014-09-07,12:00 (05:00),Ponferradina,4–1,Betis,6000,Estadio El Toralín,Francisco Arias,Match Report,
Regular Season,3,Sun,2014-09-07,17:00 (10:00),Mirandés,1–2,Alcorcón,3073,Estadio Municipal de Anduva,Juan López,Match Report,
Regular Season,3,Sun,2014-09-07,18:15 (11:15),Valladolid,3–1,Racing Sant,8546,Estadio Municipal José Zorrilla,José Piñeiro,Match Report,
Regular Season,3,Sun,2014-09-07,19:00 (12:00),Barcelona B,4–1,Zaragoza,4552,Mini Estadi,David Pérez,Match Report,
Regular Season,3,Sun,2014-09-07,20:00 (14:00),Las Palmas,3–0,Lugo,13240,Estadio de Gran Canaria,José Lesma,Match Report,
Regular Season,3,Sun,2014-09-07,21:00 (14:00),Leganés,3–1,Mallorca,3500,Estadio Municipal de Butarque,José Sánchez,Match Report,
,,,,,,,,,,,,
Regular Season,4,Sat,2014-09-13,16:00 (09:00),Numancia,1–3,Ponferradina,2311,Nuevo Estadio Los Pajaritos,Valentín Pizarro,Match Report,
Regular Season,4,Sat,2014-09-13,18:15 (11:15),Mallorca,1–2,Recreativo,6000,Iberostar Estadi,Ricardo de Burgos,Match Report,
Regular Season,4,Sat,2014-09-13,18:30 (11:30),Alavés,2–3,Barcelona B,9941,Estadio de Mendizorroza,Oliver De La Fuente,Match Report,
Regular Season,4,Sat,2014-09-13,20:00 (13:00),Racing Sant,1–2,Las Palmas,8000,Campos de Sport de El Sardinero,Pablo González,Match Report,
Regular Season,4,Sat,2014-09-13,20:30 (13:30),Llagostera,0–0,Osasuna,2838,Estadi Municipal Palamós Costa Brava,Pedro Sureda,Match Report,
Regular Season,4,Sun,2014-09-14,12:00 (05:00),Sporting Gijón,1–1,Girona,14112,Estadio Municipal El Molinón,Daniel Ocón,Match Report,
Regular Season,4,Sun,2014-09-14,17:00 (10:00),Zaragoza,1–1,Sabadell,20000,Estadio de la Romareda,Jorge Figueroa,Match Report,
Regular Season,4,Sun,2014-09-14,17:00 (10:00),Lugo,0–0,Leganés,2945,Estadio Anxo Carro,Gorka Sagues,Match Report,
Regular Season,4,Sun,2014-09-14,18:15 (11:15),Betis,0–1,Albacete,30049,Estadio Benito Villamarín,José Lesma,Match Report,
