Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Sat,2015-09-05,20:30 (13:30),Cesena,2–0,Brescia,12137,Stadio Dino Manuzzi,Ivan Pezzuto,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Salernitana,3–1,Avellino,22000,Stadio Arechi,Daniele Chiffi,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Perugia,2–0,Como,9954,Stadio Renato Curi,Fabio Maresca,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Novara,1–1,Latina,4335,Stadio Comunale Silvio Piola,Lorenzo Illuzzi,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Livorno,4–0,Pescara,5858,Stadio Armando Picchi,Francesco Paolo Saia,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Pro Vercelli,2–1,Virtus Lanciano,2765,Stadio Silvio Piola,Antonio Rapuano,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Trapani,3–0,Ternana,4755,Stadio Polisportivo Provinciale,Aleandro Di Paolo,Match Report,
Regular Season,1,Sun,2015-09-06,15:00 (08:00),Modena,0–1,Vicenza,5312,Stadio Alberto Braglia,Fabrizio Pasqua,Match Report,
Regular Season,1,Sun,2015-09-06,17:30 (10:30),Bari,4–3,Spezia,21790,Stadio Comunale San Nicola,Federico La Penna,Match Report,
Regular Season,1,Mon,2015-09-07,20:30 (13:30),Cagliari,4–0,Crotone,13908,Stadio Sant'Elia,Juan Sacchi,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2015-09-11,20:30 (13:30),Pescara,2–1,Perugia,8189,Stadio Adriatico-Giovanni Cornacchia,Riccardo Pinzani,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Brescia,2–2,Salernitana,7000,Stadio Mario Rigamonti,Davide Ghersini,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Avellino,2–0,Modena,6500,Stadio Partenio,Marco Serra,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Ternana,1–1,Cagliari,4988,Stadio Libero Liberati,Gianluca Manganiello,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Virtus Entella,2–1,Cesena,1853,Stadio Comunale Chiavari,Luca Pairetto,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Como,1–2,Livorno,2016,Stadio Giuseppe Sinigaglia,Daniele Martinelli,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Vicenza,0–0,Bari,7747,Stadio Romeo Menti,Rosario Abisso,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Virtus Lanciano,2–0,Ascoli,3610,Stadio Comunale Guido Biondi,Luigi Nasca,Match Report,
Regular Season,2,Sat,2015-09-12,15:00 (08:00),Crotone,2–1,Novara,4052,Stadio Ezio Scida,Riccardo Ros,Match Report,
Regular Season,2,Sun,2015-09-13,17:30 (10:30),Spezia,1–1,Pro Vercelli,7048,Stadio Alberto Picco,Renzo Candussio,Match Report,
Regular Season,2,Mon,2015-09-14,20:30 (13:30),Latina,1–1,Trapani,3544,Stadio Comunale Domenico Francioni,Daniele Minelli,Match Report,
,,,,,,,,,,,,
Regular Season,1,Tue,2015-09-15,18:00 (11:00),Ascoli,1–0,Virtus Entella,6350,Stadio Cino e Lillo Del Duca,Eugenio Abbattista,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2015-09-18,19:00 (12:00),Modena,1–0,Ternana,4162,Stadio Alberto Braglia,Eugenio Abbattista,Match Report,
Regular Season,3,Fri,2015-09-18,21:00 (14:00),Livorno,3–1,Brescia,6755,Stadio Armando Picchi,Antonio Rapuano,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Trapani,1–1,Virtus Lanciano,4225,Stadio Polisportivo Provinciale,Federico La Penna,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Bari,0–0,Pescara,20177,Stadio Comunale San Nicola,Fabrizio Pasqua,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Pro Vercelli,1–1,Latina,2573,Stadio Silvio Piola,Juan Sacchi,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Salernitana,0–2,Spezia,12070,Stadio Arechi,Francesco Paolo Saia,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Vicenza,3–3,Como,7042,Stadio Romeo Menti,Vincenzo Ripa,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Cagliari,2–1,Avellino,11000,Stadio Sant'Elia,Leonardo Baracani,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Ascoli,1–3,Cesena,7072,Stadio Cino e Lillo Del Duca,Aleandro Di Paolo,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Perugia,0–0,Crotone,9039,Stadio Renato Curi,Ivan Pezzuto,Match Report,
Regular Season,3,Sat,2015-09-19,15:00 (08:00),Novara,1–0,Virtus Entella,3998,Stadio Comunale Silvio Piola,Valerio Marini,Match Report,
,,,,,,,,,,,,
Regular Season,4,Mon,2015-09-21,20:30 (13:30),Ternana,2–3,Livorno,4412,Stadio Libero Liberati,Davide Ghersini,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Cesena,2–0,Modena,12217,Stadio Dino Manuzzi,Riccardo Pinzani,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Avellino,0–0,Novara,7000,Stadio Partenio,Daniele Martinelli,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Pescara,1–1,Salernitana,8355,Stadio Adriatico-Giovanni Cornacchia,Luigi Nasca,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Virtus Entella,1–3,Cagliari,2533,Stadio Comunale Chiavari,Renzo Candussio,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Spezia,1–0,Perugia,7362,Stadio Alberto Picco,Gianluca Manganiello,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Latina,1–0,Ascoli,3117,Stadio Comunale Domenico Francioni,Daniele Chiffi,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Crotone,4–1,Bari,5261,Stadio Ezio Scida,Fabio Maresca,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Brescia,2–0,Pro Vercelli,5055,Stadio Mario Rigamonti,Lorenzo Illuzzi,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Como,0–0,Trapani,1816,Stadio Giuseppe Sinigaglia,Marco Serra,Match Report,
Regular Season,4,Tue,2015-09-22,20:30 (13:30),Virtus Lanciano,0–0,Vicenza,2665,Stadio Comunale Guido Biondi,Riccardo Ros,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Cagliari,3–2,Latina,14600,Stadio Sant'Elia,Eugenio Abbattista,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Perugia,0–0,Cesena,9477,Stadio Renato Curi,Rosario Abisso,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Pro Vercelli,0–2,Crotone,2573,Stadio Silvio Piola,Valerio Marini,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Modena,1–0,Virtus Lanciano,4098,Stadio Alberto Braglia,Daniele Minelli,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Livorno,1–2,Spezia,8443,Stadio Armando Picchi,Aleandro Di Paolo,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Vicenza,2–2,Pescara,7575,Stadio Romeo Menti,Ivan Pezzuto,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Trapani,4–2,Virtus Entella,4030,Stadio Polisportivo Provinciale,Fabrizio Pasqua,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Ascoli,0–0,Brescia,5462,Stadio Cino e Lillo Del Duca,Vincenzo Ripa,Match Report,
Regular Season,5,Sat,2015-09-26,15:00 (08:00),Salernitana,2–1,Ternana,9874,Stadio Arechi,Federico La Penna,Match Report,
Regular Season,5,Sun,2015-09-27,17:30 (10:30),Bari,2–1,Avellino,22460,Stadio Comunale San Nicola,Juan Sacchi,Match Report,
Regular Season,5,Mon,2015-09-28,20:30 (13:30),Novara,0–2,Como,4739,Stadio Comunale Silvio Piola,Leonardo Baracani,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2015-10-02,20:30 (13:30),Crotone,4–0,Salernitana,5158,Stadio Ezio Scida,Luca Pairetto,Match Report,
