Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Second Round,Tue,2016-10-25,20:45 (13:45),Eint Frankfurt,(4) 0–0 (1),Ingolstadt 04,6300,Commerzbank-Arena,Harm Osmers,Match Report,Eint Frankfurt won on penalty kicks following extra time
Second Round,Wed,2016-10-26,18:30 (11:30),Heidenheim,0–1,Wolfsburg,9200,Voith-Arena,Benjamin Brand,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Hannover 96,6–1,Düsseldorf,20500,HDI-Arena,Benjamin Cortus,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Greuther Fürth,2–1,Mainz 05,5975,Sportpark Ronhof Thomas Sommer,Guido Winkmann,Match Report,
Second Round,Wed,2016-10-26,18:30 (11:30),Astoria,1–0,Darmstadt 98,4000,FC-Astoria Stadion,Bibiana Steinhaus,Match Report,
Second Round,Wed,2016-10-26,20:45 (13:45),Bayern Munich,3–1,Augsburg,73500,Allianz Arena,Sascha Stegemann,Match Report,
Second Round,Wed,2016-10-26,20:45 (13:45),Nürnberg,2–3,Schalke 04,28281,Max-Morlock-Stadion,Frank Willenborg,Match Report,
Second Round,Wed,2016-10-26,20:45 (13:45),Köln,2–1,Hoffenheim,43000,RheinEnergieSTADION,Marco Fritz,Match Report,Required Extra Time
Second Round,Wed,2016-10-26,20:45 (13:45),Dortmund,(3) 1–1 (0),Union Berlin,79037,Signal Iduna Park,Jochen Drees,Match Report,Dortmund won on penalty kicks following extra time
,,,,,,,,,,,
Round of 16,Tue,2017-02-07,18:30 (11:30),Astoria,(4) 1–1 (5),Arminia,4000,FC-Astoria Stadion,Sven Jablonski,Match Report,Arminia won on penalty kicks following extra time
Round of 16,Tue,2017-02-07,18:30 (11:30),Hamburger SV,2–0,Köln,46000,Volksparkstadion,Günter Perl,Match Report,
Round of 16,Tue,2017-02-07,20:45 (13:45),Bayern Munich,1–0,Wolfsburg,73500,Allianz Arena,Jochen Drees,Match Report,
Round of 16,Tue,2017-02-07,20:45 (13:45),Greuther Fürth,0–2,M'gladbach,12336,Sportpark Ronhof Thomas Sommer,Bastian Dankert,Match Report,
Round of 16,Wed,2017-02-08,18:30 (11:30),Sandhausen,1–4,Schalke 04,14500,Hardtwaldstadion,Benjamin Brand,Match Report,
Round of 16,Wed,2017-02-08,18:30 (11:30),Lotte,2–0,1860 Munich,10056,FRIMO Stadion,Christian Dingert,Match Report,
Round of 16,Wed,2017-02-08,20:45 (13:45),Hannover 96,1–2,Eint Frankfurt,31000,HDI-Arena,Robert Kampka,Match Report,
Round of 16,Wed,2017-02-08,20:45 (13:45),Dortmund,(3) 1–1 (2),Hertha BSC,80500,Signal Iduna Park,Deniz Aytekin,Match Report,Dortmund won on penalty kicks following extra time
,,,,,,,,,,,
Quarter-finals,Tue,2017-02-28,18:30 (11:30),Eint Frankfurt,1–0,Arminia,39000,Commerzbank-Arena,Felix Zwayer,Match Report,
Quarter-finals,Wed,2017-03-01,18:30 (11:30),Hamburger SV,1–2,M'gladbach,53249,Volksparkstadion,Marco Fritz,Match Report,
Quarter-finals,Wed,2017-03-01,20:45 (13:45),Bayern Munich,3–0,Schalke 04,70000,Allianz Arena,Daniel Siebert,Match Report,
Quarter-finals,Tue,2017-03-14,18:30 (12:30),Lotte,0–3,Dortmund,15780,Stadion an der Bremer Brücke,Felix Brych,Match Report,
,,,,,,,,,,,
Semi-finals,Tue,2017-04-25,20:45 (13:45),M'gladbach,(6) 1–1 (7),Eint Frankfurt,54014,Stadion im Borussia-Park,Deniz Aytekin,Match Report,Eint Frankfurt won on penalty kicks following extra time
Semi-finals,Wed,2017-04-26,20:45 (13:45),Bayern Munich,2–3,Dortmund,75000,Allianz Arena,Manuel Gräfe,Match Report,
,,,,,,,,,,,
Final,Sat,2017-05-27,20:00 (13:00),Eint Frankfurt,1–2,Dortmund,74322,Olympiastadion Berlin,Deniz Aytekin,Match Report,
