Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Wed,2017-09-20,20:45 (13:45),Hellas Verona,0–0,Sampdoria,14690,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,Match Report,
5,Wed,2017-09-20,20:45 (13:45),Juventus,1–0,Fiorentina,35652,Allianz Stadium,Daniele Doveri,Match Report,
5,Wed,2017-09-20,20:45 (13:45),Cagliari,0–1,Sassuolo,13898,Stadio Sant'Elia,Claudio Gavillucci,Match Report,
5,Wed,2017-09-20,20:45 (13:45),Genoa,1–1,Chievo,18376,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,
,,,,,,,,,,,
6,Sat,2017-09-23,15:00 (08:00),Roma,3–1,Udinese,32457,Stadio Olimpico,Davide Massa,Match Report,
6,Sat,2017-09-23,18:00 (11:00),SPAL,2–3,Napoli,12650,Stadio Paolo Mazza,Maurizio Mariani,Match Report,
6,Sat,2017-09-23,20:45 (13:45),Juventus,4–0,Torino,40856,Allianz Stadium,Piero Giacomelli,Match Report,
6,Sun,2017-09-24,12:30 (05:30),Sampdoria,2–0,Milan,21896,Stadio Comunale Luigi Ferraris,Paolo Valeri,Match Report,
6,Sun,2017-09-24,15:00 (08:00),Hellas Verona,0–3,Lazio,16316,Stadio Marc'Antonio Bentegodi,Massimiliano Irrati,Match Report,
6,Sun,2017-09-24,15:00 (08:00),Inter,1–0,Genoa,50037,Stadio Giuseppe Meazza,Marco Guida,Match Report,
6,Sun,2017-09-24,15:00 (08:00),Cagliari,0–2,Chievo,14287,Stadio Sant'Elia,Gianluca Aureliano,Match Report,
6,Sun,2017-09-24,15:00 (08:00),Crotone,2–0,Benevento,8827,Stadio Ezio Scida,Daniele Orsato,Match Report,
6,Sun,2017-09-24,18:00 (11:00),Sassuolo,0–1,Bologna,10805,Stadio Città del Tricolore,Paolo Tagliavento,Match Report,
6,Sun,2017-09-24,20:45 (13:45),Fiorentina,1–1,Atalanta,21390,Stadio Artemio Franchi,Luca Pairetto,Match Report,
,,,,,,,,,,,
7,Sat,2017-09-30,18:00 (11:00),Udinese,4–0,Sampdoria,17935,Dacia Arena,Michael Fabbri,Match Report,
7,Sat,2017-09-30,20:45 (13:45),Genoa,0–1,Bologna,19154,Stadio Comunale Luigi Ferraris,Gianluca Rocchi,Match Report,
7,Sun,2017-10-01,12:30 (05:30),Napoli,3–0,Cagliari,42813,Stadio San Paolo,Rosario Abisso,Match Report,
7,Sun,2017-10-01,15:00 (08:00),Lazio,6–1,Sassuolo,25000,Stadio Olimpico,Fabio Maresca,Match Report,
7,Sun,2017-10-01,15:00 (08:00),Chievo,2–1,Fiorentina,7300,Stadio Marc'Antonio Bentegodi,Piero Giacomelli,Match Report,
7,Sun,2017-10-01,15:00 (08:00),SPAL,1–1,Crotone,11187,Stadio Paolo Mazza,Paolo Mazzoleni,Match Report,
7,Sun,2017-10-01,15:00 (08:00),Torino,2–2,Hellas Verona,16834,Stadio Olimpico di Torino,Claudio Gavillucci,Match Report,
7,Sun,2017-10-01,15:00 (08:00),Benevento,1–2,Inter,16274,Stadio Ciro Vigorito,Daniele Doveri,Match Report,
7,Sun,2017-10-01,18:00 (11:00),Milan,0–2,Roma,61698,Stadio Giuseppe Meazza,Luca Banti,Match Report,
7,Sun,2017-10-01,20:45 (13:45),Atalanta,2–2,Juventus,19962,Stadio Atleti Azzurri d'Italia,Antonio Damato,Match Report,
,,,,,,,,,,,
8,Sat,2017-10-14,18:00 (11:00),Juventus,1–2,Lazio,39145,Allianz Stadium,Paolo Mazzoleni,Match Report,
8,Sat,2017-10-14,20:45 (13:45),Roma,0–1,Napoli,37914,Stadio Olimpico,Gianluca Rocchi,Match Report,
8,Sun,2017-10-15,12:30 (05:30),Fiorentina,2–1,Udinese,25156,Stadio Artemio Franchi,Massimiliano Irrati,Match Report,
8,Sun,2017-10-15,15:00 (08:00),Sassuolo,0–0,Chievo,8712,Stadio Città del Tricolore,Gianluca Manganiello,Match Report,
8,Sun,2017-10-15,15:00 (08:00),Crotone,2–2,Torino,9563,Stadio Ezio Scida,Paolo Valeri,Match Report,
8,Sun,2017-10-15,15:00 (08:00),Bologna,2–1,SPAL,24074,Stadio Renato Dall'Ara,Marco Guida,Match Report,
