Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Tue,2019-09-24,19:00 (12:00),Hellas Verona,1.2,0–0,0.8,Udinese,13740,Stadio Marc'Antonio Bentegodi,Daniele Chiffi,Match Report,
5,Tue,2019-09-24,21:00 (14:00),Brescia,0.9,1–2,1.6,Juventus,14000,Stadio Mario Rigamonti,Fabrizio Pasqua,Match Report,
5,Wed,2019-09-25,19:00 (12:00),Roma,1.7,0–2,2.2,Atalanta,31832,Stadio Olimpico,Massimiliano Irrati,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Fiorentina,1.7,2–1,0.7,Sampdoria,33469,Stadio Artemio Franchi,Daniele Doveri,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Inter,1.5,1–0,1.2,Lazio,56175,Stadio Giuseppe Meazza,Fabio Maresca,Match Report,
5,Wed,2019-09-25,21:00 (14:00),SPAL,1.0,1–3,2.0,Lecce,13292,Stadio Paolo Mazza,Gianluca Rocchi,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Genoa,0.3,0–0,1.7,Bologna,20497,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Napoli,2.2,0–1,0.3,Cagliari,25408,Stadio San Paolo,Marco Di Bello,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Parma,1.6,1–0,0.5,Sassuolo,14569,Stadio Ennio Tardini,Livio Marinelli,Match Report,
5,Thu,2019-09-26,21:00 (14:00),Torino,1.4,2–1,2.1,Milan,23997,Stadio Olimpico di Torino,Marco Guida,Match Report,
,,,,,,,,,,,,,
6,Sat,2019-09-28,15:00 (08:00),Juventus,2.0,2–0,0.2,SPAL,38995,Allianz Stadium,Marco Piccinini,Match Report,
6,Sat,2019-09-28,18:00 (11:00),Sampdoria,1.5,1–3,2.4,Inter,23694,Stadio Comunale Luigi Ferraris,Giampaolo Calvarese,Match Report,
6,Sat,2019-09-28,20:45 (13:45),Sassuolo,0.6,1–4,2.0,Atalanta,11604,Mapei Stadium - Città del Tricolore,Paolo Valeri,Match Report,
6,Sun,2019-09-29,12:30 (05:30),Napoli,2.1,2–1,1.0,Brescia,45770,Stadio San Paolo,Gianluca Manganiello,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Lecce,0.9,0–1,2.3,Roma,26044,Stadio Comunale Via Del Mare,Rosario Abisso,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Udinese,0.6,1–0,1.3,Bologna,21361,Dacia Arena,Antonio Giua,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Lazio,1.3,4–0,0.6,Genoa,26000,Stadio Olimpico,Luca Pairetto,Match Report,
6,Sun,2019-09-29,18:00 (11:00),Cagliari,1.3,1–1,1.5,Hellas Verona,15846,Sardegna Arena,Manuel Volpi,Match Report,
6,Sun,2019-09-29,20:45 (13:45),Milan,0.9,1–3,2.5,Fiorentina,48367,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
6,Mon,2019-09-30,20:45 (13:45),Parma,3.4,3–2,1.4,Torino,15001,Stadio Ennio Tardini,Federico La Penna,Match Report,
,,,,,,,,,,,,,
7,Sat,2019-10-05,15:00 (08:00),SPAL,1.4,1–0,0.3,Parma,11776,Stadio Paolo Mazza,Marco Guida,Match Report,
7,Sat,2019-10-05,18:00 (11:00),Hellas Verona,0.8,2–0,0.7,Sampdoria,17787,Stadio Marc'Antonio Bentegodi,Michael Fabbri,Match Report,
7,Sat,2019-10-05,20:45 (13:45),Genoa,1.9,1–2,1.3,Milan,22486,Stadio Comunale Luigi Ferraris,Maurizio Mariani,Match Report,
7,Sun,2019-10-06,12:30 (05:30),Fiorentina,1.2,1–0,0.6,Udinese,37963,Stadio Artemio Franchi,Alessandro Prontera,Match Report,
7,Sun,2019-10-06,15:00 (08:00),Atalanta,3.9,3–1,0.9,Lecce,20771,Stadio Atleti Azzurri d'Italia,Marco Di Bello,Match Report,
7,Sun,2019-10-06,15:00 (08:00),Roma,1.6,1–1,1.2,Cagliari,34385,Stadio Olimpico,Davide Massa,Match Report,
7,Sun,2019-10-06,15:00 (08:00),Bologna,1.5,2–2,1.3,Lazio,22052,Stadio Renato Dall'Ara,Daniele Orsato,Match Report,
7,Sun,2019-10-06,18:00 (11:00),Torino,0.7,0–0,1.1,Napoli,24343,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
7,Sun,2019-10-06,20:45 (13:45),Inter,1.6,1–2,1.4,Juventus,75923,Stadio Giuseppe Meazza,Gianluca Rocchi,Match Report,
,,,,,,,,,,,,,
8,Sat,2019-10-19,15:00 (08:00),Lazio,2.5,3–3,2.9,Atalanta,30000,Stadio Olimpico,Gianluca Rocchi,Match Report,
8,Sat,2019-10-19,18:00 (11:00),Napoli,1.7,2–0,1.5,Hellas Verona,38686,Stadio San Paolo,Marco Piccinini,Match Report,
8,Sat,2019-10-19,20:45 (13:45),Juventus,1.8,2–1,0.7,Bologna,40461,Allianz Stadium,Massimiliano Irrati,Match Report,
8,Sun,2019-10-20,12:30 (05:30),Sassuolo,1.0,3–4,3.1,Inter,17935,Mapei Stadium - Città del Tricolore,Piero Giacomelli,Match Report,
8,Sun,2019-10-20,15:00 (08:00),Udinese,1.7,1–0,0.9,Torino,24049,Dacia Arena,Rosario Abisso,Match Report,
8,Sun,2019-10-20,15:00 (08:00),Sampdoria,0.6,0–0,0.7,Roma,20211,Stadio Comunale Luigi Ferraris,Fabio Maresca,Match Report,
8,Sun,2019-10-20,15:00 (08:00),Cagliari,1.3,2–0,0.9,SPAL,15713,Sardegna Arena,Daniele Chiffi,Match Report,
8,Sun,2019-10-20,18:00 (11:00),Parma,3.0,5–1,1.7,Genoa,15299,Stadio Ennio Tardini,Paolo Valeri,Match Report,
8,Sun,2019-10-20,20:45 (13:45),Milan,1.4,2–2,1.4,Lecce,48703,Stadio Giuseppe Meazza,Fabrizio Pasqua,Match Report,
8,Mon,2019-10-21,21:00 (14:00),Brescia,0.2,0–0,1.3,Fiorentina,16000,Stadio Mario Rigamonti,Giampaolo Calvarese,Match Report,
,,,,,,,,,,,,,
9,Fri,2019-10-25,20:45 (13:45),Hellas Verona,1.2,0–1,1.4,Sassuolo,11453,Stadio Marc'Antonio Bentegodi,Luca Pairetto,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Lecce,1.1,1–1,3.3,Juventus,26591,Stadio Comunale Via Del Mare,Paolo Valeri,Match Report,
9,Sat,2019-10-26,18:00 (11:00),Inter,2.8,2–2,0.8,Parma,67076,Stadio Giuseppe Meazza,Daniele Chiffi,Match Report,
9,Sat,2019-10-26,20:45 (13:45),Genoa,1.1,3–1,1.5,Brescia,20949,Stadio Comunale Luigi Ferraris,Rosario Abisso,Match Report,
9,Sun,2019-10-27,12:30 (06:30),Bologna,1.6,2–1,0.8,Sampdoria,24099,Stadio Renato Dall'Ara,Daniele Doveri,Match Report,
9,Sun,2019-10-27,15:00 (09:00),Atalanta,5.7,7–1,0.8,Udinese,18677,Stadio Atleti Azzurri d'Italia,Fabio Maresca,Match Report,
9,Sun,2019-10-27,15:00 (09:00),Torino,1.0,1–1,0.6,Cagliari,21213,Stadio Olimpico di Torino,Michael Fabbri,Match Report,
