Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Brescia,2–1,Palermo,6103,Stadio Mario Rigamonti,Marco Piccinini,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Hellas Verona,2–1,Spezia,9914,Stadio Marc'Antonio Bentegodi,Valerio Marini,Match Report,
Regular Season,5,Tue,2018-09-25,21:00 (14:00),Perugia,0–1,Carpi,7349,Stadio Renato Curi,Antonio Rapuano,Match Report,
Regular Season,5,Wed,2018-09-26,19:00 (12:00),Cremonese,2–0,Cosenza,6663,Stadio Giovanni Zin,Luca Massimi,Match Report,
Regular Season,5,Wed,2018-09-26,21:00 (14:00),Foggia,2–1,Padova,9173,Stadio Comunale Pino Zaccheria,Antonio Di Martino,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2018-09-28,21:00 (14:00),Crotone,2–2,Brescia,5191,Stadio Ezio Scida,Livio Marinelli,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Lecce,1–1,Cittadella,9278,Stadio Comunale Via Del Mare,Antonio Giua,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Salernitana,1–0,Hellas Verona,10513,Stadio Arechi,Gianluca Aureliano,Match Report,
Regular Season,6,Sat,2018-09-29,15:00 (08:00),Spezia,2–1,Carpi,4845,Stadio Alberto Picco,Marco Serra,Match Report,
Regular Season,6,Sat,2018-09-29,18:00 (11:00),Venezia,1–1,Livorno,2919,Stadio Pierluigi Penzo,Fabio Piscopo,Match Report,
Regular Season,6,Sun,2018-09-30,15:00 (08:00),Ascoli,0–0,Cremonese,5700,Stadio Cino e Lillo Del Duca,Ivan Pezzuto,Match Report,
Regular Season,6,Sun,2018-09-30,15:00 (08:00),Cosenza,1–1,Perugia,6671,Stadio San Vito,Federico Dionisi,Match Report,
Regular Season,6,Sun,2018-09-30,21:00 (14:00),Benevento,1–3,Foggia,12910,Stadio Ciro Vigorito,Riccardo Ros,Match Report,
Regular Season,6,Tue,2018-10-02,17:30 (10:30),Padova,2–2,Pescara,6795,Stadio Comunale Euganeo,Manuel Volpi,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2018-10-05,21:00 (14:00),Hellas Verona,0–2,Lecce,11993,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Carpi,1–1,Cosenza,2090,Stadio Sandro Cabassi,Luigi Pillitteri,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Pescara,2–1,Benevento,8074,Stadio Adriatico-Giovanni Cornacchia,Niccolò Baroni,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Cremonese,0–0,Salernitana,7629,Stadio Giovanni Zin,Francesco Guccini,Match Report,
Regular Season,7,Sat,2018-10-06,15:00 (08:00),Foggia,3–2,Ascoli,9752,Stadio Comunale Pino Zaccheria,Lorenzo Maggioni,Match Report,
Regular Season,7,Sat,2018-10-06,18:00 (11:00),Perugia,1–0,Venezia,6883,Stadio Renato Curi,Antonio Di Martino,Match Report,
Regular Season,7,Sun,2018-10-07,15:00 (08:00),Livorno,1–3,Spezia,6500,Stadio Armando Picchi,Francesco Fourneau,Match Report,
Regular Season,7,Sun,2018-10-07,15:00 (08:00),Brescia,4–1,Padova,6521,Stadio Mario Rigamonti,Antonio Rapuano,Match Report,
Regular Season,7,Sun,2018-10-07,21:00 (14:00),Palermo,1–0,Crotone,6011,Stadio Renzo Barbera,Davide Ghersini,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2018-10-19,21:00 (14:00),Spezia,1–3,Pescara,6508,Stadio Alberto Picco,Daniele Minelli,Match Report,
Regular Season,8,Sat,2018-10-20,15:00 (08:00),Ascoli,1–0,Carpi,5291,Stadio Cino e Lillo Del Duca,Valerio Marini,Match Report,
Regular Season,8,Sat,2018-10-20,15:00 (08:00),Cittadella,2–2,Brescia,4288,Stadio Pier Cesare Tombolato,Lorenzo Illuzzi,Match Report,
Regular Season,8,Sat,2018-10-20,15:00 (08:00),Cosenza,2–0,Foggia,6583,Stadio San Vito,Antonio Giua,Match Report,
Regular Season,8,Sat,2018-10-20,18:00 (11:00),Crotone,2–1,Padova,5323,Stadio Ezio Scida,Marco Serra,Match Report,
Regular Season,8,Sun,2018-10-21,15:00 (08:00),Venezia,1–1,Hellas Verona,5630,Stadio Pierluigi Penzo,Eugenio Abbattista,Match Report,
Regular Season,8,Sun,2018-10-21,15:00 (08:00),Salernitana,2–1,Perugia,10113,Stadio Arechi,Marco Piccinini,Match Report,
Regular Season,8,Sun,2018-10-21,21:00 (14:00),Lecce,1–2,Palermo,12719,Stadio Comunale Via Del Mare,Manuel Volpi,Match Report,
Regular Season,8,Mon,2018-10-22,21:00 (14:00),Benevento,1–0,Livorno,10000,Stadio Ciro Vigorito,Luigi Nasca,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,2018-10-26,21:00 (14:00),Palermo,1–1,Venezia,6067,Stadio Renzo Barbera,Ivan Pezzuto,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Benevento,2–1,Cremonese,10011,Stadio Ciro Vigorito,Aleandro Di Paolo,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Padova,0–0,Spezia,6502,Stadio Comunale Euganeo,Fabio Piscopo,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Pescara,0–1,Cittadella,7205,Stadio Adriatico-Giovanni Cornacchia,Juan Sacchi,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Brescia,1–0,Cosenza,5502,Stadio Mario Rigamonti,Alessandro Prontera,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Livorno,1–0,Ascoli,5452,Stadio Armando Picchi,Federico Dionisi,Match Report,
Regular Season,9,Sat,2018-10-27,15:00 (08:00),Foggia,2–2,Lecce,12537,Stadio Comunale Pino Zaccheria,Gianluca Aureliano,Match Report,
Regular Season,9,Sat,2018-10-27,18:00 (11:00),Hellas Verona,2–1,Perugia,9525,Stadio Marc'Antonio Bentegodi,Livio Marinelli,Match Report,
Regular Season,9,Sun,2018-10-28,21:00 (15:00),Crotone,1–1,Salernitana,5497,Stadio Ezio Scida,Riccardo Ros,Match Report,
,,,,,,,,,,,,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Perugia,3–2,Padova,6958,Stadio Renato Curi,Luigi Pillitteri,Match Report,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Cosenza,1–1,Pescara,7008,Stadio San Vito,Francesco Guccini,Match Report,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Cittadella,1–1,Foggia,4270,Stadio Pier Cesare Tombolato,Luca Massimi,Match Report,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Carpi,0–3,Palermo,1875,Stadio Sandro Cabassi,Niccolò Baroni,Match Report,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Ascoli,1–0,Hellas Verona,5583,Stadio Cino e Lillo Del Duca,Marco Serra,Match Report,
Regular Season,10,Tue,2018-10-30,21:00 (15:00),Cremonese,0–1,Venezia,6268,Stadio Giovanni Zin,Lorenzo Maggioni,Match Report,
Regular Season,10,Wed,2018-10-31,19:00 (13:00),Salernitana,3–1,Livorno,8100,Stadio Arechi,Antonio Rapuano,Match Report,
Regular Season,10,Wed,2018-10-31,21:00 (15:00),Lecce,1–0,Crotone,8952,Stadio Comunale Via Del Mare,Francesco Fourneau,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,2018-11-02,21:00 (15:00),Hellas Verona,1–1,Cremonese,10489,Stadio Marc'Antonio Bentegodi,Antonio Giua,Match Report,
Regular Season,11,Sat,2018-11-03,15:00 (09:00),Padova,0–0,Cittadella,7500,Stadio Comunale Euganeo,Luigi Nasca,Match Report,
Regular Season,11,Sat,2018-11-03,15:00 (09:00),Foggia,2–2,Brescia,9834,Stadio Comunale Pino Zaccheria,Valerio Marini,Match Report,
Regular Season,11,Sat,2018-11-03,15:00 (09:00),Palermo,2–1,Cosenza,4513,Stadio Renzo Barbera,Lorenzo Illuzzi,Match Report,
Regular Season,11,Sat,2018-11-03,18:00 (12:00),Benevento,1–2,Ascoli,10440,Stadio Ciro Vigorito,Manuel Volpi,Match Report,
Regular Season,11,Sun,2018-11-04,15:00 (08:00),Crotone,1–1,Carpi,4879,Stadio Ezio Scida,Alessandro Prontera,Match Report,
Regular Season,11,Sun,2018-11-04,15:00 (08:00),Venezia,1–0,Salernitana,3701,Stadio Pier Cesare Tombolato,Daniele Minelli,Match Report,
Regular Season,11,Sun,2018-11-04,21:00 (14:00),Livorno,2–3,Perugia,5540,Stadio Armando Picchi,Eugenio Abbattista,Match Report,
Regular Season,11,Mon,2018-11-05,21:00 (14:00),Pescara,4–2,Lecce,8782,Stadio Adriatico-Giovanni Cornacchia,Aleandro Di Paolo,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,2018-11-09,21:00 (14:00),Perugia,2–1,Crotone,7834,Stadio Renato Curi,Ivan Pezzuto,Match Report,
Regular Season,12,Sat,2018-11-10,15:00 (08:00),Carpi,2–2,Benevento,1930,Stadio Sandro Cabassi,Fabio Piscopo,Match Report,
Regular Season,12,Sat,2018-11-10,15:00 (08:00),Cremonese,1–0,Livorno,6379,Stadio Giovanni Zin,Antonio Di Martino,Match Report,
Regular Season,12,Sat,2018-11-10,15:00 (08:00),Salernitana,1–0,Spezia,8743,Stadio Arechi,Federico Dionisi,Match Report,
Regular Season,12,Sat,2018-11-10,15:00 (08:00),Ascoli,2–3,Padova,8416,Stadio Cino e Lillo Del Duca,Riccardo Ros,Match Report,
Regular Season,12,Sat,2018-11-10,18:00 (11:00),Cosenza,2–3,Lecce,6881,Stadio San Vito,Juan Sacchi,Match Report,
Regular Season,12,Sun,2018-11-11,15:00 (08:00),Cittadella,3–2,Venezia,4784,Stadio Pier Cesare Tombolato,Marco Piccinini,Match Report,
Regular Season,12,Sun,2018-11-11,15:00 (08:00),Brescia,4–2,Hellas Verona,8500,Stadio Mario Rigamonti,Davide Ghersini,Match Report,
Regular Season,12,Sun,2018-11-11,21:00 (14:00),Palermo,3–0,Pescara,9222,Stadio Renzo Barbera,Livio Marinelli,Match Report,
,,,,,,,,,,,,
Regular Season,10,Sun,2018-11-18,15:00 (08:00),Spezia,3–1,Benevento,5310,Stadio Alberto Picco,Antonio Di Martino,Match Report,
,,,,,,,,,,,,
Regular Season,13,Fri,2018-11-23,21:00 (14:00),Hellas Verona,1–1,Palermo,8258,Stadio Marc'Antonio Bentegodi,Aleandro Di Paolo,Match Report,
Regular Season,13,Sat,2018-11-24,15:00 (08:00),Padova,0–1,Carpi,6444,Stadio Comunale Euganeo,Antonio Rapuano,Match Report,
Regular Season,13,Sat,2018-11-24,15:00 (08:00),Venezia,2–1,Brescia,3543,Stadio Pierluigi Penzo,Luigi Pillitteri,Match Report,
