Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,5,Sat,2015-09-19,15:30 (08:30),Wolfsburg,2–0,Hertha BSC,30000,Volkswagen Arena,Günter Perl,Match Report,
Regular Season,5,Sun,2015-09-20,15:30 (08:30),Stuttgart,0–1,Schalke 04,48510,Mercedes-Benz Arena,Manuel Gräfe,Match Report,
Regular Season,5,Sun,2015-09-20,17:30 (10:30),Augsburg,2–0,Hannover 96,28511,WWK Arena,Christian Dingert,Match Report,
Regular Season,5,Sun,2015-09-20,17:30 (10:30),Dortmund,3–0,Bayer,81359,Signal Iduna Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,,
Regular Season,6,Tue,2015-09-22,20:00 (13:00),Bayern Munich,5–1,Wolfsburg,75000,Allianz Arena,Tobias Stieler,Match Report,
Regular Season,6,Tue,2015-09-22,20:00 (13:00),Ingolstadt 04,0–1,Hamburger SV,15000,Audi-Sportpark,Knut Kircher,Match Report,
Regular Season,6,Tue,2015-09-22,20:00 (13:00),Darmstadt 98,2–1,Werder Bremen,17000,Jonathan-Heimes-Stadion am Böllenfalltor,Guido Winkmann,Match Report,
Regular Season,6,Tue,2015-09-22,20:00 (13:00),Hertha BSC,2–0,Köln,40181,Olympiastadion Berlin,Florian Meyer,Match Report,
Regular Season,6,Wed,2015-09-23,20:00 (13:00),Schalke 04,2–0,Eint Frankfurt,60104,Veltins-Arena,Felix Zwayer,Match Report,
Regular Season,6,Wed,2015-09-23,20:00 (13:00),Hannover 96,1–3,Stuttgart,36800,HDI-Arena,Sascha Stegemann,Match Report,
Regular Season,6,Wed,2015-09-23,20:00 (13:00),M'gladbach,4–2,Augsburg,40511,Stadion im Borussia-Park,Daniel Siebert,Match Report,
Regular Season,6,Wed,2015-09-23,20:00 (13:00),Hoffenheim,1–1,Dortmund,29700,PreZero Arena,Tobias Welz,Match Report,
Regular Season,6,Wed,2015-09-23,20:00 (13:00),Bayer,1–0,Mainz 05,24805,BayArena,Marco Fritz,Match Report,
,,,,,,,,,,,,
