Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Tue,2019-09-24,21:00 (14:00),AC Pisa,2–3,Empoli,9133,Arena Garibaldi - Stadio Romeo Anconetan...,Gianluca Aureliano,Match Report,
5,Tue,2019-09-24,21:00 (14:00),Crotone,2–0,Juve Stabia,5917,Stadio Ezio Scida,Niccolò Baroni,Match Report,
5,Tue,2019-09-24,21:00 (14:00),Virtus Entella,0–2,Venezia,1783,Stadio Comunale Chiavari,Ivan Robilotta,Match Report,
5,Tue,2019-09-24,21:00 (14:00),Pordenone,1–1,Benevento,2847,Dacia Arena,Marco Serra,Match Report,
5,Wed,2019-09-25,19:00 (12:00),Trapani,0–0,Cremonese,4014,Stadio Polisportivo Provinciale,Lorenzo Illuzzi,Match Report,
5,Wed,2019-09-25,21:00 (14:00),Salernitana,1–1,Chievo,7513,Stadio Arechi,Manuel Volpi,Match Report,
,,,,,,,,,,,
6,Fri,2019-09-27,21:00 (14:00),Pescara,0–3,Crotone,5790,Stadio Adriatico-Giovanni Cornacchia,Alessandro Prontera,Match Report,
6,Sat,2019-09-28,15:00 (08:00),Venezia,1–1,AC Pisa,3897,Stadio Pierluigi Penzo,Antonio Di Martino,Match Report,
6,Sat,2019-09-28,15:00 (08:00),Juve Stabia,0–1,Cittadella,2606,Stadio Comunale Romeo Menti,Federico Dionisi,Match Report,
6,Sat,2019-09-28,15:00 (08:00),Frosinone,1–1,Cosenza,10884,Stadio Benito Stirpe,Antonio Rapuano,Match Report,
6,Sat,2019-09-28,18:00 (11:00),Empoli,3–0,Perugia,6019,Stadio Carlo Castellani,Francesco Fourneau,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Chievo,1–1,Pordenone,3500,Stadio Marc'Antonio Bentegodi,Luca Massimi,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Spezia,2–4,Trapani,4900,Stadio Alberto Picco,Daniel Amabile,Match Report,
6,Sun,2019-09-29,15:00 (08:00),Benevento,1–1,Virtus Entella,9675,Stadio Ciro Vigorito,Simone Sozza,Match Report,
6,Sun,2019-09-29,21:00 (14:00),Livorno,2–3,Salernitana,5559,Stadio Armando Picchi,Davide Ghersini,Match Report,
6,Mon,2019-09-30,21:00 (14:00),Cremonese,1–0,Ascoli,7029,Stadio Giovanni Zin,Ivan Pezzuto,Match Report,
,,,,,,,,,,,
7,Fri,2019-10-04,21:00 (14:00),Perugia,1–0,AC Pisa,9036,Stadio Renato Curi,Giovanni Ayroldi,Match Report,
7,Sat,2019-10-05,15:00 (08:00),Crotone,3–1,Virtus Entella,5902,Stadio Ezio Scida,Giacomo Camplone,Match Report,
7,Sat,2019-10-05,15:00 (08:00),Pordenone,2–0,Empoli,3280,Dacia Arena,Lorenzo Maggioni,Match Report,
7,Sat,2019-10-05,15:00 (08:00),Cosenza,1–1,Venezia,5046,Stadio San Vito,Niccolò Baroni,Match Report,
7,Sat,2019-10-05,15:00 (08:00),Livorno,3–4,Chievo,4945,Stadio Armando Picchi,Lorenzo Illuzzi,Match Report,
7,Sat,2019-10-05,15:00 (08:00),Spezia,0–1,Benevento,5176,Stadio Alberto Picco,Valerio Marini,Match Report,
7,Sat,2019-10-05,18:00 (11:00),Trapani,1–2,Juve Stabia,4359,Stadio Polisportivo Provinciale,Juan Sacchi,Match Report,
7,Sun,2019-10-06,15:00 (08:00),Salernitana,1–1,Frosinone,9823,Stadio Arechi,Riccardo Ros,Match Report,
7,Sun,2019-10-06,15:00 (08:00),Cremonese,0–2,Cittadella,7257,Stadio Giovanni Zin,Marco Serra,Match Report,
7,Sun,2019-10-06,21:00 (14:00),Ascoli,0–2,Pescara,8510,Stadio Cino e Lillo Del Duca,Gianluca Aureliano,Match Report,
,,,,,,,,,,,
8,Fri,2019-10-18,21:00 (14:00),Cittadella,1–3,Cosenza,4366,Stadio Pier Cesare Tombolato,Ivan Robilotta,Match Report,
8,Sat,2019-10-19,15:00 (08:00),Juve Stabia,4–2,Pordenone,3100,Stadio Comunale Romeo Menti,Eugenio Abbattista,Match Report,
8,Sat,2019-10-19,15:00 (08:00),Venezia,1–0,Salernitana,4378,Stadio Pierluigi Penzo,Daniel Amabile,Match Report,
8,Sat,2019-10-19,15:00 (08:00),Pescara,1–2,Spezia,5685,Stadio Adriatico-Giovanni Cornacchia,Luca Massimi,Match Report,
8,Sat,2019-10-19,15:00 (08:00),Virtus Entella,1–1,Trapani,1702,Stadio Comunale Chiavari,Antonio Rapuano,Match Report,
8,Sat,2019-10-19,18:00 (11:00),Benevento,1–0,Perugia,9686,Stadio Ciro Vigorito,Livio Marinelli,Match Report,
8,Sun,2019-10-20,15:00 (08:00),AC Pisa,1–1,Crotone,7674,Arena Garibaldi - Stadio Romeo Anconetan...,Daniele Minelli,Match Report,
8,Sun,2019-10-20,15:00 (08:00),Chievo,2–0,Ascoli,3000,Stadio Marc'Antonio Bentegodi,Federico Dionisi,Match Report,
8,Sun,2019-10-20,21:00 (14:00),Empoli,1–1,Cremonese,5398,Stadio Carlo Castellani,Manuel Volpi,Match Report,
8,Mon,2019-10-21,21:00 (14:00),Frosinone,1–0,Livorno,10761,Stadio Benito Stirpe,Ivan Pezzuto,Match Report,
,,,,,,,,,,,
9,Fri,2019-10-25,21:00 (14:00),Ascoli,2–1,Virtus Entella,6102,Stadio Cino e Lillo Del Duca,Francesco Fourneau,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Trapani,2–2,Empoli,4130,Stadio Polisportivo Provinciale,Giovanni Ayroldi,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Spezia,2–0,Juve Stabia,4905,Stadio Alberto Picco,Antonio Di Martino,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Crotone,3–2,Venezia,5912,Stadio Ezio Scida,Simone Sozza,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Salernitana,1–1,Perugia,9786,Stadio Arechi,Gianluca Aureliano,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Pordenone,0–0,Cittadella,3184,Dacia Arena,Lorenzo Illuzzi,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Cosenza,1–1,Chievo,6754,Stadio San Vito,Valerio Marini,Match Report,
9,Sat,2019-10-26,15:00 (08:00),Pescara,4–0,Benevento,7339,Stadio Adriatico-Giovanni Cornacchia,Niccolò Baroni,Match Report,
9,Sat,2019-10-26,18:00 (11:00),Livorno,1–0,AC Pisa,10664,Stadio Armando Picchi,Juan Sacchi,Match Report,
9,Sun,2019-10-27,21:00 (15:00),Cremonese,1–1,Frosinone,6136,Stadio Giovanni Zin,Davide Ghersini,Match Report,
,,,,,,,,,,,
10,Tue,2019-10-29,21:00 (15:00),Chievo,2–1,Crotone,4000,Stadio Marc'Antonio Bentegodi,Livio Marinelli,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Empoli,1–1,Spezia,5384,Stadio Carlo Castellani,Marco Serra,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Venezia,1–2,Pordenone,3068,Stadio Pierluigi Penzo,Antonio Rapuano,Match Report,
10,Tue,2019-10-29,21:00 (15:00),AC Pisa,2–1,Salernitana,7207,Arena Garibaldi - Stadio Romeo Anconetan...,Giacomo Camplone,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Virtus Entella,1–0,Cosenza,1699,Stadio Comunale Chiavari,Lorenzo Maggioni,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Cittadella,1–0,Livorno,3607,Stadio Pier Cesare Tombolato,Daniele Minelli,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Perugia,1–1,Ascoli,9223,Stadio Renato Curi,Riccardo Ros,Match Report,
10,Tue,2019-10-29,21:00 (15:00),Juve Stabia,2–1,Pescara,3500,Stadio Comunale Romeo Menti,Manuel Volpi,Match Report,
10,Wed,2019-10-30,18:50 (12:50),Benevento,2–0,Cremonese,9019,Stadio Ciro Vigorito,Eugenio Abbattista,Match Report,
10,Wed,2019-10-30,21:00 (15:00),Frosinone,3–0,Trapani,10855,Stadio Benito Stirpe,Ivan Robilotta,Match Report,
,,,,,,,,,,,
11,Fri,2019-11-01,21:00 (15:00),Spezia,0–0,Chievo,5338,Stadio Alberto Picco,Francesco Fourneau,Match Report,
11,Sat,2019-11-02,15:00 (09:00),Crotone,2–3,Perugia,6218,Stadio Ezio Scida,Ivan Pezzuto,Match Report,
11,Sat,2019-11-02,15:00 (09:00),Livorno,2–1,Juve Stabia,4165,Stadio Armando Picchi,Valerio Marini,Match Report,
11,Sat,2019-11-02,15:00 (09:00),Ascoli,1–1,Venezia,6546,Stadio Cino e Lillo Del Duca,Giovanni Ayroldi,Match Report,
11,Sat,2019-11-02,15:00 (09:00),Pescara,3–0,AC Pisa,6052,Stadio Adriatico-Giovanni Cornacchia,Simone Sozza,Match Report,
11,Sat,2019-11-02,18:00 (12:00),Salernitana,2–1,Virtus Entella,5432,Stadio Arechi,Federico Dionisi,Match Report,
11,Sun,2019-11-03,15:00 (08:00),Cittadella,0–0,Frosinone,3971,Stadio Pier Cesare Tombolato,Luca Massimi,Match Report,
11,Sun,2019-11-03,15:00 (08:00),Pordenone,2–1,Trapani,4013,Dacia Arena,Daniel Amabile,Match Report,
11,Sun,2019-11-03,21:00 (14:00),Benevento,2–0,Empoli,9222,Stadio Ciro Vigorito,Davide Ghersini,Match Report,
11,Mon,2019-11-04,21:00 (14:00),Cosenza,2–0,Cremonese,4283,Stadio San Vito,Antonio Di Martino,Match Report,
,,,,,,,,,,,
12,Fri,2019-11-08,21:00 (14:00),Crotone,3–1,Ascoli,5796,Stadio Ezio Scida,Marco Serra,Match Report,
12,Sat,2019-11-09,15:00 (08:00),Venezia,1–0,Livorno,3148,Stadio Pierluigi Penzo,Giacomo Camplone,Match Report,
12,Sat,2019-11-09,15:00 (08:00),Juve Stabia,1–1,Benevento,3908,Stadio Comunale Romeo Menti,Lorenzo Illuzzi,Match Report,
12,Sat,2019-11-09,15:00 (08:00),Virtus Entella,1–1,Pordenone,4154,Stadio Comunale Chiavari,Niccolò Baroni,Match Report,
12,Sat,2019-11-09,15:00 (08:00),AC Pisa,3–2,Spezia,7911,Arena Garibaldi - Stadio Romeo Anconetan...,Manuel Volpi,Match Report,
12,Sat,2019-11-09,15:00 (08:00),Perugia,0–2,Cittadella,7346,Stadio Renato Curi,Lorenzo Maggioni,Match Report,
