Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2014-08-30,18:00 (11:00),Chievo,0–1,Juventus,26000,Stadio Marc'Antonio Bentegodi,Carmine Russo,Match Report,
1,Sat,2014-08-30,20:45 (13:45),Roma,2–0,Fiorentina,44353,Stadio Olimpico,Marco Guida,Match Report,
1,Sun,2014-08-31,18:00 (11:00),Milan,3–1,Lazio,36674,Stadio Giuseppe Meazza,Nicola Rizzoli,Match Report,
1,Sun,2014-08-31,18:00 (11:00),Atalanta,0–0,Hellas Verona,14925,Stadio Atleti Azzurri d'Italia,Nicola Rizzoli,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Sassuolo,1–1,Cagliari,11292,Stadio Città del Tricolore,Paolo Valeri,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Palermo,1–1,Sampdoria,17064,Stadio Renzo Barbera,Dino Tommasi,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Genoa,1–2,Napoli,21963,Stadio Comunale Luigi Ferraris,Luca Banti,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Cesena,1–0,Parma,14415,Stadio Dino Manuzzi,Sebastiano Peruzzo,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Torino,0–0,Inter,25824,Stadio Olimpico di Torino,Daniele Doveri,Match Report,
1,Sun,2014-08-31,20:45 (13:45),Udinese,2–0,Empoli,7889,Dacia Arena,Marco Di Bello,Match Report,
,,,,,,,,,,,
2,Sat,2014-09-13,18:00 (11:00),Empoli,0–1,Roma,11113,Stadio Carlo Castellani,Andrea Gervasoni,Match Report,
2,Sat,2014-09-13,20:45 (13:45),Juventus,2–0,Udinese,38217,Allianz Stadium,Antonio Damato,Match Report,
2,Sun,2014-09-14,12:30 (05:30),Sampdoria,2–0,Torino,21180,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni,Match Report,
2,Sun,2014-09-14,15:00 (08:00),Inter,7–0,Sassuolo,34549,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
2,Sun,2014-09-14,15:00 (08:00),Cagliari,1–2,Atalanta,9100,Stadio Sant'Elia,Angelo Cervellera,Match Report,
2,Sun,2014-09-14,15:00 (08:00),Napoli,0–1,Chievo,35251,Stadio San Paolo,Piero Giacomelli,Match Report,
2,Sun,2014-09-14,15:00 (08:00),Lazio,3–0,Cesena,31200,Stadio Olimpico,Massimiliano Irrati,Match Report,
