Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Sat,2018-07-28,20:30 (13:30),Casertana,2–0,AZ Picerno,500,Stadio Comunale Alberto Pinto,Alessandro Meleleo,Match Report,
First Round,Sun,2018-07-29,16:30 (09:30),Alessandria,0–1,Erminio,700,Stadio Giuseppe Moccagatta,Francesco Meraviglia,Match Report,
First Round,Sun,2018-07-29,17:00 (10:00),SS Monza 1912,1–0,SS Matelica,814,Stadio Comunale Brianteo,Stefano Lorenzin,Match Report,
First Round,Sun,2018-07-29,17:30 (10:30),Südtirol,2–1,Albalonga,300,Stadio Marco Druso,Daniel Amabile,Match Report,
First Round,Sun,2018-07-29,18:00 (11:00),Viterbese,1–0,Rende Calcio,600,Stadio Enrico Rocchi,Nicolò Cipriani,Match Report,
First Round,Sun,2018-07-29,18:00 (11:00),Renate,0–2,Rezzato,250,Stadio Città di Meda,David Miele,Match Report,
First Round,Sun,2018-07-29,18:30 (11:30),Vicenza Virtus,2–1,Chieri,3300,Stadio Romeo Menti,Nicolò Marini,Match Report,
First Round,Sun,2018-07-29,18:30 (11:30),Sambenedettese,1–0,Sanremo,1400,Stadio Riviera delle Palme,Ilario Guida,Match Report,
First Round,Sun,2018-07-29,18:30 (11:30),AlbinoLeffe,0–1,Pordenone,206,Stadio Atleti Azzurri d'Italia,Riccardo Annaloro,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),Carrarese,0–1,Imolese Calcio,1140,Stadio dei Marmi,Davide Curti,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),Siena,2–0,Sicula Leonzio,899,Stadio Comunale Artemio Franchi - Montep...,Marco D'Ascanio,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),Catania,3–0,ASD Como,4426,Stadio Angelo Massimino,Mario Vigile,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),Ternana,(4) 1–1 (2),Pontedera,2066,Stadio Libero Liberati,Giacomo Camplone,Match Report,Ternana won on penalty kicks following extra time
First Round,Sun,2018-07-29,20:30 (13:30),FeralpiSalò,2–0,V. Francavilla,700,Stadio Lino Turina,Fabio Pasciuta,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),Juve Stabia,1–0,Pistoiese,1314,Stadio Comunale Romeo Menti,Luigi Carella,Match Report,
First Round,Sun,2018-07-29,20:30 (13:30),SS Monopoli,(5) 1–1 (3),Piacenza,1517,Stadio Vito Simone Veneziani,Ivan Robilotta,Match Report,SS Monopoli won on penalty kicks following extra time
First Round,Sun,2018-07-29,20:30 (13:30),Trapani,1–0,Campodarsego,2056,Stadio Polisportivo Provinciale,Eduart Pashuku,Match Report,
First Round,Sun,2018-07-29,20:45 (13:45),AC Pisa,(5) 2–2 (3),US Triestina,3352,Arena Garibaldi - Stadio Romeo Anconetan...,Matteo Marchetti,Match Report,AC Pisa won on penalty kicks following extra time
Second Round,Sat,2018-08-04,18:00 (11:00),Ascoli,0–4,Viterbese,4294,Stadio Cino e Lillo Del Duca,Luca Massimi,Match Report,
Second Round,Sat,2018-08-04,20:30 (13:30),Spezia,2–1,Sambenedettese,2432,Stadio Alberto Picco,Antonio Giua,Match Report,
Second Round,Sat,2018-08-04,20:30 (13:30),Carpi,0–2,Ternana,1000,Stadio Ettore Mannucci,Manuel Volpi,Match Report,
Second Round,Sat,2018-08-04,20:30 (13:30),Trapani,1–2,Cosenza,2613,Stadio Polisportivo Provinciale,Luigi Pillitteri,Match Report,Required Extra Time
Second Round,Sun,2018-08-05,20:00 (13:00),Cittadella,1–0,SS Monopoli,1019,Stadio Pier Cesare Tombolato,Niccolò Baroni,Match Report,
Second Round,Sun,2018-08-05,20:00 (13:00),Benevento,3–1,Imolese Calcio,5037,Stadio Ciro Vigorito,Valerio Marini,Match Report,
Second Round,Sun,2018-08-05,20:00 (13:00),Venezia,0–1,Südtirol,1184,Stadio Pierluigi Penzo,Riccardo Ros,Match Report,
Second Round,Sun,2018-08-05,20:30 (13:30),Brescia,(4) 1–1 (1),Pro Vercelli,6000,Stadio Mario Rigamonti,Daniele Minelli,Match Report,Brescia won on penalty kicks following extra time
Second Round,Sun,2018-08-05,20:30 (13:30),Livorno,(7) 1–1 (6),Casertana,2533,Stadio Armando Picchi,Francesco Guccini,Match Report,Livorno won on penalty kicks following extra time
Second Round,Sun,2018-08-05,20:30 (13:30),Virtus Entella,3–0,Siena,500,Stadio Comunale Chiavari,Fabio Piscopo,Match Report,
Second Round,Sun,2018-08-05,20:30 (13:30),Palermo,(6) 2–2 (5),Vicenza Virtus,5766,Stadio Renzo Barbera,Francesco Fourneau,Match Report,Palermo won on penalty kicks following extra time
Second Round,Sun,2018-08-05,20:30 (13:30),Hellas Verona,4–1,Juve Stabia,5894,Stadio Marc'Antonio Bentegodi,Antonio Rapuano,Match Report,
Second Round,Sun,2018-08-05,20:30 (13:30),Pescara,(4) 2–2 (3),Pordenone,3798,Stadio Adriatico-Giovanni Cornacchia,Antonio Di Martino,Match Report,Pescara won on penalty kicks following extra time
