Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,Fri,2019-08-09,20:45 (13:45),Uerdingen,0–2,Dortmund,32110,Merkur Spielarena,Sascha Stegemann,Match Report,
First Round,Fri,2019-08-09,20:45 (13:45),Sandhausen,0–1,M'gladbach,13695,Hardtwaldstadion Nebenplatz,Robert Hartmann,Match Report,
First Round,Fri,2019-08-09,20:45 (13:45),Ingolstadt 04,0–1,Nürnberg,14348,Audi-Sportpark,Daniel Siebert,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Viktoria 1889,0–1,Arminia,4503,Friedrich-Ludwig-Jahn-Sportpark,Franz Bokop,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Villingen,1–3,Düsseldorf,8300,ebm-papst-Stadion,Florian Heft,Match Report,Required Extra Time
First Round,Sat,2019-08-10,15:30 (08:30),Drochtersen/A,0–5,Schalke 04,8000,Kehdinger Stadion,Michael Bacher,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Aachen,1–4,Bayer,30861,Tivoli,Martin Petersen,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Verl,2–1,Augsburg,4198,SPORTCLUB Arena,Martin Thomsen,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Nordhausen,1–4,Erzgebirge Aue,4347,Albert-Kuntz-Sportpark,Christof Günsch,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Kaiserslautern,2–0,Mainz 05,40694,Fritz-Walter-Stadion,Felix Zwayer,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Dassendorf,0–3,Dynamo Dres,5673,Stadion Zwickau,Jonas Weickenmeier,Match Report,
First Round,Sat,2019-08-10,15:30 (08:30),Magdeburg,0–1,Freiburg,14093,MDCC-Arena Platz 2,Harm Osmers,Match Report,Required Extra Time
First Round,Sat,2019-08-10,18:30 (11:30),Baunatal,2–3,Bochum,5748,Parkstadion,Wolfgang Haslberger,Match Report,
First Round,Sat,2019-08-10,18:30 (11:30),SSV Ulm,0–2,Heidenheim,16521,Donaustadion,Florian Badstübner,Match Report,
First Round,Sat,2019-08-10,18:30 (11:30),W'burg Kickers,(4) 3–3 (5),Hoffenheim,9000,flyeralarm Arena,Guido Winkmann,Match Report,Hoffenheim won on penalty kicks following extra time
First Round,Sat,2019-08-10,20:45 (13:45),SV Atlas,1–6,Werder Bremen,41500,Weserstadion Platz 11,Patrick Ittrich,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Salmrohr,0–6,Holstein Kiel,6500,Salmtalstadion,Thorben Siewer,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Halberstadt,0–6,Union Berlin,6000,Friedensstadion,Tobias Reichel,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),SV Waldhof,3–5,Eint Frankfurt,24302,Carl-Benz-Stadion,Felix Brych,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Saarbrücken,3–2,Jahn R'burg,5021,Hermann-Neuberger-Stadion,Sven Waschitzki,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Lübeck,(3) 3–3 (4),St. Pauli,15292,Stadion an der Lohmühle,Frank Willenborg,Match Report,St. Pauli won on penalty kicks following extra time
First Round,Sun,2019-08-11,15:30 (08:30),Oberneuland,1–6,Darmstadt 98,4500,Florian Wellmann Stadion,Pascal Müller,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Eichstätt,1–5,Hertha BSC,7030,Audi-Sportpark,Timo Gerach,Match Report,
First Round,Sun,2019-08-11,15:30 (08:30),Rödinghausen,(2) 3–3 (4),Paderborn 07,2236,Häcker Wiehenstadion,Aarne Aarnink,Match Report,Paderborn 07 won on penalty kicks following extra time
First Round,Sun,2019-08-11,15:30 (08:30),Osnabrück,2–3,RB Leipzig,16667,Stadion an der Bremer Brücke,Tobias Stieler,Match Report,
First Round,Sun,2019-08-11,18:30 (11:30),MSV Duisburg,2–0,Greuther Fürth,13542,Schauinsland-Reisen-Arena,Christian Dingert,Match Report,
