Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2015-08-22,18:00 (11:00),Hellas Verona,1–1,Roma,22075,Stadio Marc'Antonio Bentegodi,Marco Guida,Match Report,
1,Sat,2015-08-22,20:45 (13:45),Lazio,2–1,Bologna,19464,Stadio Olimpico,Gianluca Rocchi,Match Report,
1,Sun,2015-08-23,18:00 (11:00),Juventus,0–1,Udinese,38433,Allianz Stadium,Paolo Mazzoleni,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Fiorentina,2–0,Milan,33904,Stadio Artemio Franchi,Paolo Valeri,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Sassuolo,2–1,Napoli,13755,Stadio Città del Tricolore,Daniele Doveri,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Inter,1–0,Atalanta,37042,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Palermo,1–0,Genoa,22608,Stadio Renzo Barbera,Massimiliano Irrati,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Sampdoria,5–2,Carpi,21835,Stadio Comunale Luigi Ferraris,Michael Fabbri,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Frosinone,1–2,Torino,9000,Stadio Comunale Matusa,Luca Banti,Match Report,
1,Sun,2015-08-23,20:45 (13:45),Empoli,1–3,Chievo,7309,Stadio Carlo Castellani,Maurizio Mariani,Match Report,
,,,,,,,,,,,
2,Sat,2015-08-29,18:00 (11:00),Bologna,0–1,Sassuolo,15732,Stadio Renato Dall'Ara,Carmine Russo,Match Report,
2,Sat,2015-08-29,20:45 (13:45),Milan,2–1,Empoli,34382,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
2,Sun,2015-08-30,18:00 (11:00),Roma,2–1,Juventus,56040,Stadio Olimpico,Nicola Rizzoli,Match Report,
2,Sun,2015-08-30,20:45 (13:45),Atalanta,2–0,Frosinone,14546,Stadio Atleti Azzurri d'Italia,Domenico Celi,Match Report,
2,Sun,2015-08-30,20:45 (13:45),Genoa,2–0,Hellas Verona,19462,Stadio Comunale Luigi Ferraris,Daniele Orsato,Match Report,
