Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
First Round,,Fri,2014-11-07,19:55 (13:55),Warrington,1–0,Exeter City,2400,Cantilever Park,David Coote,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Hartlepool Utd,2–0,East Thurrock,2800,The Northern Gas and Power Stadium,Ben Toner,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Basingstoke,1–1,Telford United,1251,The Ark Cancer Charity Stadium,Richard Martin,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Grimsby Town,1–3,Oxford United,3241,Blundell Park,Chris Kavanagh,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Bromley,3–4,Dartford,4105,The Courage Stadium,Steve Rushton,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Port Vale,3–4,MK Dons,4120,Vale Park,Charles Breakspear,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Barnet,1–3,Wycombe,2410,The Hive Stadium,Oliver Langford,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Gillingham,1–2,Bristol City,2654,MEMS Priestfield Stadium,Patrick Miller,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Eastleigh,2–1,Lincoln City,873,Silverlake Stadium,Nick Kinseley,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Crewe Alexandra,0–0,Sheffield Utd,3222,Alexandra Stadium,Mick Russell,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Southend United,1–2,Chester,4047,Roots Hall Stadium,Graham Horwood,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Cheltenham,5–0,Swindon Town,3470,Jonny-Rocks Stadium,Carl Boyeson,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Dover Athletic,1–0,Morecambe,1609,The Perrys Crabble Stadium,Michael Bull,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Cambridge Utd,1–0,Fleetwood Town,2870,The Cambs Glass Stadium,Gary Sutton,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Luton Town,4–2,Newport County,3656,Kenilworth Road Stadium,Chris Sarginson,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Walsall,2–2,Shrewsbury,3546,The Banks's Stadium,Darren Deadman,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),York City,1–1,AFC Wimbledon,2085,Bootham Crescent,Mark Brown,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Northampton,0–0,Rochdale,2790,Sixfields Stadium,Kevin Johnson,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Dag & Red,0–0,Southport,1172,Chigwell Construction Stadium,Keith Hill,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),P'borough Utd,2–1,Carlisle United,3168,ABAX Stadium,Scott Mathieson,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Oldham Athletic,1–0,Leyton Orient,3034,Boundary Park,Seb Stockbridge,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Tranmere Rovers,1–0,Bristol Rovers,3559,Prenton Park,Darren England,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Yeovil Town,1–0,Crawley Town,2355,Huish Park Stadium,Phil Gibbs,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Bury,3–1,Hemel Hempst,2944,Gigg Lane,Andy Haines,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Plymouth Argyle,2–0,Fylde,5153,Home Park,James Linington,Match Report,
First Round,,Sat,2014-11-08,15:00 (09:00),Barnsley,5–0,Burton Albion,5158,Oakwell Stadium,David Webb,Match Report,
First Round,,Sun,2014-11-09,12:00 (06:00),FC Halifax Town,1–2,Bradford City,8042,The Shay Stadium,Andrew D'Urso,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Blyth Spartans,4–1,Altrincham,1763,Croft Park,Martin Coy,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Stevenage,0–0,Maidstone Utd,2935,The Lamex Stadium,Brett Huxtable,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),FG Rovers,0–2,Scunthorpe Utd,1791,The New Lawn,Graham Scott,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Norton United,0–4,Gateshead,1762,Norton Cricket Club & Miners Welfare Ins...,Lee Swabey,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Coventry City,1–2,Worcester City,8439,City of Coventry Stadium,Ross Joyce,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Wrexham,3–0,Woking,2253,Racecourse Ground,Simon Bennett,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Gosport,3–6,Colchester Utd,2013,Privett Park,Lee Collins,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Braintree Town,0–6,Chesterfield,1206,Ironmongery Direct Stadium,Brendan Malone,Match Report,
First Round,,Sun,2014-11-09,14:00 (08:00),Portsmouth,2–2,Aldershot Town,11095,Fratton Park,Paul Tierney,Match Report,
First Round,,Sun,2014-11-09,15:00 (09:00),Notts County,0–0,Acc'ton Stanley,3661,Meadow Lane Stadium,Darren Bond,Match Report,
First Round,,Mon,2014-11-10,20:00 (14:00),Havant & Water,0–3,Preston,2382,West Leigh Park,Steve Martin,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Weston,1–4,Doncaster,2949,Woodspring Stadium,Tim Robinson,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Telford United,2–1,Basingstoke,1006,New Bucks Head Ground,Carl Berry,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Rochdale,2–1,Northampton,1717,Crown Oil Arena,Richard Clark,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Sheffield Utd,2–0,Crewe Alexandra,5987,Bramall Lane,Geoff Eltringham,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Mansfield Town,1–1,Concord Rang.,2023,One Call Stadium,Kevin Wright,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Shrewsbury,1–0,Walsall,4222,Montgomery Waters Meadow,Gavin Ward,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Acc'ton Stanley,2–1,Notts County,1026,Wham Stadium,Eddie Ilderton,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),AFC Wimbledon,3–1,York City,2048,Cherry Red Records Fans' Stadium,Peter Bankes,Match Report,
First Round,,Tue,2014-11-18,19:45 (13:45),Southport,2–0,Dag & Red,1472,Haig Avenue,Darren Drysdale,Match Report,
First Round,,Wed,2014-11-19,19:45 (13:45),Aldershot Town,1–0,Portsmouth,5374,Electrical Services Stadium,Stuart Attwell,Match Report,
First Round,,Thu,2014-11-20,19:45 (13:45),Maidstone Utd,2–1,Stevenage,2226,Gallagher Stadium,Simon Hooper,Match Report,
First Round,,Tue,2014-11-25,19:45 (13:45),Concord Rang.,0–1,Mansfield Town,1537,Thames Road,Andrew Davies,Match Report,
,,,,,,,,,,,,
Second Round,,Fri,2014-12-05,19:55 (13:55),Hartlepool Utd,1–2,Blyth Spartans,3735,The Northern Gas and Power Stadium,Andy Madley,Match Report,
Second Round,,Sat,2014-12-06,15:00 (09:00),Bury,1–1,Luton Town,2790,Gigg Lane,Nigel Miller,Match Report,
Second Round,,Sat,2014-12-06,15:00 (09:00),MK Dons,0–1,Chesterfield,5591,Stadium mk,Keith Stroud,Match Report,
Second Round,,Sat,2014-12-06,15:00 (09:00),Oxford United,2–2,Tranmere Rovers,4681,The Kassam Stadium,Mark Haywood,Match Report,
Second Round,2,Sat,2014-12-06,15:00 (09:00),Cambridge Utd,2–2,Mansfield Town,3869,The Cambs Glass Stadium,Darren Bond,Match Report,
Second Round,2,Sat,2014-12-06,15:00 (09:00),Sheffield Utd,3–0,Plymouth Argyle,7348,Bramall Lane,Gary Sutton,Match Report,
Second Round,2,Sat,2014-12-06,15:00 (09:00),Acc'ton Stanley,1–1,Yeovil Town,1440,Wham Stadium,Seb Stockbridge,Match Report,
Second Round,2,Sat,2014-12-06,15:00 (09:00),Preston,1–0,Shrewsbury,6011,Deepdale Stadium,David Webb,Match Report,
