Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2020-01-18,15:30 (08:30),Köln,,,,Wolfsburg,,RheinEnergieSTADION,,,
18,Sat,2020-01-18,18:30 (11:30),RB Leipzig,,,,Union Berlin,,Red Bull Arena,,,
18,Sun,2020-01-19,15:30 (08:30),Hertha BSC,,,,Bayern Munich,,Olympiastadion Berlin,,,
18,Sun,2020-01-19,18:00 (11:00),Paderborn 07,,,,Bayer,,Benteler-Arena,,,
,,,,,,,,,,,,,
19,Fri,2020-01-24,20:30 (13:30),Dortmund,,,,Köln,,Signal Iduna Park,,,
19,Sat,2020-01-25,15:30 (08:30),M'gladbach,,,,Mainz 05,,Stadion im Borussia-Park,,,
19,Sat,2020-01-25,15:30 (08:30),Eint Frankfurt,,,,RB Leipzig,,Commerzbank-Arena,,,
19,Sat,2020-01-25,15:30 (08:30),Freiburg,,,,Paderborn 07,,Schwarzwald-Stadion,,,
19,Sat,2020-01-25,15:30 (08:30),Wolfsburg,,,,Hertha BSC,,Volkswagen Arena,,,
19,Sat,2020-01-25,15:30 (08:30),Union Berlin,,,,Augsburg,,Stadion An der Alten Försterei,,,
19,Sat,2020-01-25,18:30 (11:30),Bayern Munich,,,,Schalke 04,,Allianz Arena,,,
19,Sun,2020-01-26,15:30 (08:30),Werder Bremen,,,,Hoffenheim,,Weserstadion,,,
19,Sun,2020-01-26,18:00 (11:00),Bayer,,,,Düsseldorf,,BayArena,,,
,,,,,,,,,,,,,
20,Fri,2020-01-31,20:30 (13:30),Hertha BSC,,,,Schalke 04,,Olympiastadion Berlin,,,
20,Sat,2020-02-01,15:30 (08:30),Hoffenheim,,,,Bayer,,PreZero Arena,,,
20,Sat,2020-02-01,15:30 (08:30),Augsburg,,,,Werder Bremen,,WWK Arena,,,
20,Sat,2020-02-01,15:30 (08:30),Düsseldorf,,,,Eint Frankfurt,,Merkur Spielarena,,,
20,Sat,2020-02-01,15:30 (08:30),Mainz 05,,,,Bayern Munich,,Opel Arena,,,
20,Sat,2020-02-01,15:30 (08:30),Dortmund,,,,Union Berlin,,Signal Iduna Park,,,
20,Sat,2020-02-01,18:30 (11:30),RB Leipzig,,,,M'gladbach,,Red Bull Arena,,,
