Date,Home,Away,Home Score,Away Score
11/30/19,Valencia,Villareal,2,1
12/01/19,Sevilla,Leganes,1,0
12/01/19,Athletic Bilbao,Granada,2,0
12/01/19,Espanyol,Osasuna,2,4
12/01/19,Getafe,Levante,4,0
12/01/19,Atletico Madrid,Barcelona,0,1
12/06/19,Villareal,Atletico Madrid,0,0
12/07/19,Real Madrid,Espanyol,2,0
12/07/19,Granada,Alaves,3,0
12/07/19,Levante,Valencia,2,4
12/07/19,Barcelona,Mallorca,5,2
